candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index
0,0.7,0.7,0.0,grid,70.0
1,0.7,0.7421052631578947,0.0,grid,72.10526315789474
2,0.7,0.7842105263157895,0.0,grid,74.21052631578948
3,0.7,0.8263157894736841,0.0,grid,76.3157894736842
4,0.7,0.8684210526315789,0.0,grid,78.42105263157895
5,0.7,0.9105263157894736,0.0,grid,80.52631578947368
6,0.7,0.9526315789473684,0.0,grid,82.63157894736841
7,0.7,0.9947368421052631,0.0,grid,84.73684210526315
8,0.7,1.0368421052631578,0.0,grid,86.84210526315789
9,0.7,1.0789473684210527,0.0,grid,88.94736842105263
10,0.7,1.1210526315789473,0.0,grid,91.05263157894737
11,0.7,1.163157894736842,0.0,grid,93.1578947368421
12,0.7,1.2052631578947368,0.0,grid,95.26315789473685
13,0.7,1.2473684210526317,0.0,grid,97.36842105263159
14,0.7,1.289473684210526,0.0,grid,99.4736842105263
15,0.7,1.331578947368421,0.0,grid,101.57894736842105
16,0.7,1.3736842105263158,0.0,grid,103.6842105263158
17,0.7,1.4157894736842105,0.0,grid,105.78947368421052
18,0.7,1.4578947368421051,0.0,grid,107.89473684210526
19,0.7,1.5,0.0,grid,110.0
20,0.7421052631578947,0.7,0.0,grid,72.10526315789474
21,0.7421052631578947,0.7421052631578947,0.0,grid,74.21052631578947
22,0.7421052631578947,0.7842105263157895,0.0,grid,76.3157894736842
23,0.7421052631578947,0.8263157894736841,0.0,grid,78.42105263157893
24,0.7421052631578947,0.8684210526315789,0.0,grid,80.52631578947367
25,0.7421052631578947,0.9105263157894736,0.0,grid,82.63157894736841
26,0.7421052631578947,0.9526315789473684,0.0,grid,84.73684210526315
27,0.7421052631578947,0.9947368421052631,0.0,grid,86.84210526315789
28,0.7421052631578947,1.0368421052631578,0.0,grid,88.94736842105263
29,0.7421052631578947,1.0789473684210527,0.0,grid,91.05263157894737
30,0.7421052631578947,1.1210526315789473,0.0,grid,93.1578947368421
31,0.7421052631578947,1.163157894736842,0.0,grid,95.26315789473682
32,0.7421052631578947,1.2052631578947368,0.0,grid,97.36842105263158
33,0.7421052631578947,1.2473684210526317,0.0,grid,99.47368421052632
34,0.7421052631578947,1.289473684210526,0.0,grid,101.57894736842104
35,0.7421052631578947,1.331578947368421,0.0,grid,103.68421052631578
36,0.7421052631578947,1.3736842105263158,0.0,grid,105.78947368421052
37,0.7421052631578947,1.4157894736842105,0.0,grid,107.89473684210526
38,0.7421052631578947,1.4578947368421051,0.0,grid,110.0
39,0.7421052631578947,1.5,0.0,grid,112.10526315789474
40,0.7842105263157895,0.7,0.0,grid,74.21052631578948
41,0.7842105263157895,0.7421052631578947,0.0,grid,76.3157894736842
42,0.7842105263157895,0.7842105263157895,0.0,grid,78.42105263157895
43,0.7842105263157895,0.8263157894736841,0.0,grid,80.52631578947367
44,0.7842105263157895,0.8684210526315789,0.0,grid,82.63157894736841
45,0.7842105263157895,0.9105263157894736,0.0,grid,84.73684210526315
