controller,pv_generation_scale,pv_s_scale,svc_q_scale,cap_total_mvar,asset_cost_index,stage,pr_violation_any,pr_pf_fail_any,daily_loss_mwh,daily_pv_energy_mwh,feasible,annual_loss_mwh,annual_pv_energy_mwh
film,0.8,0.699999988079071,1.100000023841858,0.0,90.00000059604645,refined,0.0,0.0,1.0136351670427193,25.40649470307015,1,369.97683597059256,9273.370566620604
droop,0.8,,,,,,,,,,0,,
film,1.0,0.699999988079071,1.100000023841858,0.0,90.00000059604645,refined,0.0,0.0,1.0496191202420715,31.75811837883768,1,383.1109788883561,11591.713208275753
droop,1.0,,,,,,,,,,0,,
film,1.2,,,,,,,,,,0,,
droop,1.2,,,,,,,,,,0,,
