method,action_scale,full_injection,deadband_low,deadband_high,full_absorption,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
pilot_droop,0.3,0.95,0.99,1.01,1.05,40,0,0,2.5615380987277505,0.9510889433939561,1.0442436834036588
pilot_droop,0.35,0.95,0.99,1.01,1.05,40,0,0,2.849198794621235,0.9531564525371408,1.0471443889248584
pilot_droop,0.25,0.95,0.98,1.02,1.05,40,4,0,2.1832488668251857,0.9470681424453541,1.0353089092718912
pilot_droop,0.25,0.95,0.99,1.01,1.05,40,4,0,2.2854162172380557,0.9470681424453541,1.0416432420854065
pilot_droop,0.35,0.94,0.98,1.02,1.06,40,6,0,2.282542665312872,0.9483406313053292,1.0412666657786498
pilot_droop,0.3,0.94,0.98,1.02,1.06,40,7,0,2.075163317653212,0.9468427729807602,1.0336409464521503
pilot_droop,0.4,0.95,0.99,1.01,1.05,40,7,0,3.2514551034342163,0.9545908437419082,1.0736619467189183
pilot_droop,0.2,0.95,0.98,1.02,1.05,40,10,0,1.9656349848885661,0.942010237750989,1.0325087227345517
pilot_droop,0.2,0.95,0.99,1.01,1.05,40,10,0,2.0281207591999943,0.942010237750989,1.0387448625926872
pilot_droop,0.25,0.94,0.98,1.02,1.06,40,12,0,1.9347795321820818,0.9443544330640359,1.0319818008446968
pilot_droop,0.5,0.95,0.99,1.01,1.05,40,13,0,3.751355147934157,0.9554913160272046,1.0750666511654603
pilot_droop,0.6,0.95,0.99,1.01,1.05,40,13,0,3.897254573017423,0.9554913160272046,1.0758505171964676
pilot_droop,0.8,0.95,0.99,1.01,1.05,40,13,0,4.072320561303068,0.9554913160272046,1.0769125659349406
pilot_droop,1.0,0.95,0.99,1.01,1.05,40,13,0,4.168253790196496,0.9554913160272046,1.0769125659349406
pilot_droop,0.15,0.95,0.98,1.02,1.05,40,17,0,1.797589983279273,0.9365788620294201,1.0302751454120385
pilot_droop,0.15,0.95,0.99,1.01,1.05,40,17,0,1.8189973793122813,0.9365788620294201,1.0353585482198182
pilot_droop,0.2,0.94,0.98,1.02,1.06,40,17,0,1.8191978345099897,0.9413497448961741,1.0302751454120385
pilot_droop,0.2,0.94,0.97,1.03,1.06,40,19,0,1.7875812487233549,0.9411720163846388,1.022442446509121
pilot_droop,0.15,0.94,0.98,1.02,1.06,40,23,0,1.7398981463423582,0.9365788620294201,1.0282995532225008
pilot_droop,0.1,0.95,0.99,1.01,1.05,40,25,0,1.7161489604161957,0.9308299832606889,1.0318131075294035
pilot_droop,0.1,0.95,0.98,1.02,1.05,40,25,0,1.7173266621681962,0.9308299832606889,1.0277655770258585
pilot_droop,0.15,0.94,0.97,1.03,1.06,40,25,0,1.7435023380505819,0.9365788620294201,1.0217578590365655
pilot_droop,0.25,0.94,0.97,1.03,1.06,40,25,0,1.9401606550233879,0.9428194635273963,1.0280309708122928
pilot_droop,0.1,0.94,0.98,1.02,1.06,40,31,0,1.7257148931927362,0.9308299832606889,1.0265646185359798
pilot_droop,0.1,0.94,0.97,1.03,1.06,40,33,0,1.748491345442286,0.9308299832606889,1.021297380618913
pilot_droop,0.3,0.95,0.98,1.02,1.05,40,33,0,2.970896819844891,0.947856430696291,1.0577665487452232
pilot_droop,0.3,0.94,0.97,1.03,1.06,40,37,0,2.760127909041737,0.9361567183790729,1.0543475552429413
pilot_droop,0.35,0.94,0.97,1.03,1.06,40,38,0,2.9518467979366045,0.9335698897166921,1.0574467793879732
pilot_droop,0.4,0.94,0.98,1.02,1.06,40,38,0,2.986212583822112,0.9452320128261933,1.0577666638607064
pilot_droop,0.4,0.94,0.97,1.03,1.06,40,38,0,3.0808826236935207,0.9322087715118137,1.0579747698924875
pilot_droop,0.5,0.94,0.97,1.03,1.06,40,39,0,3.242794990906539,0.9322087715118137,1.059012349132806
pilot_droop,0.6,0.94,0.97,1.03,1.06,40,39,0,3.3360702897944767,0.9322087715118137,1.059844702668624
pilot_droop,0.35,0.95,0.98,1.02,1.05,40,40,0,3.3126566455486937,0.9453899342535007,1.062153444106433
pilot_droop,0.5,0.94,0.98,1.02,1.06,40,40,0,3.3816605828746065,0.9440491293362578,1.0652031827402142
pilot_droop,0.4,0.95,0.98,1.02,1.05,40,40,0,3.4255588955823884,0.9440491293362578,1.0682242193065725
pilot_droop,0.8,0.94,0.97,1.03,1.06,40,40,0,3.4467923039701405,0.9322087715118137,1.0621533094333326
pilot_droop,0.6,0.94,0.98,1.02,1.06,40,40,0,3.4946273874327582,0.9440491293362578,1.0709076332766831
pilot_droop,1.0,0.94,0.97,1.03,1.06,40,40,0,3.514269390601786,0.9322087715118137,1.0650268584339972
pilot_droop,0.5,0.95,0.98,1.02,1.05,40,40,0,3.5505823815128155,0.9440491293362578,1.071846337668535
pilot_droop,0.8,0.94,0.98,1.02,1.06,40,40,0,3.6338201654626276,0.9440491293362578,1.0738275112748703
pilot_droop,0.6,0.95,0.98,1.02,1.05,40,40,0,3.6338201654626276,0.9440491293362578,1.0738275112748703
pilot_droop,1.0,0.94,0.98,1.02,1.06,40,40,0,3.719217162897961,0.9440491293362578,1.0751277574533606
pilot_droop,0.8,0.95,0.98,1.02,1.05,40,40,0,3.7362288865832882,0.9440491293362578,1.0753942891833266
pilot_droop,1.0,0.95,0.98,1.02,1.05,40,40,0,3.814437698190224,0.9440491293362578,1.0764444291525355
