epoch,training_mse,validation_mse
1,0.0015932175592752174,0.0036916853860020638
2,0.0006860557318759675,0.003881606971845031
3,0.0006108308084549208,0.004108890891075134
4,0.000578002973384173,0.004292201716452837
5,0.0005392074901919841,0.004552249796688557
6,0.0005125901292331037,0.004586549010127783
7,0.00050465431286284,0.004501425661146641
8,0.00047651558065808786,0.004863965790718794
9,0.0004594802312567481,0.004973778501152992
10,0.00044336616699069964,0.005044995341449976
11,0.00045001855994541984,0.0048890383914113045
12,0.0004625448621027317,0.00531427888199687
13,0.0004080347524109129,0.0049861096777021885
14,0.00039469453145102307,0.005759877618402243
15,0.00038331569214733463,0.005369981285184622
16,0.0003942657869515642,0.005406962241977453
17,0.0003702607577906747,0.005539043340831995
18,0.00037370188192653586,0.005789820104837418
19,0.0003437056647044301,0.005744059104472399
20,0.0003350229726493126,0.005528654903173447
21,0.0003584800070939309,0.00586598739027977
22,0.0003593073851106965,0.005928930826485157
23,0.0003524278484974275,0.005955110304057598
24,0.0003311719451630779,0.005268797744065523
25,0.0003218724672251483,0.005102360621094704
26,0.0003386916621366254,0.0053012799471616745
27,0.00029986427205130894,0.005730736535042524
28,0.00034441282912212046,0.005563946440815926
29,0.00033213478604920965,0.0059272791258990765
30,0.0003002671636522791,0.005589126609265804
31,0.00026283917682690117,0.005790450610220432
32,0.0002831035852750574,0.005975625012069941
33,0.0002599603848238985,0.006266184616833925
34,0.0002718239945238565,0.006209936924278736
35,0.0002601817087111158,0.005635756067931652
36,0.00028489857118074724,0.006282852962613106
37,0.00027356761466990065,0.005999207030981779
38,0.000275379958850408,0.005515378434211016
39,0.0002849615325430932,0.005890782922506332
40,0.00027546304596626214,0.006434467155486345
41,0.0002468904480679157,0.006423039361834526
42,0.00024296894662256818,0.006477463990449905
43,0.00026092801834920465,0.006351599004119635
44,0.0002575128888793188,0.006794500630348921
45,0.00024714371869549723,0.005994924809783697
46,0.0002196807513996646,0.006414251402020454
47,0.00024938897558968165,0.0064018196426332
48,0.00021805039074251908,0.006048212293535471
49,0.00023507853444471039,0.006088184658437967
50,0.0002195731912024712,0.006192325614392757
51,0.00024541225349139495,0.00605505658313632
52,0.00022109711829898515,0.006029120180755854
53,0.00022809795189004944,0.0064185550436377525
54,0.00021382366850275503,0.006843568757176399
55,0.00021431392588056042,0.006664165295660496
56,0.0002120186784395628,0.006775985937565565
57,0.00020829303457503556,0.006597914267331362
58,0.00020139396531249076,0.006168465595692396
59,0.00021476807688713961,0.006661355961114168
60,0.00022817099585381584,0.006546970456838608
