pv_s_scale,svc_q_scale,cap_total_mvar,n_scenarios,pr_violation_any,pr_pf_fail_any,loss_mean_pos,capex,pass,feasible
1.289473684210526,0.7,0.5,5,0.2,0.0,1.9368336510511153,100.47368204593658,coarse,0
1.3736842105263158,0.7,0.5,5,0.2,0.0,1.971257017450863,104.68420779705048,coarse,0
1.331578947368421,0.7,0.5,5,0.2,0.0,1.9538512558390635,102.57894790172577,coarse,0
1.163157894736842,0.7,0.5,5,0.2,0.0,1.8882139153180055,94.15789639949799,coarse,0
1.2473684210526317,0.7,0.5,5,0.2,0.0,1.9202126969842748,98.36842215061188,coarse,0
1.2052631578947368,0.7,0.5,5,0.2,0.0,1.9040052848576305,96.26315629482269,coarse,0
1.4157894736842105,0.7,0.5,5,0.2,0.0,1.9890042481544405,106.78947365283966,coarse,0
1.5,0.7,0.5,5,0.2,0.0,2.0255771992722886,110.99999940395355,coarse,0
1.4578947368421051,0.7,0.5,5,0.2,0.0,2.0070956578314916,108.89473354816437,coarse,0
1.331578947368421,0.7,0.75,5,0.2,0.0,2.070874138487549,103.07894790172577,coarse,0
1.5,0.7,0.75,5,0.2,0.0,2.153533922125272,111.49999940395355,coarse,0
1.3736842105263158,0.7,0.75,5,0.2,0.0,2.090969875932784,105.18420779705048,coarse,0
1.4578947368421051,0.7,0.75,5,0.2,0.0,2.132304082080132,109.39473354816437,coarse,0
1.4157894736842105,0.7,0.75,5,0.2,0.0,2.1114596765405027,107.28947365283966,coarse,0
1.1210526315789473,0.7,0.5,5,0.2,0.0,1.8728384993390421,92.0526305437088,coarse,0
1.4157894736842105,0.7,0.0,5,0.6,0.0,1.9454382389765914,105.78947365283966,coarse,0
1.3736842105263158,0.7842105263157895,0.0,5,0.2,0.0,1.9664860993085427,107.89473354816437,coarse,0
1.3736842105263158,0.7421052631578947,0.0,5,0.6,0.0,1.9465121674009047,105.78947067260742,coarse,0
1.3736842105263158,0.7,0.0,5,0.6,0.0,1.9318389380048075,103.68420779705048,coarse,0
1.4157894736842105,0.7421052631578947,0.0,5,0.6,0.0,1.9602345482884722,107.8947365283966,coarse,0
1.4157894736842105,0.7842105263157895,0.0,5,0.2,0.0,1.9803442326646716,109.99999940395355,coarse,0
1.4578947368421051,0.7842105263157895,0.0,5,0.2,0.0,1.9945597548622012,112.10525929927826,coarse,0
1.4578947368421051,0.7421052631578947,0.0,5,0.6,0.0,1.9742995924404063,109.99999642372131,coarse,0
1.4578947368421051,0.7,0.0,5,0.6,0.0,1.9593710167285212,107.89473354816437,coarse,0
1.2473684210526317,0.7842105263157895,0.0,5,0.2,0.0,1.9270957035352165,101.57894790172577,coarse,0
1.2473684210526317,0.7421052631578947,0.0,5,0.6,0.0,1.9074323026503646,99.47368502616882,coarse,0
1.2473684210526317,0.7,0.0,5,0.6,0.0,1.8930965882637438,97.36842215061188,coarse,0
1.289473684210526,0.7,0.0,5,0.6,0.0,1.9056495047566908,99.47368204593658,coarse,0
1.289473684210526,0.7421052631578947,0.0,5,0.6,0.0,1.9200958807154094,101.57894492149353,coarse,0
1.331578947368421,0.7842105263157895,0.0,5,0.2,0.0,1.9529855051019083,105.78947365283966,coarse,0
1.331578947368421,0.7421052631578947,0.0,5,0.6,0.0,1.9331278510545888,103.68421077728271,coarse,0
1.331578947368421,0.7,0.0,5,0.6,0.0,1.9185711834163015,101.57894790172577,coarse,0
1.289473684210526,0.7842105263157895,0.0,5,0.2,0.0,1.9398515134320768,103.68420779705048,coarse,0
1.5,0.7842105263157895,0.0,5,0.2,0.0,2.0091178718768252,114.21052515506744,coarse,0
1.5,0.7421052631578947,0.0,5,0.6,0.0,1.9887047354027048,112.1052622795105,coarse,0
1.5,0.7,0.0,5,0.6,0.0,1.9736264121346576,109.99999940395355,coarse,0
0.9526315789473684,0.7842105263157895,0.0,5,0.2,0.0,1.8485428775420174,86.84210479259491,coarse,0
1.1210526315789473,0.7842105263157895,0.0,5,0.2,0.0,1.891099502373541,95.26315629482269,coarse,0
1.1210526315789473,0.7421052631578947,0.0,5,0.6,0.0,1.871701603918586,93.15789341926575,coarse,0
1.1210526315789473,0.7,0.0,5,0.6,0.0,1.8576664826343936,91.0526305437088,coarse,0
1.2052631578947368,0.7842105263157895,0.0,5,0.2,0.0,1.9147120229558667,99.47368204593658,coarse,0
1.2052631578947368,0.7421052631578947,0.0,5,0.6,0.0,1.8951410320803788,97.36841917037964,coarse,0
1.2052631578947368,0.7,0.0,5,0.6,0.0,1.8809122072974183,95.26315629482269,coarse,0
1.163157894736842,0.7842105263157895,0.0,5,0.2,0.0,1.902713908851922,97.36842215061188,coarse,0
1.163157894736842,0.7421052631578947,0.0,5,0.6,0.0,1.8832276401625663,95.26315927505493,coarse,0
1.163157894736842,0.7,0.0,5,0.6,0.0,1.8690990860910677,93.15789639949799,coarse,0
0.9947368421052631,0.7842105263157895,0.0,5,0.2,0.0,1.8585842882046504,88.94736766815186,coarse,0
0.9947368421052631,0.7421052631578947,0.0,5,0.6,0.0,1.8394374536928546,86.84210479259491,coarse,0
1.0789473684210527,0.7842105263157895,0.0,5,0.2,0.0,1.8798719527870464,93.15789639949799,coarse,0
1.0789473684210527,0.7421052631578947,0.0,5,0.6,0.0,1.8605553558012953,91.05263352394104,coarse,0
1.0789473684210527,0.7,0.0,5,0.6,0.0,1.8466190039292516,88.9473706483841,coarse,0
1.0368421052631578,0.7842105263157895,0.0,5,0.2,0.0,1.869031807739232,91.0526305437088,coarse,0
1.0368421052631578,0.7421052631578947,0.0,5,0.6,0.0,1.8497963253809107,88.94736766815186,coarse,0
1.0368421052631578,0.7,0.0,5,0.6,0.0,1.8359600011154236,86.84210479259491,coarse,0
1.4578947368421051,0.7421052631578947,0.25,5,0.2,0.0,1.9660324745177675,110.49999642372131,coarse,0
1.4578947368421051,0.7,0.25,5,0.6,0.0,1.947247097639531,108.39473354816437,coarse,0
1.5,0.7,0.25,5,0.6,0.0,1.963324269359319,110.49999940395355,coarse,0
1.5,0.7421052631578947,0.25,5,0.2,0.0,1.9821614873544369,112.6052622795105,coarse,0
1.0368421052631578,0.7,0.5,5,0.2,0.0,1.843316613780166,87.84210479259491,coarse,0
0.9947368421052631,0.7,0.5,5,0.2,0.0,1.8291608654311964,85.73684191703796,coarse,0
1.0789473684210527,0.7,0.5,5,0.2,0.0,1.8578717418234365,89.9473706483841,coarse,0
1.0789473684210527,0.7421052631578947,0.25,5,0.2,0.0,1.8373542757458554,91.55263352394104,coarse,0
1.0789473684210527,0.7,0.25,5,0.6,0.0,1.819016252377061,89.4473706483841,coarse,0
1.163157894736842,0.7421052631578947,0.25,5,0.2,0.0,1.8632596693303687,95.76315927505493,coarse,0
1.163157894736842,0.7,0.25,5,0.6,0.0,1.844833485204194,93.65789639949799,coarse,0
1.1210526315789473,0.7421052631578947,0.25,5,0.2,0.0,1.8501103544240274,93.65789341926575,coarse,0
1.1210526315789473,0.7,0.25,5,0.6,0.0,1.8317333910484586,91.5526305437088,coarse,0
1.0368421052631578,0.7421052631578947,0.25,5,0.2,0.0,1.8249930350998498,89.44736766815186,coarse,0
1.0368421052631578,0.7,0.25,5,0.6,0.0,1.8066910013517066,87.34210479259491,coarse,0
0.9526315789473684,0.7421052631578947,0.25,5,0.2,0.0,1.801457631908597,85.23684191703796,coarse,0
0.9947368421052631,0.7421052631578947,0.25,5,0.2,0.0,1.8130252386186452,87.34210479259491,coarse,0
0.9947368421052631,0.7,0.25,5,0.6,0.0,1.7947630039616151,85.23684191703796,coarse,0
1.331578947368421,0.7421052631578947,0.25,5,0.2,0.0,1.9197644163534022,104.18421077728271,coarse,0
1.331578947368421,0.7,0.25,5,0.6,0.0,1.9011514423152893,102.07894790172577,coarse,0
1.4157894736842105,0.7,0.25,5,0.6,0.0,1.9315314219023105,106.28947365283966,coarse,0
1.3736842105263158,0.7421052631578947,0.25,5,0.2,0.0,1.9348357780323053,106.28947067260742,coarse,0
1.3736842105263158,0.7,0.25,5,0.6,0.0,1.9161710484763712,104.18420779705048,coarse,0
1.4157894736842105,0.7421052631578947,0.25,5,0.2,0.0,1.9502606436138954,108.3947365283966,coarse,0
1.2052631578947368,0.7421052631578947,0.25,5,0.2,0.0,1.8768010860965423,97.86841917037964,coarse,0
1.2052631578947368,0.7,0.25,5,0.6,0.0,1.8583236649652015,95.76315629482269,coarse,0
1.289473684210526,0.7421052631578947,0.25,5,0.2,0.0,1.9050544485256453,102.07894492149353,coarse,0
1.289473684210526,0.7,0.25,5,0.6,0.0,1.886485477176129,99.97368204593658,coarse,0
1.2473684210526317,0.7,0.25,5,0.6,0.0,1.8722056066262138,97.86842215061188,coarse,0
1.2473684210526317,0.7421052631578947,0.25,5,0.2,0.0,1.890732904116255,99.97368502616882,coarse,0
1.1210526315789473,0.7,0.75,30,0.03333333333333333,0.0,1.0543905245739875,92.5526305437088,refined,0
1.1210526315789473,0.7421052631578947,0.75,30,0.03333333333333333,0.0,1.068682415497052,94.65789341926575,refined,0
1.1210526315789473,0.7842105263157895,0.75,30,0.03333333333333333,0.0,1.0856224316627587,96.76315629482269,refined,0
1.1210526315789473,0.8263157894736841,0.75,30,0.03333333333333333,0.0,1.105190364084326,98.86841917037964,refined,0
1.1210526315789473,0.8684210526315789,0.75,30,0.03333333333333333,0.0,1.1273952366141413,100.97368502616882,refined,0
1.1210526315789473,0.9526315789473684,0.75,30,0.03333333333333333,0.0,1.9189060597816303,105.18421077728271,refined,0
1.0789473684210527,1.5,0.75,30,0.03333333333333333,0.0,3.299648483582084,130.44737124443054,refined,0
1.1210526315789473,0.9947368421052631,0.75,30,0.0,0.0,2.272391128932813,107.28947365283966,refined,1
1.1210526315789473,1.0368421052631578,0.75,30,0.0,0.0,2.3335082792255952,109.3947365283966,refined,1
1.1210526315789473,1.0789473684210527,0.75,30,0.0,0.0,2.399375760527903,111.50000238418579,refined,1
1.1210526315789473,0.9105263157894736,0.75,30,0.03333333333333333,0.0,1.152236352399579,103.07894790172577,refined,0
1.0789473684210527,1.4578947368421051,0.75,30,0.03333333333333333,0.0,3.1873209843089594,128.34210538864136,refined,0
1.163157894736842,1.4157894736842105,0.75,30,0.0,0.0,3.1097545854237967,130.44737124443054,refined,1
1.1210526315789473,1.1210526315789473,0.75,30,0.0,0.0,2.469955343970575,113.6052622795105,refined,1
1.0789473684210527,1.331578947368421,0.75,30,0.0,0.0,2.8774965671564017,122.02631974220276,refined,1
1.0789473684210527,1.289473684210526,0.75,30,0.0,0.0,2.7834356383068295,119.92105388641357,refined,1
1.0789473684210527,1.2473684210526317,0.75,30,0.0,0.0,2.694044221360786,117.81579399108887,refined,1
1.0789473684210527,1.2052631578947368,0.75,30,0.0,0.0,2.6093107495370558,115.71052813529968,refined,1
1.0789473684210527,1.163157894736842,0.75,30,0.0,0.0,2.529241128791661,113.60526823997498,refined,1
1.0789473684210527,1.1210526315789473,0.75,30,0.0,0.0,2.4538425508700845,111.50000238418579,refined,1
1.0789473684210527,1.0789473684210527,0.75,30,0.0,0.0,2.3830966070276154,109.39474248886108,refined,1
1.0789473684210527,1.0368421052631578,0.75,30,0.0,0.0,2.3170736023059604,107.2894766330719,refined,1
1.0789473684210527,0.9947368421052631,0.75,30,0.0,0.0,2.255810879249431,105.18421375751495,refined,1
1.0789473684210527,0.9526315789473684,0.75,30,0.03333333333333333,0.0,1.9044157957005416,103.07895088195801,refined,0
