candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,evaluated_days,mean_daily_loss_mwh,worst_vmin,worst_vmax,loss_increase_from_previous_mwh
0,0.225,0.0,0.0,8,1.1396234443819329,0.9510000008852414,1.0193504840778587,
1,0.3,0.0,0.0,8,1.1391671201195823,0.9509994503636856,1.0194030866827848,-0.00045632426235053813
2,0.3,0.1875,0.0,8,0.9008850375466176,0.9568573653538431,1.0185428783989665,-0.23828208257296468
3,0.3,0.375,0.0,8,0.8803319234624405,0.9590046912611153,1.0181959517123924,-0.02055311408417715
4,0.45,0.375,0.0,8,0.8798478045487563,0.9583362997498655,1.0181990049869583,-0.0004841189136841617
5,0.45,0.5625,0.0,8,0.8798187832171309,0.9584536753731034,1.0181990592250574,-2.902133162541176e-05
6,0.45,0.75,0.0,8,0.8797595027587589,0.9584194742187451,1.0181574681671433,-5.928045837200191e-05
7,0.6,0.75,0.0,8,0.8797506286491013,0.9583531058113411,1.018201906767226,-8.874109657663887e-06
8,0.75,0.75,0.0,8,0.8797462446926954,0.9583975683671001,1.0181986554017344,-4.383956405895617e-06
