candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,evaluated_days,risk,mean_daily_loss_mwh,max_daily_loss_mwh,worst_vmin,worst_vmax,mean_solve_seconds,inherited_steps,direct_fallback_steps,loss_increase_from_previous_mwh
0,0.225,0.0,0.0,40,0.8,0.9085651131153799,1.7076692704995415,0.9510000005980138,1.022611601288502,12.919997597481416,0,0,
1,0.3,0.0,0.0,40,0.6,1.2367727745868613,2.2136898138901633,0.950999352929683,1.03707318414791,14.936028032483591,693,0,0.3282076614714814
2,0.3,0.1875,0.0,40,0.2,1.4980036428730057,2.7352556166159494,0.9510000004491493,1.0254311830903062,20.24291867750726,2,0,0.2612308682861444
3,0.3,0.375,0.0,40,0.025,1.4694548216298797,2.421529909594208,0.9510000018836835,1.0254311830903062,21.168532089982182,2,0,-0.028548821243125966
4,0.45,0.375,0.0,40,0.025,1.4687014610220228,2.4240465006689496,0.9509994972640472,1.0227774736594983,21.123036204998062,1552,0,-0.0007533606078569122
5,0.45,0.5625,0.0,40,0.025,1.4664561424885907,2.3734674157498015,0.9509994972640472,1.0227439410619201,21.225531640034024,1696,0,-0.002245318533432128
6,0.45,0.75,0.0,40,0.025,1.4681977413130105,2.3739869128808215,0.9510243267675538,1.0227437419611176,20.95813017250257,1990,0,0.001741598824419821
7,0.6,0.75,0.0,40,0.025,1.4764958314164567,2.3730457864559,0.9510243267675538,1.0480874591356995,21.09865293998373,2021,0,0.008298090103446176
8,0.75,0.75,0.0,40,0.025,1.4765113151961273,2.3730779581375163,0.9510000592874849,1.0480874262142836,21.34148288248907,1925,0,1.5483779670644182e-05
