candidate_id,scenario_index,step,time_index,solver,loss_mw,vmin,vmax,solve_ms,q_mvar_0,q_mvar_1,q_mvar_2,q_mvar_3,error
0,0,0,96,pandapower_ac_opf,0.036852784932265584,0.9647750255677382,1.0000000000025202,919.9705999926664,0.24610607325521178,0.06484351674945467,0.29439792553289235,7.525022783961777e-12,
1,0,0,96,pandapower_ac_opf,0.03681931711986501,0.9646981040967246,1.0000000000011902,206.4319999772124,0.2374530718740992,0.06475472451224945,0.2937273481429754,-1.67397406107109e-11,
2,0,0,96,pandapower_ac_opf,0.030416272733794023,0.9727110910871678,1.0000000000009832,212.1859999897424,0.1724133060493446,0.05754588858962752,0.2366016777950002,0.3283993624531095,
3,0,0,96,pandapower_ac_opf,0.03034532623729725,0.9740827497092318,0.999999999999666,265.0627999973949,0.18766620537498008,0.05618835925265342,0.2246801629905209,0.410390908668199,
4,0,0,96,pandapower_ac_opf,0.03022330044988204,0.9723120926731067,1.0000000000000058,262.4018999922555,0.15010474218043815,0.05603778076396993,0.22492848274384375,0.3977203947822957,
5,0,0,96,inherited_nested_dispatch,0.030228724410491296,0.9723018023106772,1.0,220.855899999151,0.15010474218043815,0.05603778076396993,0.22492848274384375,0.3977203947822957,
6,0,0,96,inherited_nested_dispatch,0.030228724410491296,0.9723018023106772,1.0,208.24169999104924,0.15010474218043815,0.05603778076396993,0.22492848274384375,0.3977203947822957,
7,0,0,96,inherited_nested_dispatch,0.030228724410491296,0.9723018023106772,1.0,207.23339999676682,0.15010474218043815,0.05603778076396993,0.22492848274384375,0.3977203947822957,
8,0,0,96,inherited_nested_dispatch,0.030228724410491296,0.9723018023106772,1.0,204.1691000049468,0.15010474218043815,0.05603778076396993,0.22492848274384375,0.3977203947822957,
0,0,1,97,pandapower_ac_opf,0.036135308256675616,0.965105884666994,1.0000000000023854,201.73410000279546,0.24245748464990202,0.06419155583298242,0.29138200375515005,2.5791230509147695e-11,
1,0,1,97,pandapower_ac_opf,0.03610429492584614,0.9650282508361289,1.0000000000011395,241.81929999031126,0.23375341371937183,0.06410561939208265,0.29074472748253105,-1.7981271393805182e-11,
2,0,1,97,pandapower_ac_opf,0.02981766108348442,0.9729318005635031,1.0000000000010032,207.67410000553355,0.16935420679559904,0.05693738707194643,0.2339051343549572,0.3275610699839288,
3,0,1,97,pandapower_ac_opf,0.029758745046917036,0.9743088686516428,0.999999999999656,208.9655000017956,0.18527150279941346,0.055649783990966074,0.22251623612702318,0.4064197366877012,
4,0,1,97,pandapower_ac_opf,0.029642469357497668,0.9725570444834479,1.0000000000000973,205.07259998703375,0.1481850796727721,0.055499360704635486,0.22276487324829677,0.39383075742539514,
