candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,solve_total_seconds,solve_mean_ms,opf_fallback_steps
100,0,0,0,0.45,0.375,0.0,0,0,0,0,0.8705694474776073,0.9637021343356551,1.002630098296738,33.469558800017694,348.64123750018433,0
100,1,9,864,0.45,0.375,0.0,0,0,0,0,2.4003613679905826,0.9501953897577013,1.0000000000007379,36.449837000021944,379.6858020835619,0
100,2,41,3936,0.45,0.375,0.0,0,0,0,0,1.479811628403618,0.9553678794090844,1.0027800749845779,35.03126849994442,364.909046874421,0
100,3,51,4896,0.45,0.375,0.0,0,0,0,0,2.1304934721188347,0.9518492810957828,1.0000000000011344,35.95100599995203,374.4896458328337,0
100,4,71,6816,0.45,0.375,0.0,0,0,0,0,1.555612412679469,0.9538292502752123,1.0098120881663535,33.28914319999603,346.761908333292,0
100,5,120,11520,0.45,0.375,0.0,0,0,0,0,0.8279395075780194,0.963275401624576,1.00695971544148,32.35333159993752,337.01387083268247,0
100,6,149,14304,0.45,0.375,0.0,0,0,0,0,1.3534292756835282,0.9581028845873424,1.008067981692856,34.167120099991735,355.9075010415806,0
100,7,175,16800,0.45,0.375,0.0,0,0,0,0,0.8032922580485785,0.9638590525559213,1.0057004831146368,32.59349949998432,339.5156197915033,0
100,8,201,19296,0.45,0.375,0.0,0,0,0,0,1.23610179258524,0.9597673017796365,1.016498499964849,31.22844730000361,325.2963260417043,0
100,9,209,20064,0.45,0.375,0.0,0,0,0,0,0.8531104317613608,0.96559258668646,1.0153688552294242,33.70232889998442,351.0659260415044,0
100,10,216,20736,0.45,0.375,0.0,0,0,0,0,0.8304233125305677,0.9656077768701007,1.0080490296038949,33.88808529994276,353.0008885410704,0
100,11,234,22464,0.45,0.375,0.0,0,0,0,0,1.269062288020365,0.9576833342126588,1.0208750110581573,33.597138500037545,349.9701927087244,0
100,12,268,25728,0.45,0.375,0.0,0,0,0,0,1.5061100476003682,0.9547056393043876,1.0058995780509288,36.66432820004411,381.92008541712613,0
100,13,284,27264,0.45,0.375,0.0,0,0,0,0,1.7221864724778557,0.9540793275982715,1.0029968665582045,37.037595500012685,385.8082864584655,0
100,14,291,27936,0.45,0.375,0.0,0,0,0,0,1.654075171359246,0.9537923541193315,1.0057946916276734,37.08576640000683,386.31006666673784,0
100,15,296,28416,0.45,0.375,0.0,0,0,0,0,1.9107737434256789,0.9530480360534519,1.0000000000021099,38.168174000049476,397.5851458338487,0
100,16,350,33600,0.45,0.375,0.0,0,0,0,0,1.441565944994005,0.9564640904323525,1.0000000000024787,39.968518399997265,416.33873333330484,0
105,0,0,0,0.45,0.5625,0.0,0,0,0,0,0.8707517961563219,0.9636148701936611,1.0026300463345965,39.123800300039875,407.5395864587487,0
105,1,9,864,0.45,0.5625,0.0,0,0,0,0,2.3817499164336278,0.9501145087852992,1.0000000000007132,41.64348879998579,433.78634166651864,0
105,2,41,3936,0.45,0.5625,0.0,0,0,0,0,1.480172433946151,0.9556343790694957,1.0027813948138913,40.710560800005624,424.06834166672525,0
105,3,51,4896,0.45,0.5625,0.0,0,0,0,0,2.1290737926426564,0.950698420716679,1.0000000000006932,41.87834049997764,436.2327135414337,0
105,4,71,6816,0.45,0.5625,0.0,0,0,0,0,1.5568437357506988,0.9541444366549864,1.0098004554196962,40.29236350003339,419.71211979201445,0
105,5,120,11520,0.45,0.5625,0.0,0,0,0,0,0.8280109521617258,0.9632074742455119,1.0069589735133144,39.57832159998361,412.2741833331626,0
105,6,149,14304,0.45,0.5625,0.0,0,0,0,0,1.3539876946049323,0.958241632348212,1.0080573088643725,40.460608199944545,421.46466874942234,0
105,7,175,16800,0.45,0.5625,0.0,0,0,0,0,0.8039050417211643,0.9637625895280245,1.0057001139333765,39.7451595000166,414.0120781251729,0
105,8,201,19296,0.45,0.5625,0.0,0,0,0,0,1.23644667562746,0.9599355675536763,1.016485296826753,40.00379099998099,416.706156249802,0
105,9,209,20064,0.45,0.5625,0.0,0,0,0,0,0.8534526698151408,0.9675194824973374,1.0153688137732306,39.60878810004215,412.59154270877235,0
105,10,216,20736,0.45,0.5625,0.0,0,0,0,0,0.8308294426605012,0.9675315363256782,1.008048216367334,40.91210529996897,426.16776354134345,0
105,11,234,22464,0.45,0.5625,0.0,0,0,0,0,1.2694237193612545,0.9577852089362084,1.0208461000969338,42.01710609996371,437.67818854128865,0
105,12,268,25728,0.45,0.5625,0.0,0,0,0,0,1.5071587524158685,0.9549042474334704,1.005895398726614,42.15080769998167,439.0709135414757,0
105,13,284,27264,0.45,0.5625,0.0,0,0,0,0,1.7244028188661646,0.954441690392907,1.002992038150624,42.28913339997234,440.5118062497119,0
105,14,291,27936,0.45,0.5625,0.0,0,0,0,0,1.6563826471808893,0.9540994690008558,1.0057910441099587,41.95537680002599,437.0351750002707,0
105,15,296,28416,0.45,0.5625,0.0,0,0,0,0,1.914671366724867,0.9533369058039063,0.999999999999894,43.24444549996406,450.4629739579589,0
105,16,350,33600,0.45,0.5625,0.0,0,0,0,0,1.441715732277228,0.956255868504107,1.000000000001536,41.88379180000629,436.2894979167322,0
267,0,0,0,0.9,1.5,0.5,0,0,0,0,0.8486609029840949,0.9659977481796379,1.002275055896436,41.14782389999891,428.62316562498864,0
267,1,9,864,0.9,1.5,0.5,0,0,0,0,2.3300496823289927,0.9521290442308009,1.0000000000002354,43.55078480001248,453.6540083334633,0
267,2,41,3936,0.9,1.5,0.5,0,0,0,0,1.4455050333792088,0.9552886733901729,1.0024204394272895,40.92764699998952,426.32965624989083,0
267,3,51,4896,0.9,1.5,0.5,0,0,0,0,2.0751278359476,0.9531107152370493,1.0000000000002585,43.08764210003574,448.8296052087056,0
267,4,71,6816,0.9,1.5,0.5,0,0,0,0,1.511849703811168,0.953919441022673,1.009441323090755,41.01210739997623,427.20945208308575,0
267,5,120,11520,0.9,1.5,0.5,0,0,0,0,0.8042536386869326,0.965664078881534,1.0065961203803566,41.17609219994483,428.91762708275866,0
267,6,149,14304,0.9,1.5,0.5,0,0,0,0,1.3147205062067502,0.9584447332486251,1.0076981653834218,41.05379510001512,427.64369895849086,0
267,7,175,16800,0.9,1.5,0.5,0,0,0,0,0.7792415945363826,0.9661201152242326,1.0053388991180043,39.81634019999183,414.75354374991485,0
267,8,201,19296,0.9,1.5,0.5,0,0,0,0,1.2010236742826645,0.9632776228706719,1.0159831504637107,41.34461359999841,430.67305833331676,0
267,9,209,20064,0.9,1.5,0.5,0,0,0,0,0.826957410982471,0.9675566163618275,1.0149077681338612,40.55432710000605,422.4409072917297,0
267,10,216,20736,0.9,1.5,0.5,0,0,0,0,0.8050512637330821,0.9675700054995311,1.0076826006993105,40.4662161000233,421.5230843752427,0
267,11,234,22464,0.9,1.5,0.5,0,0,0,0,1.2338996526418013,0.9579316291514688,1.020553090344278,40.213973299978534,418.8955552081097,0
267,12,268,25728,0.9,1.5,0.5,0,0,0,0,1.4655577282228327,0.9548939818045171,1.0055355658091705,39.956561299957684,416.2141802078925,0
267,13,284,27264,0.9,1.5,0.5,0,0,0,0,1.6769192509494109,0.9540603900462002,1.002652534322399,40.72295190001023,424.19741562510654,0
267,14,291,27936,0.9,1.5,0.5,0,0,0,0,1.6090531932622618,0.9538984724227025,1.0054312964293224,38.62780800007749,402.3730000008072,0
267,15,296,28416,0.9,1.5,0.5,0,0,0,0,1.8605244142429298,0.9534947540261028,1.0000000000008233,40.20397649998631,418.7914218748574,0
267,16,350,33600,0.9,1.5,0.5,0,0,0,0,1.411265688451773,0.9564820100070262,1.0000000000011584,37.32160879998264,388.7667583331525,0
