method,execution,seed,mean_online_ms,p95_online_ms,max_online_ms
wg,raw,42,18.268348570276714,22.336550009640632,24.116900000080932
wg,projected,42,25.76766205067269,31.478400003834395,33.704800000123214
wg,raw,43,18.0709050652451,22.184849993209355,24.173600002541207
wg,projected,43,29.168479861145066,32.83745000771887,170.13079999014735
wg,raw,44,17.97101977117296,22.662775007120217,24.422099995717872
wg,projected,44,24.985374080842078,31.44077500110143,34.483499999623746
wg,raw,45,18.12807689941193,22.07332500256598,25.016399995365646
wg,projected,45,27.09613431365041,32.49302500444173,35.47219999018125
wg,raw,46,19.45363472230508,22.833049994005705,29.500900003768038
wg,projected,46,26.316130923112343,32.0831500011991,34.35229999740841
concat,raw,42,18.78190888481756,22.569300006580306,24.495400000887457
concat,projected,42,26.79915426878015,32.38927498750854,35.020700001041405
concat,raw,43,18.69043592730978,22.774474999096128,24.808800000755582
concat,projected,43,26.784433558099874,32.3801250087854,35.255300004791934
concat,raw,44,19.151323243472778,22.732000003088615,26.003500002843793
concat,projected,44,26.427233170013505,32.09725000670005,34.101699995517265
concat,raw,45,18.709316380721372,22.551425001438474,23.927400005050004
concat,projected,45,26.169159089016343,31.89820000625332,34.948100001201965
concat,raw,46,18.431728247585056,22.705625000526197,25.102600011450704
concat,projected,46,25.584403696863472,31.97264999107574,35.05879999283934
