method,execution,training_seeds,mean_online_ms,p95_online_ms,max_online_ms
concat,projected,5,26.352876756554668,32.38927498750854,35.255300004791934
concat,raw,5,18.752942536781312,22.774474999096128,26.003500002843793
wg,projected,5,26.666756245884518,32.83745000771887,170.13079999014735
wg,raw,5,18.37839700568236,22.833049994005705,29.500900003768038
local_ac_opf,centralized_dispatch,0,405.0913818218552,492.62912499762024,1414.4876999998814
