seed,method,execution,candidate_id,scenario_index,daily_loss_mwh_learned,risk_learned,pf_fail_learned,daily_loss_mwh_opf,risk_opf,pf_fail_opf,loss_gap_mwh,relative_loss_gap_percent
42,wg,raw,100,0,0.9141512846137404,0,0,0.8705694474776073,0,0,0.04358183713613306,5.006129868490941
42,wg,raw,100,1,2.69094632748527,0,0,2.400361367990582,0,0,0.29058495949468766,12.105883862726278
42,wg,raw,100,2,1.53954858849762,0,0,1.479811628403618,0,0,0.05973696009400209,4.0367948830382385
42,wg,raw,100,3,2.3556704080983626,0,0,2.1304934721188347,0,0,0.22517693597952793,10.569238485184526
42,wg,raw,100,4,1.6444146423789354,0,0,1.555612412679469,0,0,0.08880222969946638,5.7085061147402865
42,wg,raw,100,5,0.8665812705027134,0,0,0.8279395075780194,0,0,0.03864176292469401,4.667220560320064
42,wg,raw,100,6,1.3913365568322298,0,0,1.3534292756835282,0,0,0.037907281148701566,2.80083206634917
42,wg,raw,100,7,0.8406838262788066,0,0,0.8032922580485785,0,0,0.037391568230228045,4.654790066203628
42,wg,raw,100,8,1.263806078259599,0,0,1.23610179258524,0,0,0.027704285674359008,2.241262478587382
42,wg,raw,100,9,0.889000892464532,0,0,0.8531104317613608,0,0,0.035890460703171145,4.207012289026929
42,wg,raw,100,10,0.86631321435469,0,0,0.8304233125305677,0,0,0.03588990182412233,4.321880332905662
42,wg,raw,100,11,1.306999856068788,0,0,1.269062288020365,0,0,0.037937568048423076,2.9894173364494683
42,wg,raw,100,12,1.5843564536639607,0,0,1.5061100476003682,0,0,0.07824640606359257,5.195264860510013
42,wg,raw,100,13,1.8408571936629323,0,0,1.7221864724778555,0,0,0.11867072118507682,6.890701040888749
42,wg,raw,100,14,1.763228623545623,0,0,1.654075171359246,0,0,0.10915345218637684,6.599062368893389
42,wg,raw,100,15,2.085662695401044,0,0,1.9107737434256789,0,0,0.17488895197536514,9.152781828675343
42,wg,raw,100,16,1.5070785561672888,0,0,1.441565944994005,0,0,0.06551261117328377,4.54454486808484
42,wg,raw,105,0,0.889313592683044,0,0,0.8707517961563219,0,0,0.018561796526722074,2.1316977591843824
42,wg,raw,105,1,2.698171272007821,0,0,2.381749916433628,0,0,0.3164213555741928,13.285246842707739
42,wg,raw,105,2,1.536535272967512,0,0,1.480172433946151,0,0,0.056362839021360855,3.807856282737079
42,wg,raw,105,3,2.364253424723513,0,0,2.1290737926426564,0,0,0.23517963208085657,11.046100557601909
42,wg,raw,105,4,1.6423987391345984,0,0,1.5568437357506988,0,0,0.08555500338389965,5.495413664149514
42,wg,raw,105,5,0.8505086953554043,0,0,0.8280109521617258,0,0,0.022497743193678477,2.71708280366855
42,wg,raw,105,6,1.3846308623981622,0,0,1.3539876946049323,0,0,0.030643167793229953,2.26317919397126
42,wg,raw,105,7,0.8235912851822438,0,0,0.8039050417211643,0,0,0.0196862434610795,2.4488269682861006
42,wg,raw,105,8,1.2551731215035795,0,0,1.23644667562746,0,0,0.018726445876119602,1.514537282136853
42,wg,raw,105,9,0.8726827306707043,0,0,0.8534526698151408,0,0,0.019230060855563558,2.2532076511904076
42,wg,raw,105,10,0.8496749933661679,0,0,0.8308294426605012,0,0,0.018845550705666736,2.2682815194077715
42,wg,raw,105,11,1.2991598107385558,0,0,1.2694237193612543,0,0,0.029736091377301488,2.342487455037001
42,wg,raw,105,12,1.5803125788446322,0,0,1.5071587524158685,0,0,0.07315382642876367,4.853757197873368
42,wg,raw,105,13,1.8416863871298703,0,0,1.7244028188661646,0,0,0.11728356826370567,6.801402026286548
42,wg,raw,105,14,1.763667757373063,0,0,1.6563826471808891,0,0,0.1072851101921739,6.4770728173692085
42,wg,raw,105,15,2.090421332618309,0,0,1.914671366724867,0,0,0.17574996589344205,9.179119140120136
42,wg,raw,105,16,1.4986210329849274,0,0,1.441715732277228,0,0,0.05690530070769939,3.9470541545534754
42,wg,raw,267,0,0.8591562870002448,0,0,0.8486609029840949,0,0,0.010495384016149911,1.2366993671141946
42,wg,raw,267,1,2.6562956120540018,0,0,2.3300496823289927,0,0,0.3262459297250091,14.001672676734993
42,wg,raw,267,2,1.5031263680544595,0,0,1.4455050333792088,0,0,0.05762133467525077,3.9862424097235634
42,wg,raw,267,3,2.3188196321283003,0,0,2.0751278359476,0,0,0.24369179618070014,11.743459461109252
42,wg,raw,267,4,1.5998340118636327,0,0,1.511849703811168,0,0,0.08798430805246471,5.819646478791391
42,wg,raw,267,5,0.8177844692313264,0,0,0.8042536386869326,0,0,0.013530830544393857,1.682408371379583
42,wg,raw,267,6,1.355620995941267,0,0,1.3147205062067502,0,0,0.040900489734516876,3.110964615020993
42,wg,raw,267,7,0.7909360421362372,0,0,0.7792415945363826,0,0,0.011694447599854607,1.5007473525347852
42,wg,raw,267,8,1.2250910890467666,0,0,1.2010236742826643,0,0,0.024067414764102235,2.0039084390636166
42,wg,raw,267,9,0.838867717026904,0,0,0.826957410982471,0,0,0.011910306044432994,1.4402562799797507
42,wg,raw,267,10,0.8161048751960136,0,0,0.8050512637330821,0,0,0.01105361146293149,1.3730319994375362
42,wg,raw,267,11,1.2640812138467492,0,0,1.2338996526418011,0,0,0.030181561204948082,2.446030448288791
42,wg,raw,267,12,1.5414778553141044,0,0,1.4655577282228327,0,0,0.07592012709127172,5.180289089214802
42,wg,raw,267,13,1.80102987823741,0,0,1.6769192509494109,0,0,0.12411062728799904,7.401109338910154
42,wg,raw,267,14,1.7207038134550554,0,0,1.6090531932622618,0,0,0.11165062019279359,6.938901750440484
42,wg,raw,267,15,2.0392212781333137,0,0,1.8605244142429296,0,0,0.17869686389038408,9.604650308396948
42,wg,raw,267,16,1.4615097038793994,0,0,1.411265688451773,0,0,0.050244015427626465,3.5602095224710375
42,wg,projected,100,0,0.9141512846137404,0,0,0.8705694474776073,0,0,0.04358183713613306,5.006129868490941
42,wg,projected,100,1,2.69094632748527,0,0,2.400361367990582,0,0,0.29058495949468766,12.105883862726278
42,wg,projected,100,2,1.53954858849762,0,0,1.479811628403618,0,0,0.05973696009400209,4.0367948830382385
42,wg,projected,100,3,2.3556704080983626,0,0,2.1304934721188347,0,0,0.22517693597952793,10.569238485184526
42,wg,projected,100,4,1.6444146423789354,0,0,1.555612412679469,0,0,0.08880222969946638,5.7085061147402865
42,wg,projected,100,5,0.8665812705027134,0,0,0.8279395075780194,0,0,0.03864176292469401,4.667220560320064
42,wg,projected,100,6,1.3913365568322298,0,0,1.3534292756835282,0,0,0.037907281148701566,2.80083206634917
42,wg,projected,100,7,0.8406838262788066,0,0,0.8032922580485785,0,0,0.037391568230228045,4.654790066203628
42,wg,projected,100,8,1.263806078259599,0,0,1.23610179258524,0,0,0.027704285674359008,2.241262478587382
