method,execution,candidate_id,training_seeds,matched_days_per_seed,mean_learned_loss_mwh,mean_opf_loss_mwh,mean_loss_gap_mwh,seed_t_95_ci_low_mwh,seed_t_95_ci_high_mwh,seed_gap_standard_deviation_mwh,seed_mean_gaps_mwh,mean_relative_loss_gap_percent,fraction_learned_below_local_opf,learned_event_days,opf_event_days,learned_pf_fail_days,opf_pf_fail_days
concat,projected,100,5,17,1.438025088731489,1.4026422691020546,0.03538281962943461,0.026553560131393886,0.04421207912747534,0.007110828300420593,"[0.04346913239150289, 0.03295656741124656, 0.04245134073761874, 0.02895537634295994, 0.029081681263844947]",2.11724798829706,0.0,0,0,0,0
concat,projected,105,5,17,1.4368518978163731,1.402292893432156,0.03455900438421694,0.026472458170596996,0.04264555059783688,0.006512668665048047,"[0.03969088083182648, 0.0311534402903293, 0.04328972390095407, 0.029972815796161817, 0.028688161101813048]",2.0533363681509824,0.0,0,0,0,0
concat,projected,267,5,17,1.4156942264753902,1.364685951450021,0.05100827502536918,0.03709934561621093,0.06491720443452742,0.011201846416807913,"[0.06101739794781437, 0.03783663759516698, 0.05191961834699534, 0.06273778550050498, 0.04152993573636424]",3.5963537812108735,0.0,0,0,0,0
concat,raw,100,5,17,1.438025088731489,1.4026422691020546,0.03538281962943461,0.026553560131393886,0.04421207912747534,0.007110828300420593,"[0.04346913239150289, 0.03295656741124656, 0.04245134073761874, 0.02895537634295994, 0.029081681263844947]",2.11724798829706,0.0,0,0,0,0
concat,raw,105,5,17,1.4368518978163731,1.402292893432156,0.03455900438421694,0.026472458170596996,0.04264555059783688,0.006512668665048047,"[0.03969088083182648, 0.0311534402903293, 0.04328972390095407, 0.029972815796161817, 0.028688161101813048]",2.0533363681509824,0.0,0,0,0,0
concat,raw,267,5,17,1.4156942264753902,1.364685951450021,0.05100827502536918,0.03709934561621093,0.06491720443452742,0.011201846416807913,"[0.06101739794781437, 0.03783663759516698, 0.05191961834699534, 0.06273778550050498, 0.04152993573636424]",3.5963537812108735,0.0,0,0,0,0
wg,projected,100,5,17,1.6610325060158533,1.4026422691020546,0.2583902369137989,-0.12286781725958207,0.6396482910871799,0.3070541263376581,"[0.08857164079654185, 0.8063811221168161, 0.11862284076558585, 0.13453974586830508, 0.1438358350217457]",15.460134277014934,0.0,3,0,0,0
wg,projected,105,5,17,1.5963714920751404,1.402292893432156,0.1940785986429842,-0.014841915576005033,0.40299911286197343,0.16825849386083577,"[0.08246021772561506, 0.4913922385862116, 0.11004134327318406, 0.13430017150924148, 0.1521990221206688]",12.289344873516006,0.0,0,0,0,0
wg,projected,267,5,17,1.5772535240172612,1.364685951450021,0.2125675725672401,0.021149374608999516,0.4039857705254807,0.1541626383910242,"[0.08294115693498998, 0.469543792992244, 0.10677234751863292, 0.1817932677668971, 0.2217872976234366]",14.340567216899327,0.0,0,0,0,0
wg,raw,100,5,17,1.6287840922969807,1.4026422691020546,0.22614182319492623,-0.06585374315722162,0.5181373895470741,0.23516471990374094,"[0.08857164079654185, 0.6451390535224526, 0.11862284076558585, 0.13453974586830508, 0.1438358350217457]",13.896318820810297,0.0,6,0,0,0
wg,raw,105,5,17,1.5963714920751404,1.402292893432156,0.1940785986429842,-0.014841915576005033,0.40299911286197343,0.16825849386083577,"[0.08246021772561506, 0.4913922385862116, 0.11004134327318406, 0.13430017150924148, 0.1521990221206688]",12.289344873516006,0.0,0,0,0,0
wg,raw,267,5,17,1.5772535240172612,1.364685951450021,0.2125675725672401,0.021149374608999516,0.4039857705254807,0.1541626383910242,"[0.08294115693498998, 0.469543792992244, 0.10677234751863292, 0.1817932677668971, 0.2217872976234366]",14.340567216899327,0.0,0,0,0,0
