seed,day,event,under_event,over_event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,mean_absolute_normalized_action,rms_normalized_action,normalized_action_saturation_fraction,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
42,4,0,0,0,0,0,0,0.957019442244713,1.0001550982248006,1.3129937909169065,0.10453888316017886,0.14766760832278908,0.0,28.27879350272272,0.6746060252189636
42,38,0,0,0,0,0,0,0.9529569334326589,1.000155355828924,2.1434372279079272,0.13487409505372247,0.18364693859542278,0.0,37.54951067582344,0.75
42,77,0,0,0,0,0,0,0.9528093924774846,1.0045236750655604,2.0362125869828303,0.1361041273145626,0.1846849236113487,0.0,37.99376939367939,0.7978488905998411
42,85,0,0,0,0,0,0,0.95310374907232,1.0,1.9898628480350613,0.13011323823593557,0.1801439115376721,0.0,35.777961076116604,0.75
42,105,0,0,0,0,0,0,0.956234968058529,1.014401691991563,1.370799114387952,0.11706384628390272,0.16475243232587897,0.0,31.726446411120833,0.7088978290557861
42,133,0,0,0,0,0,0,0.9568117066081613,1.008785667716006,1.4239492153691133,0.12007884254368643,0.1688570390198211,0.0,32.587486611433384,0.7168497443199158
42,137,0,0,0,0,0,0,0.9643030116697167,1.0152076630728792,0.9314736609372617,0.09745482231179874,0.1375631068032468,0.0,26.283028142688355,0.5987367033958435
42,147,0,0,0,0,0,0,0.9566824556453433,1.0104419679291983,1.4596864735383908,0.12187759671360254,0.17063452841947588,0.0,33.158908905593464,0.7243961691856384
42,159,0,0,0,0,0,0,0.9628585436010831,1.0122253710892646,0.8541452675719399,0.09308763857310016,0.1316479523367071,0.0,25.102349498950883,0.5633308291435242
42,220,0,0,0,0,0,0,0.9590631643502113,1.0067849440609746,1.3157210367521246,0.11466401536017656,0.1620168864022623,0.0,31.0160899971835,0.7145544290542603
42,236,0,0,0,0,0,0,0.9640812529567734,1.0180601347282026,0.8126504824265642,0.08841972301403682,0.12477086826700796,0.0,23.85727312175463,0.5348971486091614
42,241,0,0,0,0,0,0,0.958082925962056,1.0035029983484238,1.3859731056511029,0.11448351006644468,0.16210052912416292,0.0,30.974963483301103,0.709019660949707
42,245,0,0,0,0,0,0,0.9558686362697488,1.006739316418021,1.46323503653991,0.11905770135732989,0.16791148096573502,0.0,32.2833618882872,0.7239376902580261
42,257,0,0,0,0,0,0,0.9618039240014928,1.0200705324205084,0.862249417339763,0.08966661004039149,0.12671730287376642,0.0,24.200446323840737,0.572520911693573
42,282,0,0,0,0,0,0,0.9530285723892653,1.0077970596098929,1.6269159538474265,0.12361010179544489,0.17328162183736392,0.0,33.66029008552389,0.747158944606781
42,295,0,0,0,0,0,0,0.9530081405182069,1.0,2.0425660287780256,0.13023402355611324,0.17879993900037877,0.0,36.0987273254705,0.75
42,299,0,0,0,0,0,0,0.9579427458842547,1.0,1.1994622269036797,0.09916732499065499,0.14044795243605648,0.0,26.816158145967613,0.6549884080886841
43,4,0,0,0,0,0,0,0.9568851365693947,1.0001674156297642,1.3124118374803384,0.10428745043464005,0.14745951254079334,0.0,28.176879971329985,0.6723638772964478
43,38,0,0,0,0,0,0,0.9527532245802125,1.0001743522330777,2.1405477873360343,0.13499535775432983,0.18461833492902976,0.0,37.45682465413448,0.7462313175201416
43,77,0,0,0,0,0,0,0.9528431368862244,1.0045881707037323,2.033863008814572,0.13644836097955704,0.18620463340891735,0.0,37.92520861022415,0.8495565471455255
43,85,0,0,0,0,0,0,0.953076733762238,1.0,1.9875915670662525,0.1301331091672182,0.1808246097341989,0.0,35.68332228983851,0.7465857267379761
43,105,0,0,0,0,0,0,0.9561648968602747,1.0145164482480005,1.370455933124452,0.11740069060275952,0.16546527708499653,0.0,31.77947569664557,0.7049826979637146
43,133,0,0,0,0,0,0,0.9567127992652278,1.008803914676962,1.4234690464154063,0.12005800482196112,0.169070213399757,0.0,32.54244620781184,0.7117943167686462
43,137,0,0,0,0,0,0,0.9638989919501179,1.0156768888145604,0.9312834874341935,0.09779118156681459,0.13809952573356132,0.0,26.361890468674776,0.6068645119667053
43,147,0,0,0,0,0,0,0.9566608979423703,1.010512047915438,1.4589453153770515,0.1218985898885876,0.1710401102780991,0.0,33.10616803127118,0.7164737582206726
43,159,0,0,0,0,0,0,0.9625538094466958,1.012591525431363,0.8539271044222109,0.09320509612249832,0.13186299324567805,0.0,25.125245550838418,0.5617414116859436
43,220,0,0,0,0,0,0,0.9590528948331686,1.0067809978997373,1.3153837355027178,0.11475281518263121,0.1623782338062261,0.0,31.000277587319445,0.7084311246871948
43,236,0,0,0,0,0,0,0.9637003415873545,1.0180705391425358,0.8124443451259403,0.08847983810119331,0.1249874508461199,0.0,23.850722419609603,0.5385116338729858
43,241,0,0,0,0,0,0,0.9580908684885222,1.0035238878283719,1.3856227729328918,0.11445798305794597,0.16209068221087267,0.0,30.955331330934204,0.7056288719177246
43,245,0,0,0,0,0,0,0.9558140434622406,1.0067315563149952,1.4629110373849428,0.1190142478638639,0.16791934607823877,0.0,32.255038796999955,0.7182194590568542
43,257,0,0,0,0,0,0,0.9615465611632168,1.0200556823807034,0.8620179184466346,0.089686506971096,0.12683156575279572,0.0,24.189412101033124,0.5731651782989502
43,282,0,0,0,0,0,0,0.9529887649983518,1.0077976040161176,1.6260733964344503,0.123302892393743,0.17291570343781365,0.0,33.55817962713733,0.7389995455741882
43,295,0,0,0,0,0,0,0.9528830843505599,1.0,2.03843895362756,0.13026838966955742,0.18005688610617823,0.0,35.92165967365362,0.7435316443443298
43,299,0,0,0,0,0,0,0.9577131554397702,1.0,1.1988418014707607,0.09878934174776077,0.14008903429406183,0.0,26.681085460595636,0.6512300968170166
44,4,0,0,0,0,0,0,0.9568328287279597,1.0002365768657742,1.3125904241740354,0.1045540776879837,0.14746350879958936,0.0,28.302745950093794,0.6712251901626587
44,38,0,0,0,0,0,0,0.9525694395152174,1.00021785070366,2.138089447531056,0.13459314064433178,0.18399166545062198,0.0,37.33266514212635,0.75
44,77,0,0,0,0,0,0,0.9525644675246819,1.0046023595561855,2.033879107308915,0.13711081546110412,0.18712492236668266,0.0,38.10408324282944,0.837396009884691
44,85,0,0,0,0,0,0,0.9526603062921939,1.0,1.9874027656269666,0.13037691024752954,0.18103952249164737,0.0,35.75908781216772,0.7432160973548889
44,105,0,0,0,0,0,0,0.956025734845479,1.0139527479861747,1.370505741010128,0.11710408430856963,0.1648243877182161,0.0,31.72424645412378,0.7091028690338135
44,133,0,0,0,0,0,0,0.9566491956502899,1.0088456955105625,1.4235693812181593,0.12009502590323488,0.16894121460226158,0.0,32.57339030411784,0.7157447338104248
44,137,0,0,0,0,0,0,0.9640640476780883,1.0150398666586866,0.9313213233036052,0.09757946315221488,0.13768893948167069,0.0,26.321607010714573,0.6019604206085205
44,147,0,0,0,0,0,0,0.9565706380357258,1.010551374657721,1.4590043954856324,0.1221486172483613,0.1713483329658164,0.0,33.17776745580395,0.7234004139900208
44,159,0,0,0,0,0,0,0.9627102396914308,1.0120246323513948,0.8539574375629146,0.09312810810903709,0.13173567891378402,0.0,25.109157928089996,0.561363935470581
44,220,0,0,0,0,0,0,0.9590543097659397,1.0068125923325577,1.3154639317788548,0.11465089380120237,0.161901465628827,0.0,31.015470009683092,0.7145582437515259
44,236,0,0,0,0,0,0,0.9638671777016298,1.0178769857611023,0.8124565743684131,0.08835438863995175,0.12475161858602643,0.0,23.825973422870923,0.5331111550331116
44,241,0,0,0,0,0,0,0.9580315142878671,1.0035850707847178,1.3857144372851729,0.11461203250413139,0.1620518349655543,0.0,31.03173606104896,0.7086778879165649
44,245,0,0,0,0,0,0,0.9556523325656511,1.0067771734240492,1.462904928132173,0.11907357613866527,0.16776047463811072,0.0,32.30058447142678,0.7244054079055786
44,257,0,0,0,0,0,0,0.961684599426304,1.019920954417946,0.8620506001534035,0.08958342368714511,0.1266419987257277,0.0,24.168983910720183,0.5719326734542847
44,282,0,0,0,0,0,0,0.9527033845402529,1.0078372503126014,1.6260751986866055,0.12349521260087688,0.1730434405409043,0.0,33.62689031094078,0.7392191290855408
44,295,0,0,0,0,0,0,0.9525562057890601,1.0,2.0383028763846047,0.13003876890676716,0.1791395183537334,0.0,35.93093504310659,0.7411369681358337
44,299,0,0,0,0,0,0,0.9577408223104785,1.0,1.198901901801067,0.09885369854358335,0.13996749164601036,0.0,26.732297491960335,0.6508558392524719
45,4,0,0,0,0,0,0,0.9570466855527642,1.0002711918191718,1.3133047343994069,0.10500452698518832,0.1476454935137954,0.0,28.4895599936718,0.6708096861839294
45,38,0,0,0,0,0,0,0.9527443890032836,1.000266621135185,2.146335048911377,0.13494417203279832,0.18256017993389803,0.0,37.7502936167456,0.7427355051040649
45,77,0,0,0,0,0,0,0.9527391289402782,1.004645504790409,2.041132690755293,0.13683210600477955,0.18521735593333122,0.0,38.27968366874801,0.8489555874564718
45,85,0,0,0,0,0,0,0.9534315283721965,1.0,1.9894536944815144,0.13022708683274686,0.17974757122478643,0.0,35.87838457164527,0.7374643683433533
45,105,0,0,0,0,0,0,0.9563026192641392,1.014852089633427,1.371201413770019,0.11739944037981331,0.16414258859197464,0.0,31.959452931304313,0.7061998844146729
45,133,0,0,0,0,0,0,0.9568857492568198,1.0088932146228446,1.424288108337301,0.12019487066815297,0.1679860398862217,0.0,32.75378305451752,0.7161800265312195
45,137,0,0,0,0,0,0,0.9643996780485415,1.0161717177916478,0.9317622611799262,0.09835630585439503,0.13797120900460821,0.0,26.646000465828696,0.6009796857833862
45,147,0,0,0,0,0,0,0.95678253811997,1.0105815462261105,1.4598375795603389,0.12210596663256486,0.17009661824696673,0.0,33.33223422912586,0.7218477129936218
45,159,0,0,0,0,0,0,0.9629438844612572,1.0130871054939103,0.8544323949765754,0.09395180153660476,0.13204982759892298,0.0,25.449918936529507,0.562380313873291
45,220,0,0,0,0,0,0,0.9590209286913225,1.0068860205395813,1.3161228056064609,0.11501461081206799,0.16143321286826212,0.0,31.24918569148955,0.709125280380249
45,236,0,0,0,0,0,0,0.964201338526923,1.0188950675309807,0.8129184545042273,0.08922642174487312,0.12508888688495942,0.0,24.18965292452424,0.5334209203720093
45,241,0,0,0,0,0,0,0.9580753542852071,1.003624805080643,1.3863647355061903,0.11475002059402566,0.16138828253929993,0.0,31.18515944682905,0.7081682682037354
45,245,0,0,0,0,0,0,0.9559197461470543,1.006824442629271,1.4636973747504973,0.11921912780962884,0.1670411311939698,0.0,32.469714829998594,0.7205377221107483
45,257,0,0,0,0,0,0,0.9618929992654282,1.0209819363376664,0.8625322219884712,0.09045535046607256,0.12697718148608092,0.0,24.531608216645594,0.5707275867462158
45,282,0,0,0,0,0,0,0.9533325513762614,1.007892161048481,1.627310398543643,0.12363417438852291,0.17228965592788822,0.0,33.80124078553366,0.7377660274505615
45,295,0,0,0,0,0,0,0.9530459793680673,1.0,2.0426796745722497,0.1307201423527052,0.1791699087870796,0.0,36.270606997656934,0.7439610958099365
45,299,0,0,0,0,0,0,0.9578877453273453,1.0,1.1996126505106268,0.0994871500103424,0.14030816189566328,0.0,26.975882122002986,0.6500186324119568
46,4,0,0,0,0,0,0,0.9568983153936392,1.0001383332138862,1.312574099099948,0.10430678282864392,0.14777090612929525,0.0,28.146769488244843,0.6724639534950256
46,38,0,0,0,0,0,0,0.9523083111957265,1.000189261448765,2.1404196616992475,0.13408764467264214,0.18263148780494962,0.0,37.30701663676063,0.7357966303825378
46,77,0,0,0,0,0,0,0.9523869790695937,1.0045925760783685,2.0375320086957327,0.13617028513302407,0.18481931880515706,0.0,38.017507166469066,0.8561158575507002
46,85,0,0,0,0,0,0,0.9526569157132582,1.0,1.9880373532474156,0.12976115274553499,0.17991026563118453,0.0,35.63150437329255,0.7372146248817444
46,105,0,0,0,0,0,0,0.9561536175665598,1.0147219681642408,1.3704926832891395,0.11722617022072275,0.16523803350692,0.0,31.732167943606875,0.7050607204437256
46,133,0,0,0,0,0,0,0.9567177582974329,1.0087512807556163,1.4236088009285714,0.11996042146347463,0.16884973117755153,0.0,32.52882808685231,0.7120502591133118
46,137,0,0,0,0,0,0,0.9640922378811977,1.0159731537198446,0.9313578093144705,0.09787172521464527,0.13841933039059676,0.0,26.360315822226866,0.608378529548645
46,147,0,0,0,0,0,0,0.9566092943528692,1.0104441975547795,1.4590771056320322,0.12202747624057035,0.1712162893705798,0.0,33.145732446465665,0.7174230813980103
46,159,0,0,0,0,0,0,0.9626340338025987,1.0129006810680916,0.8540131444959563,0.09321582363918424,0.1320322124307516,0.0,25.114401203784322,0.5641553997993469
46,220,0,0,0,0,0,0,0.9588574679457661,1.006740281232903,1.3154651692557557,0.1146037468376259,0.1620859314144462,0.0,30.970880946196914,0.7086215615272522
46,236,0,0,0,0,0,0,0.9638370159389128,1.018722431264964,0.8124860768379274,0.08849747385829687,0.12501231504786467,0.0,23.865731515247017,0.5395386219024658
46,241,0,0,0,0,0,0,0.9579449001533763,1.0035018121636765,1.3856361424953136,0.1142387861230721,0.16189315525960235,0.0,30.88007500162227,0.7053318023681641
46,245,0,0,0,0,0,0,0.9557749297036106,1.0067129841720983,1.4630047460997422,0.11882743790435295,0.16759468617278714,0.0,32.213016517721734,0.7181720733642578
46,257,0,0,0,0,0,0,0.9615937542207958,1.0207509421596603,0.8620632600263999,0.08972853360076745,0.12695231735449428,0.0,24.202840801816112,0.5731822848320007
46,282,0,0,0,0,0,0,0.952847709081067,1.0077641503331833,1.6262221003267492,0.12321937937910359,0.17269930710586112,0.0,33.54838910113446,0.7386598587036133
46,295,0,0,0,0,0,0,0.9522897792887409,1.0,2.0379919298322626,0.12944021176857254,0.17835789485431552,0.0,35.75820480089734,0.7389914393424988
46,299,0,0,0,0,0,0,0.9577687990743089,1.0,1.1990243638237752,0.09877216451180477,0.14032733943986206,0.0,26.648591304196586,0.6530241370201111
