environment,step,actor_inference_ms,ac_execution_ms,total_ms
33,148,0.1887,18.7516,18.9413
33,149,0.2029,18.4225,18.6263
33,150,0.1708,18.9543,19.1261
33,151,0.15,19.4541,19.605
33,152,0.1707,19.227,19.3988
33,153,0.174,19.7179,19.893
33,154,0.2074,19.5532,19.7617
33,155,0.1998,20.4251,20.626
33,156,0.213,19.8782,20.0922
33,157,0.2649,18.8339,19.1
33,158,0.1891,18.8737,19.0638
33,159,0.1973,18.6063,18.8045
33,160,0.1722,18.8461,19.0194
33,161,0.1564,18.5698,18.7272
33,162,0.1748,19.1535,19.3293
33,163,0.1578,18.8221,18.9807
33,164,0.1609,18.8528,19.0147
33,165,0.1713,19.3087,19.4813
33,166,0.1659,18.505,18.6718
33,167,0.1625,18.7778,18.9413
33,168,0.1785,19.1745,19.354
33,169,0.18,18.835,19.0159
33,170,0.16,18.9865,19.1474
33,171,0.1634,19.2293,19.3937
33,172,0.1679,19.2189,19.3879
33,173,0.2015,18.997,19.1995
33,174,0.1658,19.4899,19.6567
33,175,0.1531,18.8964,19.0505
33,176,0.1441,18.9107,19.056
33,177,0.1804,19.1481,19.3294
33,178,0.1645,19.2639,19.4293
33,179,0.2083,19.5037,19.7133
33,180,0.2132,19.1076,19.3217
33,181,0.225,19.9273,20.1537
33,182,0.216,20.6655,20.8828
33,183,0.2242,18.6567,18.8818
33,184,0.1841,19.0369,19.2221
33,185,0.1956,18.3226,18.5192
33,186,0.176,18.5915,18.7686
33,187,0.19,18.5056,18.6964
33,188,0.1572,19.7017,19.8601
33,189,0.2077,19.8528,20.0614
33,190,0.1868,19.3975,19.5854
33,191,0.1812,19.1155,19.2979
69,0,0.0518,20.4446,20.4979
69,1,0.1576,21.2202,21.3789
69,2,0.2049,20.3519,20.5579
69,3,0.2128,20.449,20.6629
69,4,0.2016,20.704,20.9069
69,5,0.1626,21.3945,21.5582
69,6,0.2155,21.0102,21.2269
69,7,0.277,21.7322,22.0107
69,8,0.2219,21.3629,21.5857
69,9,0.2166,20.4792,20.6966
69,10,0.1926,20.1938,20.3875
69,11,0.1784,19.9634,20.1429
69,12,0.1768,20.044,20.2218
69,13,0.1579,20.9892,21.1481
69,14,0.1734,21.7139,21.8883
69,15,0.2044,20.9663,21.1719
69,16,0.1752,20.3329,20.5092
69,17,0.1663,20.3856,20.5531
69,18,0.1956,21.127,21.3235
69,19,0.2537,21.0396,21.2947
69,20,0.1936,20.786,20.9807
69,21,0.2048,20.3525,20.5583
69,22,0.1726,20.5887,20.7621
69,23,0.1698,20.3759,20.5468
69,24,0.1865,21.1887,21.3762
69,25,0.1834,20.5243,20.7087
69,26,0.1783,20.4617,20.641
69,27,0.1796,20.6578,20.8385
69,28,0.1778,20.9274,21.1063
69,29,0.1926,20.5974,20.7912
69,30,0.2874,21.2355,21.5246
69,31,0.2211,20.2493,20.4715
69,32,0.2167,21.0447,21.2626
69,33,0.2349,20.7655,21.0015
69,34,0.1905,20.3346,20.526
69,35,0.1863,20.5373,20.7245
69,36,0.1777,20.6644,20.8431
69,37,0.1863,20.5147,20.702
69,38,0.2125,20.7806,20.9941
69,39,0.188,20.2847,20.4737
69,40,0.169,20.0528,20.2227
69,41,0.1715,20.9049,21.0774
69,42,0.165,20.3799,20.546
69,43,0.1853,20.3004,20.4867
69,44,0.1511,21.1775,21.3296
69,45,0.1785,20.8207,21.0004
69,46,0.1939,21.3787,21.5738
69,47,0.246,20.9843,21.2314
69,48,0.2053,20.7811,20.9877
69,49,0.2125,20.8395,21.0531
69,50,0.2087,19.9943,20.2041
69,51,0.1777,20.0797,20.2585
69,52,0.1982,21.3972,21.5964
69,53,0.1814,21.0437,21.2265
69,54,0.2304,21.0475,21.279
69,55,0.2006,21.097,21.2986
69,56,0.2179,21.1587,21.3777
69,57,0.2816,20.334,20.6168
69,58,0.1671,21.4076,21.5758
69,59,0.265,20.7213,20.9878
69,60,0.1658,20.3723,20.5392
69,61,0.1522,21.0963,21.2496
69,62,0.2124,20.4941,20.7077
69,63,0.161,20.6776,20.8397
69,64,0.1699,21.048,21.219
69,65,0.1729,20.0234,20.1973
69,66,0.1576,20.747,20.9056
69,67,0.1873,20.8505,21.0391
69,68,0.203,21.0391,21.243
69,69,0.1817,20.437,20.6197
69,70,0.1654,20.6546,20.8211
69,71,0.1909,21.2523,21.4443
69,72,0.1812,20.8287,21.0111
69,73,0.1649,20.9086,21.0747
69,74,0.2732,20.716,20.9908
69,75,0.1441,20.9593,21.1044
69,76,0.1719,20.6992,20.8721
69,77,0.317,21.2393,21.5579
69,78,0.2176,20.8315,21.0503
69,79,0.1936,21.466,21.6606
69,80,0.2165,20.9671,21.1849
69,81,0.2183,20.8221,21.0416
69,82,0.229,21.0717,21.3018
69,83,0.2263,20.6126,20.84
69,84,0.1742,20.6762,20.8514
69,85,0.1953,20.3243,20.5208
69,86,0.1992,20.679,20.8791
69,87,0.1825,20.5305,20.7139
69,88,0.1942,20.84,21.0351
69,89,0.1737,27.9262,28.1013
