controller,pv_generation_scale,pv_s_scale,svc_q_scale,cap_total_mvar,asset_cost_index,stage,pr_violation_any,pr_pf_fail_any,daily_loss_mwh,daily_pv_energy_mwh,feasible
film,0.8,0.699999988079071,0.699999988079071,0.0,69.9999988079071,coarse,0.5,0.0,0.8367992660242431,25.181433291095402,0
film,0.8,0.699999988079071,1.100000023841858,0.0,90.00000059604645,coarse,0.0,0.0,1.0105006875547042,25.181433291095402,1
film,0.8,0.699999988079071,1.5,0.0,109.99999940395355,coarse,0.0,0.0,1.4118029410293316,25.181433291095402,1
film,0.8,1.100000023841858,0.699999988079071,0.0,90.00000059604645,coarse,0.5,0.0,0.8751855063705598,25.181433291095402,0
film,0.8,1.100000023841858,1.100000023841858,0.0,110.00000238418579,coarse,0.0,0.0,1.0554479679974929,25.181433291095402,1
film,0.8,1.100000023841858,1.5,0.0,130.0000011920929,coarse,0.0,0.0,1.4622732941538286,25.181433291095402,1
film,0.8,1.5,0.699999988079071,0.0,109.99999940395355,coarse,0.5,0.0,0.9328066255801453,25.181433291095402,0
film,0.8,1.5,1.100000023841858,0.0,130.0000011920929,coarse,0.0,0.0,1.1194019151429169,25.181433291095402,1
film,0.8,1.5,1.5,0.0,150.0,coarse,0.0,0.0,1.5308061117469542,25.181433291095402,1
film,0.8,0.699999988079071,0.699999988079071,0.25,70.4999988079071,coarse,0.5,0.0,0.8180938909755938,25.181433291095402,0
film,0.8,0.699999988079071,1.100000023841858,0.25,90.50000059604645,coarse,0.0,0.0,1.0134738907144616,25.181433291095402,1
film,0.8,0.699999988079071,1.5,0.25,110.49999940395355,coarse,0.0,0.0,1.4326598951463958,25.181433291095402,1
film,0.8,1.100000023841858,0.699999988079071,0.25,90.50000059604645,coarse,0.5,0.0,0.8652768940156041,25.181433291095402,0
film,0.8,1.100000023841858,1.100000023841858,0.25,110.50000238418579,coarse,0.0,0.0,1.0643985356093584,25.181433291095402,1
film,0.8,1.100000023841858,1.5,0.25,130.5000011920929,coarse,0.0,0.0,1.4856791295776022,25.181433291095402,1
film,0.8,1.5,0.699999988079071,0.25,110.49999940395355,coarse,0.5,0.0,0.9313081129491316,25.181433291095402,0
film,0.8,1.5,1.100000023841858,0.25,130.5000011920929,coarse,0.0,0.0,1.1328555158579108,25.181433291095402,1
film,0.8,1.5,1.5,0.25,150.5,coarse,0.0,0.0,1.5543070804700396,25.181433291095402,1
film,0.8,0.699999988079071,1.100000023841858,0.0,90.00000059604645,refined,0.0,0.0,1.0136351670427193,25.40649470307015,1
film,0.8,0.699999988079071,1.100000023841858,0.25,90.50000059604645,refined,0.0,0.0,1.0164124271210018,25.40649470307015,1
droop,0.8,0.699999988079071,0.699999988079071,0.0,69.9999988079071,coarse,1.0,1.0,0.8770778372599982,0.34730215887315896,0
droop,0.8,0.699999988079071,1.100000023841858,0.0,90.00000059604645,coarse,1.0,1.0,0.9525579944850884,0.34730215887315896,0
droop,0.8,0.699999988079071,1.5,0.0,109.99999940395355,coarse,1.0,1.0,1.0457055912279078,0.34730215887315896,0
droop,0.8,1.100000023841858,0.699999988079071,0.0,90.00000059604645,coarse,1.0,1.0,0.25525983697557825,0.178439530961666,0
droop,0.8,1.100000023841858,1.100000023841858,0.0,110.00000238418579,coarse,1.0,1.0,0.29272923848565996,0.178439530961666,0
droop,0.8,1.100000023841858,1.5,0.0,130.0000011920929,coarse,1.0,1.0,0.3395974545113538,0.178439530961666,0
droop,0.8,1.5,0.699999988079071,0.0,109.99999940395355,coarse,1.0,1.0,0.43144463032328306,0.178439530961666,0
droop,0.8,1.5,1.100000023841858,0.0,130.0000011920929,coarse,1.0,1.0,0.4736646267802195,0.178439530961666,0
droop,0.8,1.5,1.5,0.0,150.0,coarse,1.0,1.0,0.5252862642221021,0.178439530961666,0
droop,0.8,0.699999988079071,0.699999988079071,0.25,70.4999988079071,coarse,1.0,1.0,5.624953819575917,1.577671070009803,0
droop,0.8,0.699999988079071,1.100000023841858,0.25,90.50000059604645,coarse,1.0,1.0,5.903791230273186,1.577671070009803,0
droop,0.8,0.699999988079071,1.5,0.25,110.49999940395355,coarse,1.0,1.0,6.25131122489279,1.577671070009803,0
droop,0.8,1.100000023841858,0.699999988079071,0.25,90.50000059604645,coarse,1.0,1.0,0.20673274593030036,0.178439530961666,0
droop,0.8,1.100000023841858,1.100000023841858,0.25,110.50000238418579,coarse,1.0,1.0,0.24292948498913577,0.178439530961666,0
droop,0.8,1.100000023841858,1.5,0.25,130.5000011920929,coarse,1.0,1.0,0.2885210854136208,0.178439530961666,0
droop,0.8,1.5,0.699999988079071,0.25,110.49999940395355,coarse,1.0,1.0,0.3461685164785094,0.178439530961666,0
droop,0.8,1.5,1.100000023841858,0.25,130.5000011920929,coarse,1.0,1.0,0.3866723566905863,0.178439530961666,0
droop,0.8,1.5,1.5,0.25,150.5,coarse,1.0,1.0,0.43652463545965736,0.178439530961666,0
droop,0.8,0.699999988079071,0.699999988079071,0.0,69.9999988079071,refined,1.0,1.0,1.8761121581569848,0.5988191219360404,0
droop,0.8,0.699999988079071,0.699999988079071,0.25,70.4999988079071,refined,1.0,1.0,9.739858398719594,2.6883552340478496,0
film,1.0,0.699999988079071,0.699999988079071,0.0,69.9999988079071,coarse,0.5,0.0,0.8762545879033348,31.47679161386924,0
film,1.0,0.699999988079071,1.100000023841858,0.0,90.00000059604645,coarse,0.0,0.0,1.043844107399476,31.47679161386924,1
film,1.0,0.699999988079071,1.5,0.0,109.99999940395355,coarse,0.0,0.0,1.4373407136211784,31.47679161386924,1
film,1.0,1.100000023841858,0.699999988079071,0.0,90.00000059604645,coarse,0.5,0.0,0.9181571563452604,31.47679161386924,0
film,1.0,1.100000023841858,1.100000023841858,0.0,110.00000238418579,coarse,0.0,0.0,1.0905245355799074,31.47679161386924,1
film,1.0,1.100000023841858,1.5,0.0,130.0000011920929,coarse,0.0,0.0,1.4877860960252267,31.47679161386924,1
film,1.0,1.5,0.699999988079071,0.0,109.99999940395355,coarse,0.5,0.0,0.9773093210385362,31.47679161386924,0
film,1.0,1.5,1.100000023841858,0.0,130.0000011920929,coarse,0.0,0.0,1.154822132897669,31.47679161386924,1
film,1.0,1.5,1.5,0.0,150.0,coarse,0.0,0.0,1.5553728155503979,31.47679161386924,1
film,1.0,0.699999988079071,0.699999988079071,0.25,70.4999988079071,coarse,0.5,0.0,0.8541255936888786,31.47679161386924,0
film,1.0,0.699999988079071,1.100000023841858,0.25,90.50000059604645,coarse,0.0,0.0,1.0435337378896397,31.47679161386924,1
film,1.0,0.699999988079071,1.5,0.25,110.49999940395355,coarse,0.0,0.0,1.4553937226165232,31.47679161386924,1
film,1.0,1.100000023841858,0.699999988079071,0.25,90.50000059604645,coarse,0.5,0.0,0.9043301817351053,31.47679161386924,0
film,1.0,1.100000023841858,1.100000023841858,0.25,110.50000238418579,coarse,0.0,0.0,1.0959187530706171,31.47679161386924,1
film,1.0,1.100000023841858,1.5,0.25,130.5000011920929,coarse,0.0,0.0,1.5084102614660093,31.47679161386924,1
film,1.0,1.5,0.699999988079071,0.25,110.49999940395355,coarse,0.5,0.0,0.9720343537315954,31.47679161386924,0
film,1.0,1.5,1.100000023841858,0.25,130.5000011920929,coarse,0.0,0.0,1.1653363139223267,31.47679161386924,1
film,1.0,1.5,1.5,0.25,150.5,coarse,0.0,0.0,1.5773418800308039,31.47679161386924,1
film,1.0,0.699999988079071,1.100000023841858,0.0,90.00000059604645,refined,0.0,0.0,1.0496191202420715,31.75811837883768,1
film,1.0,0.699999988079071,1.100000023841858,0.25,90.50000059604645,refined,0.0,0.0,1.049082344610801,31.75811837883768,1
droop,1.0,0.699999988079071,0.699999988079071,0.0,69.9999988079071,coarse,1.0,1.0,5.566986229734498,1.9720888375122532,0
droop,1.0,0.699999988079071,1.100000023841858,0.0,90.00000059604645,coarse,1.0,1.0,0.8628215506259997,0.4341276985914487,0
droop,1.0,0.699999988079071,1.5,0.0,109.99999940395355,coarse,1.0,1.0,0.9517233242872305,0.4341276985914487,0
droop,1.0,1.100000023841858,0.699999988079071,0.0,90.00000059604645,coarse,1.0,1.0,0.15300075539218883,0.22304941370208248,0
droop,1.0,1.100000023841858,1.100000023841858,0.0,110.00000238418579,coarse,1.0,1.0,0.18659272242009428,0.22304941370208248,0
droop,1.0,1.100000023841858,1.5,0.0,130.0000011920929,coarse,1.0,1.0,0.22962693421895297,0.22304941370208248,0
droop,1.0,1.5,0.699999988079071,0.0,109.99999940395355,coarse,1.0,1.0,0.25632687146172695,0.22304941370208248,0
droop,1.0,1.5,1.100000023841858,0.0,130.0000011920929,coarse,1.0,1.0,0.29374295997093436,0.22304941370208248,0
droop,1.0,1.5,1.5,0.0,150.0,coarse,1.0,1.0,0.34052019801572364,0.22304941370208248,0
droop,1.0,0.699999988079071,0.699999988079071,0.25,70.4999988079071,coarse,1.0,1.0,12.404957969405952,4.924454511428376,0
droop,1.0,0.699999988079071,1.100000023841858,0.25,90.50000059604645,coarse,1.0,1.0,12.970337126810705,4.924454511428376,0
droop,1.0,0.699999988079071,1.5,0.25,110.49999940395355,coarse,1.0,1.0,13.6792823623749,4.924454511428376,0
droop,1.0,1.100000023841858,0.699999988079071,0.25,90.50000059604645,coarse,1.0,1.0,0.11659117672547505,0.22304941370208248,0
droop,1.0,1.100000023841858,1.100000023841858,0.25,110.50000238418579,coarse,1.0,1.0,0.14873312241595824,0.22304941370208248,0
droop,1.0,1.100000023841858,1.5,0.25,130.5000011920929,coarse,1.0,1.0,0.1903525680679283,0.22304941370208248,0
droop,1.0,1.5,0.699999988079071,0.25,110.49999940395355,coarse,1.0,1.0,0.19245543563358367,0.22304941370208248,0
droop,1.0,1.5,1.100000023841858,0.25,130.5000011920929,coarse,1.0,1.0,0.22788504784161576,0.22304941370208248,0
droop,1.0,1.5,1.5,0.25,150.5,coarse,1.0,1.0,0.2726897904904464,0.22304941370208248,0
droop,1.0,0.699999988079071,0.699999988079071,0.0,69.9999988079071,refined,1.0,1.0,2.9130386260242918,1.1726048890630514,0
droop,1.0,0.699999988079071,0.699999988079071,0.25,70.4999988079071,refined,1.0,1.0,13.10992788724885,5.288609499239402,0
film,1.2,0.699999988079071,0.699999988079071,0.0,69.9999988079071,coarse,0.0,0.0,0.974583351942037,37.77214993664312,1
film,1.2,0.699999988079071,1.100000023841858,0.0,90.00000059604645,coarse,0.0,0.0,1.1360816661373176,37.77214993664312,1
film,1.2,0.699999988079071,1.5,0.0,109.99999940395355,coarse,1.0,0.0,1.521402758232179,37.77214993664312,0
film,1.2,1.100000023841858,0.699999988079071,0.0,90.00000059604645,coarse,0.0,0.0,1.022800641341473,37.77214993664312,1
film,1.2,1.100000023841858,1.100000023841858,0.0,110.00000238418579,coarse,0.0,0.0,1.1874004370459672,37.77214993664312,1
film,1.2,1.100000023841858,1.5,0.0,130.0000011920929,coarse,0.0,0.0,1.5745919059328117,37.77214993664312,1
film,1.2,1.5,0.699999988079071,0.0,109.99999940395355,coarse,0.0,0.0,1.0864254368512456,37.77214993664312,1
film,1.2,1.5,1.100000023841858,0.0,130.0000011920929,coarse,0.0,0.0,1.255039631665528,37.77214993664312,1
film,1.2,1.5,1.5,0.0,150.0,coarse,0.0,0.0,1.6443744695030795,37.77214993664312,1
film,1.2,0.699999988079071,0.699999988079071,0.25,70.4999988079071,coarse,0.0,0.0,0.9491926724293682,37.77214993664312,1
