action_scale,full_injection,deadband_low,deadband_high,full_absorption,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
0.1,0.95,0.98,1.02,1.05,40,31,0,1.783845914002449,0.9299992778991095,1.0207501762092923
0.1,0.94,0.98,1.02,1.06,40,33,0,1.8148428950081097,0.9296846715457573,1.0208976898862354
0.1,0.94,0.97,1.03,1.06,40,34,0,1.853993981580502,0.9294116189703417,1.0213010110858427
0.25,0.94,0.98,1.02,1.06,40,38,0,2.0355031215227486,0.9190523652158923,1.0211000484887
0.25,0.94,0.97,1.03,1.06,40,38,0,2.0702620235478943,0.9187872841360248,1.021297380618913
0.25,0.95,0.98,1.02,1.05,40,38,0,2.1423522057477533,0.9190737334243385,1.0214641648785283
0.5,0.94,0.97,1.03,1.06,40,38,0,2.4366761525890466,0.9187872841360248,1.0268901120572356
0.75,0.94,0.97,1.03,1.06,40,40,0,2.700843444605895,0.876844905004176,1.07210883625629
1.0,0.94,0.97,1.03,1.06,40,40,0,2.9259526808146856,0.8708398048433322,1.07210883625629
0.5,0.94,0.98,1.02,1.06,40,40,0,3.08117142624342,0.8791080758626807,1.07210883625629
0.5,0.95,0.98,1.02,1.05,40,40,0,3.2943288613465116,0.8689179895989733,1.07210883625629
0.75,0.94,0.98,1.02,1.06,40,40,0,3.367637952920492,0.8665225912204791,1.07210883625629
1.0,0.94,0.98,1.02,1.06,40,40,0,3.5498361749185903,0.8612086747142655,1.07210883625629
0.75,0.95,0.98,1.02,1.05,40,40,0,3.5498361749185903,0.8612086747142655,1.07210883625629
1.0,0.95,0.98,1.02,1.05,40,40,0,3.726447888417325,0.8576263603305496,1.07210883625629
