day,event,under_steps,over_steps,pf_fail,solver_failures,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar,mean_online_optimisation_ms,p95_online_optimisation_ms
0,0,0,0,0,0,0.9526622613300161,1.0,1.9210114957892244,14.175761778340936,0.6606248646505278,0.8443020831615892,1.4524500002153218
1,0,0,0,0,0,0.9523634789702473,1.0,2.221685976472964,19.302501955241446,0.75,0.9609416668657408,1.6096500021376414
2,0,0,0,0,0,0.9526221242394711,1.0,2.1961839562297407,18.808967005898793,0.7067094442584118,0.8982843749360351,1.5599000007568975
3,0,0,0,0,0,0.9526573203664218,1.0,2.0699999934878277,16.522157227782493,0.6808557266140751,0.9393989583183308,1.5289749990188284
5,0,0,0,0,0,0.9528111842900949,1.0,1.5713161970443887,5.4582412658362545,0.39684080905233043,0.7597354165985356,1.6416999997090898
6,0,0,0,0,0,0.9517585830712746,1.0,2.3404015968710565,22.025828071555356,0.9723913778065496,0.8504385417988184,1.6241250004895846
7,0,0,0,0,0,0.9520074637195426,1.0,2.3674061063807192,23.153465680303857,0.8091687258218128,0.8024604168592001,1.5859500008446048
8,0,0,0,0,0,0.9525465570677246,1.0,2.1614324872207242,19.080660932804026,0.75,0.920591666385917,1.6515499992237892
9,0,0,0,0,0,0.9523772166171943,1.0,2.2455645737043,20.32187977261548,0.75,0.8404729167826493,1.4165749998937827
10,0,0,0,0,0,0.9526211131953067,1.0,2.2542228709272303,20.04244908576973,0.75,0.8332697917315576,1.5683250003348803
11,0,0,0,0,0,0.9527804720554476,1.0,1.8082478642622526,9.961373116861767,0.4890027925815223,1.0279791667547518,1.6306999978041858
12,0,0,0,0,0,0.9527927586507159,1.0,1.6057048855118912,5.852280554417037,0.42263427112382385,0.7550885416852301,1.4548750023095636
13,0,0,0,0,0,0.9516549822655003,1.0,2.5057140990379687,25.244474022284617,1.1453593449087274,0.7164947916559564,1.5658499987694086
14,0,0,0,0,0,0.9517197269563277,1.0,2.664250574887972,28.138926260034513,1.0491350943446993,0.6504156250078571,1.495674999205221
15,0,0,0,0,0,0.9516534989261001,1.0,2.7642694296400103,29.481321587893795,1.1754070256988673,0.649817708373727,1.39062499965803
16,0,0,0,0,0,0.9517437193958808,1.0,2.7343251349916695,28.891486869363725,1.0561079629424306,0.6207260418022997,1.4225499999156455
17,0,0,0,0,0,0.9526081888844958,1.0,2.2350193105805167,20.537940745361357,0.75,0.8510802083871264,1.4616750013374258
18,0,0,0,0,0,0.9527953710879848,1.0,1.8020421350166864,10.064044779850018,0.44393592001263804,0.9533124996702705,1.4909999999872525
19,0,0,0,0,0,0.9528273309691419,1.0,1.6178520727800578,5.766536802121262,0.3583588854497052,0.766459375275493,1.538049999908253
20,0,0,0,0,0,0.9522933557102901,1.0,2.365669585395167,22.097619313641665,0.75,0.8006333334075558,1.4848999999230728
21,0,0,0,0,0,0.9520289647911807,1.0,2.3848550344336346,23.06532264429741,0.7720908033884276,0.7916656250396651,1.5362250014732126
22,0,0,0,0,0,0.9518398655677057,1.0,2.3657647313062755,23.333492317558246,0.9425492799478691,0.7568312500628357,1.4096249988142517
23,0,0,0,0,0,0.9521881252326344,1.0,2.2610359612284685,21.07927514464786,0.75,0.8291416666755443,1.5537250019406201
24,0,0,0,0,0,0.9526078702612071,1.0,2.137756948894313,18.35750781626909,0.7226993731375226,0.8897781248909572,1.4973249981267145
25,0,0,0,0,0,0.9527771384528179,1.0,1.7275916605373816,8.287008945344098,0.45218581475805597,0.9105343750661632,1.5128999993976322
26,0,0,0,0,0,0.9528151172653673,1.0,1.6072621775625613,5.425046333360659,0.4039958363240498,0.7676104166118117,1.5536750015598955
27,0,0,0,0,0,0.9518828059814388,1.0,2.373172305424343,22.668302677976133,0.898677078272954,0.8160927083433004,1.4931499999875086
28,0,0,0,0,0,0.952102270525219,1.0,2.2084416704999192,20.821692732070918,0.75,0.8322708332570983,1.4570249986718409
29,0,0,0,0,0,0.9518224184743053,1.0,2.4890821860782997,25.565579220391953,0.9830846814089105,0.6628322915200139,1.3901000011173892
30,0,0,0,0,0,0.9518897598218913,1.0,2.3769041025638096,23.63196497658136,0.8084989426391819,0.7739749997502562,1.4889500016579404
31,0,0,0,0,0,0.9524862633771927,1.0,2.1938326003258037,20.235974721368866,0.75,0.758544791665372,1.3899500008847099
32,0,0,0,0,0,0.952785416132545,1.0,1.7353947738920714,8.54014483822246,0.44133400733770994,0.9424416664387536,1.569399998516019
33,0,0,0,0,0,0.952826518911192,1.0,1.6072615026528316,5.703230668600504,0.37485836977128334,0.7501031249148582,1.5142250013013836
