candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_risk,over_risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,raw_vmin,raw_vmax,intervention_steps,intervention_rate,projection_failures,mean_correction_norm,max_correction_norm,power_flow_previews
2000,47,86,8256,0.7,0.7,0.0,0,0,0,0,0,0,0.8677722925887486,0.9533319692030077,1.0270396503400894,0.9533319692030077,1.0270396503400894,0,0.0,0,0.0,0.0,0
2000,63,120,11520,0.7,0.7,0.0,0,0,0,0,0,0,0.8712682477564554,0.9500350455173124,1.0324451879200314,0.9500350455173124,1.0324451879200314,0,0.0,0,0.0,0.0,0
2000,87,168,16128,0.7,0.7,0.0,0,0,0,0,0,0,0.872290967541304,0.9513916221405209,1.026068205503282,0.9513916221405209,1.026068205503282,0,0.0,0,0.0,0.0,0
2000,100,190,18240,0.7,0.7,0.0,0,0,0,0,0,0,0.8588605051095627,0.9534733084300516,1.0217653577968184,0.9534733084300516,1.0217653577968184,0,0.0,0,0.0,0.0,0
2000,114,228,21888,0.7,0.7,0.0,0,0,0,0,0,0,0.8843518573111585,0.9549585465770623,1.0314554026780283,0.9549585465770623,1.0314554026780283,0,0.0,0,0.0,0.0,0
2000,123,241,23136,0.7,0.7,0.0,0,0,0,0,0,0,0.863009502386541,0.9505848590722126,1.0241548993356029,0.9505848590722126,1.0241548993356029,0,0.0,0,0.0,0.0,0
2000,142,278,26688,0.7,0.7,0.0,0,0,0,0,0,0,0.8579664247947734,0.9525012375971328,1.0280340840092679,0.9525012375971328,1.0280340840092679,0,0.0,0,0.0,0.0,0
2000,143,280,26880,0.7,0.7,0.0,1,1,0,1,0,0,0.8596563636753904,0.9498258118486779,1.0264792983802005,0.9498258118486779,1.0264792983802005,0,0.0,0,0.0,0.0,0
2000,144,281,26976,0.7,0.7,0.0,0,0,0,0,0,0,0.8400123046800104,0.954151249738613,1.024388001730207,0.954151249738613,1.024388001730207,0,0.0,0,0.0,0.0,0
2000,153,291,27936,0.7,0.7,0.0,1,1,0,1,0,0,0.8831843236962093,0.9498983625618908,1.0264715962253317,0.9498983625618908,1.0264715962253317,0,0.0,0,0.0,0.0,0
2000,160,298,28608,0.7,0.7,0.0,0,0,0,0,0,0,0.8726145213022066,0.9565162372707716,1.0316553504873336,0.9565162372707716,1.0316553504873336,0,0.0,0,0.0,0.0,0
2000,173,322,30912,0.7,0.7,0.0,0,0,0,0,0,0,0.860007926565131,0.9501807136872445,1.0236883891248725,0.9501807136872445,1.0236883891248725,0,0.0,0,0.0,0.0,0
2000,191,352,33792,0.7,0.7,0.0,0,0,0,0,0,0,0.8805134981505346,0.9545339706685009,1.030792880284122,0.9545339706685009,1.030792880284122,0,0.0,0,0.0,0.0,0
2000,196,362,34752,0.7,0.7,0.0,0,0,0,0,0,0,0.866616401081067,0.9533198295774814,1.0301444603047938,0.9533198295774814,1.0301444603047938,0,0.0,0,0.0,0.0,0
2000,198,366,35136,0.7,0.7,0.0,1,1,0,1,0,0,0.8677046381136619,0.9484544593175155,1.030732277104539,0.9484544593175155,1.030732277104539,0,0.0,0,0.0,0.0,0
2001,47,86,8256,0.75,0.75,0.0625,0,0,0,0,0,0,0.8864212033451202,0.9550253442495732,1.02627028439744,0.9550253442495732,1.02627028439744,0,0.0,0,0.0,0.0,0
2001,63,120,11520,0.75,0.75,0.0625,0,0,0,0,0,0,0.8895797238153512,0.9519146457014334,1.0316570986138722,0.9519146457014334,1.0316570986138722,0,0.0,0,0.0,0.0,0
2001,87,168,16128,0.75,0.75,0.0625,0,0,0,0,0,0,0.8910779745147636,0.9533260840355858,1.0253872234924868,0.9533260840355858,1.0253872234924868,0,0.0,0,0.0,0.0,0
2001,100,190,18240,0.75,0.75,0.0625,0,0,0,0,0,0,0.877618224554637,0.9551034115475987,1.0213775718343243,0.9551034115475987,1.0213775718343243,0,0.0,0,0.0,0.0,0
2001,114,228,21888,0.75,0.75,0.0625,0,0,0,0,0,0,0.9032025886671584,0.9565986017856233,1.0303932854571187,0.9565986017856233,1.0303932854571187,0,0.0,0,0.0,0.0,0
