candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,scenario_index,day_index,t0
310,1.05,1.5,0.0,10,216,20736
310,1.05,1.5,0.0,11,234,22464
310,1.05,1.5,0.0,12,268,25728
310,1.05,1.5,0.0,13,284,27264
310,1.05,1.5,0.0,14,291,27936
310,1.05,1.5,0.0,15,296,28416
310,1.05,1.5,0.0,16,350,33600
355,1.2,1.5,0.0,0,0,0
355,1.2,1.5,0.0,1,9,864
355,1.2,1.5,0.0,2,41,3936
355,1.2,1.5,0.0,3,51,4896
355,1.2,1.5,0.0,4,71,6816
355,1.2,1.5,0.0,5,120,11520
355,1.2,1.5,0.0,6,149,14304
355,1.2,1.5,0.0,7,175,16800
355,1.2,1.5,0.0,8,201,19296
355,1.2,1.5,0.0,9,209,20064
355,1.2,1.5,0.0,10,216,20736
355,1.2,1.5,0.0,11,234,22464
355,1.2,1.5,0.0,12,268,25728
355,1.2,1.5,0.0,13,284,27264
355,1.2,1.5,0.0,14,291,27936
355,1.2,1.5,0.0,15,296,28416
355,1.2,1.5,0.0,16,350,33600
400,1.35,1.5,0.0,0,0,0
400,1.35,1.5,0.0,1,9,864
400,1.35,1.5,0.0,2,41,3936
400,1.35,1.5,0.0,3,51,4896
400,1.35,1.5,0.0,4,71,6816
400,1.35,1.5,0.0,5,120,11520
400,1.35,1.5,0.0,6,149,14304
400,1.35,1.5,0.0,7,175,16800
400,1.35,1.5,0.0,8,201,19296
400,1.35,1.5,0.0,9,209,20064
400,1.35,1.5,0.0,10,216,20736
400,1.35,1.5,0.0,11,234,22464
400,1.35,1.5,0.0,12,268,25728
400,1.35,1.5,0.0,13,284,27264
400,1.35,1.5,0.0,14,291,27936
400,1.35,1.5,0.0,15,296,28416
400,1.35,1.5,0.0,16,350,33600
445,1.5,1.5,0.0,0,0,0
445,1.5,1.5,0.0,1,9,864
445,1.5,1.5,0.0,2,41,3936
445,1.5,1.5,0.0,3,51,4896
445,1.5,1.5,0.0,4,71,6816
445,1.5,1.5,0.0,5,120,11520
445,1.5,1.5,0.0,6,149,14304
445,1.5,1.5,0.0,7,175,16800
445,1.5,1.5,0.0,8,201,19296
445,1.5,1.5,0.0,9,209,20064
445,1.5,1.5,0.0,10,216,20736
445,1.5,1.5,0.0,11,234,22464
445,1.5,1.5,0.0,12,268,25728
445,1.5,1.5,0.0,13,284,27264
445,1.5,1.5,0.0,14,291,27936
445,1.5,1.5,0.0,15,296,28416
445,1.5,1.5,0.0,16,350,33600
