execution,candidate_id,metric,unit,contrast,training_seeds,mean,standard_deviation,ci95_low,ci95_high,seed_values
projected,100,mean_daily_loss_mwh,MWh/day,tail_minus_mean,3,-0.024909555889408058,0.221676940927217,-0.5755856046653337,0.5257664928865177,"[0.19712711534853566, -0.24622500664757485, -0.025630776369184982]"
projected,100,mean_daily_loss_mwh,MWh/day,worst_group_minus_uniform,3,0.1385785264436397,0.7470215989094993,-1.71712599887648,1.9942830517637593,"[-0.5265511118705688, 0.9467936293327233, -0.004506938131235372]"
projected,100,mean_daily_loss_mwh,MWh/day,tail_by_group_interaction,3,-0.372435456024939,0.4236911449453576,-1.424942607305334,0.680071695255456,"[-0.45807740051907375, -0.7467634731240711, 0.08753450556832787]"
projected,100,event_rate,fraction,tail_minus_mean,3,0.029411764705882356,0.07781621503131148,-0.16389442963667586,0.22271795904844058,"[0.11764705882352941, -0.029411764705882346, 0.0]"
projected,100,event_rate,fraction,worst_group_minus_uniform,3,0.009803921568627444,0.19136491466610916,-0.46557287965344707,0.485180722790702,"[-0.17647058823529413, 0.20588235294117646, 0.0]"
projected,100,event_rate,fraction,tail_by_group_interaction,3,-0.0980392156862745,0.12245094114506663,-0.4022242164202851,0.20614578504773612,"[-0.23529411764705882, -0.05882352941176469, 0.0]"
projected,100,mean_intervention_rate,fraction,tail_minus_mean,3,-0.013684640522875815,0.0932804210653888,-0.24540605225648646,0.2180367712107348,"[0.07199754901960784, -0.11305147058823528, 0.0]"
projected,100,mean_intervention_rate,fraction,worst_group_minus_uniform,3,0.0377859477124183,0.17105148265776246,-0.3871294910032714,0.46270138642810793,"[-0.11121323529411764, 0.22457107843137253, 0.0]"
projected,100,mean_intervention_rate,fraction,tail_by_group_interaction,3,-0.12336601307189542,0.1144543767712896,-0.40768644668081355,0.1609544205370227,"[-0.14399509803921567, -0.22610294117647056, 0.0]"
projected,105,mean_daily_loss_mwh,MWh/day,tail_minus_mean,3,-0.0109416195004447,0.041591300013141104,-0.11426013634253016,0.09237689734164076,"[-0.036556105967842756, 0.037047434360931275, -0.03331618689442262]"
