execution,candidate_id,contrast,training_seeds,mean_mwh,standard_deviation_mwh,ci95_low_mwh,ci95_high_mwh,seed_values_mwh
projected,100,tail_minus_mean,3,-0.024909555889408058,0.221676940927217,-0.5755856046653337,0.5257664928865177,"[0.19712711534853566, -0.24622500664757485, -0.025630776369184982]"
projected,100,worst_group_minus_uniform,3,0.1385785264436397,0.7470215989094993,-1.71712599887648,1.9942830517637593,"[-0.5265511118705688, 0.9467936293327233, -0.004506938131235372]"
projected,100,tail_by_group_interaction,3,-0.372435456024939,0.4236911449453576,-1.424942607305334,0.680071695255456,"[-0.45807740051907375, -0.7467634731240711, 0.08753450556832787]"
projected,105,tail_minus_mean,3,-0.0109416195004447,0.041591300013141104,-0.11426013634253016,0.09237689734164076,"[-0.036556105967842756, 0.037047434360931275, -0.03331618689442262]"
projected,105,worst_group_minus_uniform,3,0.1071957747308595,0.20671657806190302,-0.4063166724703311,0.6207082219320501,"[-0.015837221867501472, 0.34585319138783677, -0.008428645327756779]"
projected,105,tail_by_group_interaction,3,-0.04593369323704377,0.1271466350575009,-0.3617834443016242,0.26991605782753664,"[-0.012268388948613262, -0.1865251926279139, 0.06099250186539584]"
projected,267,tail_minus_mean,3,0.0328662175284273,0.15856537242525487,-0.36103200388600293,0.4267644389428575,"[-0.0822662917584791, 0.213726252677367, -0.03286130833360601]"
projected,267,worst_group_minus_uniform,3,0.03819087792951988,0.08747906085165268,-0.17911915611787949,0.25550091197691926,"[-0.019842859813806624, 0.13880837564019022, -0.004392882037823953]"
projected,267,tail_by_group_interaction,3,0.06329206892142092,0.17860152224566617,-0.3803787078595558,0.5069628457023976,"[-0.11225823828058012, 0.24479593199519445, 0.05733851304964843]"
raw,100,tail_minus_mean,3,-0.06410939358570722,0.12609750654564333,-0.37735296494954207,0.24913417777812763,"[0.03826596867207821, -0.2049633730600149, -0.025630776369184982]"
raw,100,worst_group_minus_uniform,3,0.13886725384239906,0.5479879430168821,-1.2224102609734593,1.5001447686582576,"[-0.32318122749236733, 0.7442899271507999, -0.004506938131235372]"
raw,100,tail_by_group_interaction,3,-0.23902026918226071,0.38547686683635085,-1.1965978910859334,0.718557352721412,"[-0.14035510716615884, -0.6642402059489512, 0.08753450556832787]"
raw,105,tail_minus_mean,3,0.008718400587638472,0.07562924497271464,-0.17915505895795783,0.1965918601332348,"[-0.036556105967842756, 0.09602749462518079, -0.03331618689442262]"
raw,105,worst_group_minus_uniform,3,0.0875357546427763,0.17267097034034326,-0.34140271449887755,0.5164742237844302,"[-0.015837221867501472, 0.28687313112358714, -0.008428645327756779]"
raw,105,tail_by_group_interaction,3,-0.0066136530608774296,0.06496363037409382,-0.16799225716337324,0.15476495104161836,"[-0.012268388948613262, -0.06856507209941487, 0.06099250186539584]"
raw,267,tail_minus_mean,3,0.0328662175284273,0.15856537242525487,-0.36103200388600293,0.4267644389428575,"[-0.0822662917584791, 0.213726252677367, -0.03286130833360601]"
raw,267,worst_group_minus_uniform,3,0.03819087792951988,0.08747906085165268,-0.17911915611787949,0.25550091197691926,"[-0.019842859813806624, 0.13880837564019022, -0.004392882037823953]"
raw,267,tail_by_group_interaction,3,0.06329206892142092,0.17860152224566617,-0.3803787078595558,0.5069628457023976,"[-0.11225823828058012, 0.24479593199519445, 0.05733851304964843]"
