candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,evaluated_days,risk,mean_daily_loss_mwh,max_daily_loss_mwh,worst_vmin,worst_vmax,mean_solve_seconds,inherited_steps,direct_fallback_steps,loss_increase_from_previous_mwh
0,0.225,0.0,0.0,40,0.925,0.8136254665463104,1.2646685999532745,0.9530000005472856,1.01958884972084,31.21804884999947,0,0,
1,0.3,0.0,0.0,40,0.725,1.1140880653449377,1.8626216754247298,0.9530000007996089,1.0254290882576864,38.28523410502239,746,0,0.30046259879862725
2,0.3,0.1875,0.0,40,0.675,1.1707032732696454,1.926499838677715,0.9530000006949844,1.0357470002937375,39.01987854998151,49,0,0.056615207924707756
3,0.3,0.375,0.0,40,0.65,1.259006390057862,2.025691830142724,0.9529990587589106,1.036654137523357,39.89906338251676,531,0,0.08830311678821667
4,0.45,0.375,0.0,40,0.4,1.7836662693799201,3.391091992174639,0.9529990477759045,1.0423780487618968,45.08531783998551,832,0,0.524659879322058
5,0.45,0.5625,0.0,40,0.35,1.9174091502643982,3.6700530556581645,0.9529990601364636,1.045582169543233,46.46400603001312,989,0,0.13374288088447805
6,0.45,0.75,0.0,40,0.325,2.0412984252038453,4.107185421929425,0.9529990039809602,1.0468008948279421,46.631164892491505,1245,0,0.12388927493944712
7,0.6,0.75,0.0,40,0.15,2.0045476222080802,4.344409127517845,0.9529990601364636,1.0468008952349175,47.56451794505047,1747,0,-0.03675080299576505
8,0.75,0.75,0.0,40,0.125,2.001552035549713,4.1077355449499064,0.9529990601364636,1.0468008952349175,47.40367411748521,1343,0,-0.0029955866583670776
9,0.75,1.0,0.0,40,0.1,2.0025669170211384,4.070443343422102,0.9529990601364636,1.0468008952349175,47.26914473246798,1392,0,0.0010148814714252552
10,1.0,1.0,0.0,40,0.1,2.06108708869008,3.974775788702917,0.9529990458877157,1.0468008952349175,48.00302280748292,1748,0,0.05852017166894141
11,1.0,1.25,0.0,40,0.075,2.06810162942659,3.9747772222178486,0.9529990458877157,1.0468008952349175,47.94632681749499,1779,0,0.007014540736510089
12,1.25,1.25,0.0,40,0.05,2.1030558979046168,3.974921295057865,0.9529990458877157,1.0468008952349175,49.17594492751232,2200,0,0.03495426847802685
13,1.25,1.5,0.0,40,0.05,2.1029710464201297,3.9749243090071857,0.9529990458877157,1.0468008952349175,49.48718317751336,2263,0,-8.485148448711399e-05
14,1.5,1.5,0.0,40,0.175,2.112701071722449,3.974768977720544,0.9529990458877157,1.0468008952349175,56.255612707500404,2228,0,0.009730025302319145
