candidate_id,scenario_index,step,time_index,solver,loss_mw,vmin,vmax,solve_ms,q_mvar_0,q_mvar_1,q_mvar_2,q_mvar_3,q_mvar_4,error
0,0,0,96,pandapower_ac_opf,0.0334519645821383,0.9666934086652312,0.9999999999837578,857.4903999979142,0.1981314400314481,0.1377406155966265,0.0300148915265119,0.6070722010066223,-1.2209346206878353e-12,
1,0,0,96,pandapower_ac_opf,0.0334522418507225,0.9666868263705274,1.000000000000005,280.5952000198886,0.1959767504098575,0.1370842633132009,0.0302198889306773,0.6069702690735936,-4.696718080527521e-12,
2,0,0,96,pandapower_ac_opf,0.0333276836149769,0.9667091148980506,0.9999999999991848,271.9825999811292,0.1595730523686002,0.0785930653206104,0.0301304124174579,0.6016271902724255,0.1011063047386725,
3,0,0,96,pandapower_ac_opf,0.0333277690420878,0.9667064345488549,0.9999999999998228,276.2635000108276,0.1581192223359114,0.0769419553599575,0.0302011845246963,0.6012839021468671,0.1038335186690811,
4,0,0,96,pandapower_ac_opf,0.0333276927405019,0.9667014400033642,0.9999999999998268,280.3936999989673,0.157279344099439,0.076823046959429,0.030351833797316,0.6010274517665072,0.1036680696070127,
5,0,0,96,pandapower_ac_opf,0.033327688719655,0.9667011537772684,0.9999999999995026,293.47279999637976,0.1572263612986422,0.0767667964030926,0.0303561673566154,0.6010013374646124,0.1037514051311684,
6,0,0,96,pandapower_ac_opf,0.0333277211750082,0.9666992318045312,0.9999999999993696,302.22879999200813,0.1570995261817211,0.0767267201219927,0.0303577774981032,0.6008634395300709,0.1037503654680182,
7,0,0,96,pandapower_ac_opf,0.0333276021053295,0.9666971017047306,1.000000000001084,273.6371000064537,0.156867764976103,0.076657904516096,0.0303691539900759,0.6007330044306336,0.1036950325221541,
8,0,0,96,pandapower_ac_opf,0.0333274592810208,0.9666992887732327,1.0000000000009603,287.0262999786064,0.1568963846985011,0.0766523313512804,0.0303725407400979,0.6009122228793006,0.1036933735447939,
9,0,0,96,pandapower_ac_opf,0.0333274526021179,0.966699510958882,1.000000000000924,292.4748999939766,0.1569041201178135,0.0766501584576968,0.0303726085223623,0.6009276372462246,0.1037046395898353,
10,0,0,96,pandapower_ac_opf,0.0333275435405928,0.966696541300339,0.9999999999997082,276.0588999954052,0.1567276124155869,0.0766061284587281,0.0303737232616999,0.60072017407673,0.1036649834925426,
11,0,0,96,pandapower_ac_opf,0.0333275390816454,0.9666967100508717,0.9999999999996858,282.79979998478666,0.1567352608372422,0.0766060938892592,0.0303737860397073,0.6007319999127485,0.103670899713483,
12,0,0,96,pandapower_ac_opf,0.033324696203752,0.9668081363148632,0.9999999999999588,283.5103999823332,0.1611620870647415,0.0773446000997398,0.0303388150809103,0.609094377356759,0.1044955672339684,
13,0,0,96,pandapower_ac_opf,0.0333248279316466,0.9668251914029884,0.9999999999999544,274.5293999905698,0.1619456045344381,0.077503663376242,0.0303196591810454,0.6103444617533467,0.1046643327462584,
14,0,0,96,pandapower_ac_opf,0.0333269721236687,0.9667099236918324,0.9999999999999954,285.00840000924654,0.1572467101050073,0.0766742348421722,0.0303815003242393,0.6017344336360511,0.1037621499499946,
0,0,1,97,pandapower_ac_opf,0.0328052155553547,0.9670159869546388,1.0000000000018363,372.1467000141274,0.1958514462592524,0.1364125078424892,0.0297251549608987,0.6011919875348786,-6.975542075935702e-12,
1,0,1,97,pandapower_ac_opf,0.0328054733063525,0.9670086210236382,0.9999999999964247,284.2811000009533,0.1938309752906261,0.1357615742391661,0.029928464621972,0.6010025226933065,-3.8278456792829934e-12,
2,0,1,97,pandapower_ac_opf,0.0326832864399657,0.967035013679353,0.9999999999879784,280.2951000048779,0.1583608156648958,0.0780648140857899,0.0298927672773962,0.5960106930416212,0.0998981703444869,
3,0,1,97,pandapower_ac_opf,0.0326833742875539,0.9670319600717624,0.9999999999886124,277.02310000313446,0.1567589445316003,0.0762659728263967,0.029926064884364,0.5956297360070842,0.1028619004906857,
4,0,1,97,pandapower_ac_opf,0.0326832148842039,0.9670309396794486,0.9999999999922796,301.0358000174165,0.1560060681201229,0.0762157707455397,0.0300682511328982,0.5956746922126978,0.1027298441851047,
5,0,1,97,pandapower_ac_opf,0.0326832245680916,0.9670298781081964,0.9999999999915672,274.59720001206733,0.1558930853973477,0.0761372955169879,0.0300718181106682,0.5955929670862202,0.1028234214966322,
6,0,1,97,pandapower_ac_opf,0.0326832424977754,0.967028566362768,0.9999999999913296,290.3033000184223,0.1557997432511695,0.0761031277755308,0.0300723701074437,0.5954986905368077,0.1028328686698603,
7,0,1,97,pandapower_ac_opf,0.0326827052681383,0.9670424428562416,0.9999999999909256,275.30760000809096,0.1563657913825779,0.0762165622281577,0.0300885001092763,0.5965332341395534,0.1029426104339881,
8,0,1,97,pandapower_ac_opf,0.0326827542595025,0.9670320057215372,0.9999999999915832,279.8812999972142,0.1556971415872872,0.0760421160309615,0.0300934455558502,0.5958029735271106,0.1027994682384404,
9,0,1,97,pandapower_ac_opf,0.0326829042781867,0.9670279835600664,0.9999999999914844,278.899700002512,0.1555021924362552,0.0759947289998669,0.0300918059893263,0.5955090340616445,0.1027707548134587,
10,0,1,97,pandapower_ac_opf,0.0326829319330926,0.9672198805448362,0.9999999999854868,259.7914999932982,0.1635886386664333,0.0775421102174043,0.0299897926038957,0.6098057907228677,0.1043605389927016,
11,0,1,97,pandapower_ac_opf,0.0326828469643662,0.9672207741355656,0.9999999999857184,265.52849999279715,0.1636027336235621,0.0775428982790141,0.0299780702648717,0.6098721249604865,0.1043575961190973,
12,0,1,97,pandapower_ac_opf,0.0326817234600341,0.9672350243919796,0.9999999999866592,266.4041000243742,0.16355261175712,0.0774206636109614,0.0299257317263397,0.6110168405232224,0.1043062444741963,
13,0,1,97,pandapower_ac_opf,0.0326825799891465,0.967250165696834,0.999999999991436,259.32379998266697,0.1643648156546608,0.0776135092379363,0.0297816688267765,0.6120941006830014,0.1044932679034362,
14,0,1,97,pandapower_ac_opf,0.032683088348628,0.9672587734113096,0.9999999999995608,276.473799982341,0.1646090844875224,0.0774474325772304,0.0298431529900436,0.6128224261234504,0.1045429967077249,
0,0,2,98,pandapower_ac_opf,0.0320138354925422,0.9674153762058816,1.0000000000100235,277.26820000680164,0.1930531269619875,0.1347801056549454,0.029367045101959,0.5939373484838224,-7.2010832453691215e-12,
1,0,2,98,pandapower_ac_opf,0.0320139352868911,0.9674162333932766,0.9999999999864518,272.7557000180241,0.1920889201937402,0.1343394680809876,0.0295639055635053,0.594262097207057,-4.901152059604964e-12,
2,0,2,98,pandapower_ac_opf,0.0318948458331421,0.967434069538858,0.9999999999865332,274.5447999914177,0.1562506331361598,0.0771119455181177,0.0295845923055621,0.588767579754666,0.0987624955200954,
3,0,2,98,pandapower_ac_opf,0.0318949249631951,0.9674313017893624,0.99999999998735,275.0588999770116,0.1547027361630756,0.0753700037914846,0.0296126610435254,0.5884133353824684,0.101635764646976,
4,0,2,98,pandapower_ac_opf,0.0318947874330862,0.9674292294008942,0.9999999999908644,281.4391999854706,0.1538640465799154,0.0753077918702351,0.0297209004497129,0.5883860322508548,0.101490243078249,
5,0,2,98,pandapower_ac_opf,0.0318948054426427,0.9674277783184232,0.999999999990452,286.3012000161689,0.1537267430205256,0.0752227491598268,0.0297221303747574,0.5882770977186855,0.1015789949677666,
6,0,2,98,pandapower_ac_opf,0.031894824359281,0.9674264813593474,0.9999999999901648,276.1161000235006,0.1536334051953972,0.0751883882315128,0.0297221721257935,0.5881843216849697,0.1015877018513236,
7,0,2,98,pandapower_ac_opf,0.0318943250382573,0.967438957948115,0.9999999999899384,287.37059998093173,0.154148409826066,0.0752952561831397,0.0297368248412747,0.5891115245859885,0.1016888851132369,
8,0,2,98,pandapower_ac_opf,0.0318943435558005,0.9674310059901432,0.9999999999905876,275.675200013211,0.1536115508892078,0.075151244542137,0.0297392127753921,0.5885616433611532,0.1015724019051852,
9,0,2,98,pandapower_ac_opf,0.0318944611374945,0.9674279072113272,0.9999999999904774,275.2125000115484,0.1534593629691244,0.0751122908368591,0.0297377101051143,0.5883357064611154,0.1015520594560788,
10,0,2,98,pandapower_ac_opf,0.0318931721661231,0.9675971797166932,0.9999999999848004,265.541700005997,0.160522484507993,0.0764988739403063,0.0296715153717585,0.6009146848657887,0.1029509825084319,
11,0,2,98,pandapower_ac_opf,0.0318930756830822,0.9675905914857728,0.9999999999841938,262.83500000135973,0.1602619521886654,0.0764349319497895,0.0296759927439697,0.6004304992075198,0.1028971031625309,
12,0,2,98,pandapower_ac_opf,0.03189263196369,0.9676172100832257,0.9999999999822848,291.0565000202041,0.1608608548462756,0.0764711466508399,0.0296660123735028,0.6024794597450418,0.1029843674267983,
13,0,2,98,pandapower_ac_opf,0.0318926610598895,0.9676180191849736,0.9999999999822315,261.43149999552406,0.1609022165534955,0.0764821415637108,0.0296624278019824,0.6025376878315852,0.102990417936634,
14,0,2,98,pandapower_ac_opf,0.031896306479502,0.967700966098658,0.9999999999828952,268.1659999943804,0.164094285505682,0.077101816442583,0.0295844109101593,0.6087295388362698,0.1036110471201851,
0,0,3,99,pandapower_ac_opf,0.0313566681402412,0.9677484796609508,0.9999999999668864,297.7162000024691,0.1905067506054841,0.1333196112736681,0.0291029254207217,0.5876917590120291,-5.41095634797774e-12,
1,0,3,99,pandapower_ac_opf,0.0313567353498514,0.9677503637132812,0.9999999999863786,272.95470001990907,0.1898395230732116,0.1329595340451451,0.0293093028432919,0.5880439849616095,-8.052425428438865e-12,
2,0,3,99,pandapower_ac_opf,0.0312401168823917,0.9677669909869664,0.9999999999896172,276.87160001369193,0.1542886779311452,0.0763303762056441,0.0293322388749879,0.5825434120810158,0.0976844823691874,
3,0,3,99,pandapower_ac_opf,0.0312402034719449,0.9677644484316336,0.99999999999026,275.03650001017377,0.1527637659941471,0.0745885079516012,0.0293495934115821,0.582204778935094,0.1005618710681068,
4,0,3,99,pandapower_ac_opf,0.031240053159725,0.967763710009012,0.9999999999901764,276.91989997401834,0.152063507763065,0.0745409889153064,0.0294255564676506,0.582262050146726,0.1004486588994684,
5,0,3,99,pandapower_ac_opf,0.0312400710954329,0.967762316263558,0.9999999999899052,278.6117999930866,0.151929088043942,0.0744570703589932,0.0294259596795096,0.5821575584658629,0.1005366362996538,
6,0,3,99,pandapower_ac_opf,0.0312400945831752,0.9677607998777508,0.9999999999896156,290.1031000073999,0.151821405732696,0.074419230830192,0.0294258404672217,0.5820496332880266,0.1005418569562567,
7,0,3,99,pandapower_ac_opf,0.0312396375568806,0.9677717339030012,0.9999999999894532,327.31649998459034,0.1522723569396404,0.0745146294361878,0.029439250865776,0.5828609498547297,0.1006311782018664,
8,0,3,99,pandapower_ac_opf,0.0312396689662411,0.9677648656478612,0.999999999990204,381.3092999916989,0.151801830233093,0.0743871637191867,0.0294404539521564,0.5823886866072626,0.1005283329206692,
9,0,3,99,pandapower_ac_opf,0.0312397736246543,0.9677621349504886,0.9999999999900911,312.3679000127595,0.1516654649701505,0.0743511528405371,0.0294389529861378,0.5821901380676446,0.1005108475756671,
10,0,3,99,pandapower_ac_opf,0.0312374693423175,0.9679143391532292,0.9999999999844478,275.3386999829672,0.1579299173391615,0.075604295906185,0.0293895319465653,0.593477060200616,0.1017593874385342,
