job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,risk,under_risk,over_risk,viol_rate,under_steps,over_steps,pf_fail,loss_mean_mw,energy_mwh,vmin,vmax
0,0.8922557234764099,1.0637273788452148,0.2655468583106994,15810,0,0,0,0.0,0,0,0,0.04983229349118118,1.1959750437883483,0.9608944732330102,1.0236316773511043
1,1.11762273311615,0.715850830078125,0.564409077167511,14639,0,0,0,0.0,0,0,0,0.046765720115527425,1.1223772827726581,0.9571116542862814,1.023796790792201
2,1.4199260473251345,1.2354456186294556,0.9599280953407288,25978,0,0,0,0.0,0,0,0,0.08331573667362341,1.9995776801669618,0.9675447688666328,1.0298184845044378
3,1.397938251495361,0.7383283972740173,0.0892592146992683,13517,0,0,0,0.0,0,0,0,0.05050090574757127,1.2120217379417104,0.9561778243574414,1.023389789632408
4,1.1385867595672607,1.2653429508209229,0.0705578178167343,35569,0,0,0,0.0,0,0,0,0.06136965274057213,1.472871665773731,0.9675721697843905,1.0262679574990943
5,0.758236825466156,0.8443105220794678,0.6788710355758667,31780,0,0,0,0.0,0,0,0,0.04543120524482469,1.0903489258757926,0.9615599846307697,1.0287506718627228
6,1.1141111850738523,1.202295184135437,0.8086973428726196,33854,0,0,0,0.0,0,0,0,0.07005292614652833,1.68127022751668,0.9687226415029001,1.02814642180003
7,0.8388385772705078,0.7685493230819702,0.0764496922492981,26570,0,0,0,0.0,0,0,0,0.03777976514652953,0.9067143635167088,0.9564498749803964,1.0248810675804472
8,0.7935377955436707,0.8132753372192383,0.8678043484687805,36143,0,0,0,0.0,0,0,0,0.04658433158553869,1.1180239580529285,0.9604411923251718,1.0243581324496374
9,0.8543351292610168,1.4582303762435913,0.3429531753063202,35352,0,0,0,0.0,0,0,0,0.07091481841021426,1.7019556418451423,0.9696105292196018,1.0320446686905511
10,1.437896490097046,1.3765506744384766,0.5912892818450928,33150,0,0,0,0.0,0,0,0,0.08276574562337606,1.9863778949610253,0.9673391490432611,1.0307377726585412
11,0.7079476118087769,1.360935926437378,0.6865734457969666,5601,0,0,0,0.0,0,0,0,0.06787121963772723,1.6289092713054534,0.9696329949846979,1.032459003096458
12,1.172824740409851,1.48961079120636,0.6333551406860352,33249,0,0,0,0.0,0,0,0,0.08427819333402908,2.022676640016698,0.9732996556265378,1.0339113783769445
13,0.9680083394050598,1.4241880178451538,0.5417709350585938,8311,0,0,0,0.0,0,0,0,0.07403110357810404,1.7767464858744968,0.9710025120437417,1.0319273802441418
14,0.8214073181152344,1.3901398181915283,0.0344803854823112,37912,0,0,0,0.0,0,0,0,0.06077568763630209,1.4586165032712501,0.9680380437916256,1.0289312924869198
15,1.1092581748962402,1.2629188299179075,0.8158876299858093,20146,0,0,0,0.0,0,0,0,0.07261976594150334,1.7428743825960802,0.9647703611772585,1.0286744371464045
16,1.0925081968307495,0.7300975322723389,0.3620470762252807,31489,0,0,0,0.0,0,0,0,0.04425039954385144,1.0620095890524346,0.960181791734455,1.0227648818758863
17,0.728144645690918,1.1051019430160522,0.5382826328277588,24154,0,0,0,0.0,0,0,0,0.05170124975485602,1.2408299941165446,0.962288777294504,1.0321324511725236
18,1.4516876935958862,1.1898695230484009,0.8314368724822998,37557,0,0,0,0.0,0,0,0,0.07748052669544582,1.8595326406906998,0.9700483662936231,1.0268995628089899
19,0.9327476024627686,1.0882830619812012,0.34245166182518,35197,0,0,0,0.0,0,0,0,0.052426303543195885,1.2582312850367012,0.9622686642189918,1.0253087674164139
20,1.2022912502288818,1.2867220640182495,0.2298065274953842,18802,0,0,0,0.0,0,0,0,0.06620823566600122,1.5889976559840293,0.9616904756416618,1.0269298367289177
21,1.0491986274719238,1.2544554471969604,0.2040055096149444,30252,0,0,0,0.0,0,0,0,0.06126732272568621,1.470415745416469,0.9672423923267394,1.0275744046605864
22,1.3682831525802612,0.7437836527824402,0.3787975907325744,6834,0,0,0,0.0,0,0,0,0.05309619417428507,1.2743086601828417,0.9611280425007461,1.024590988489629
23,1.0680971145629885,1.2324644327163696,0.8391338586807251,1055,0,0,0,0.0,0,0,0,0.07062178148998954,1.694922755759749,0.9691580569485395,1.029375987404565
24,1.2938110828399658,0.759593665599823,0.4535128474235534,11615,0,0,0,0.0,0,0,0,0.052614105627135886,1.2627385350512612,0.9604442295963738,1.026119822718936
25,1.1979182958602903,1.0832096338272097,0.0803204774856567,23813,0,0,0,0.0,0,0,0,0.05558071449558821,1.333937147894117,0.9650294836817758,1.023481602187347
26,1.457740306854248,0.8538777828216553,0.1427513211965561,12549,0,0,0,0.0,0,0,0,0.05510189823718261,1.3224455576923826,0.959283602189528,1.0237662111009034
27,1.4690325260162354,0.9606273770332336,0.1062826961278915,34361,0,0,0,0.0,0,0,0,0.059788372472109726,1.4349209393306335,0.9597146796693894,1.0252852398940624
28,0.9049335718154908,1.2795544862747192,0.2324615567922592,29235,0,0,0,0.0,0,0,0,0.059262893597373516,1.4223094463369643,0.9663317064965953,1.0257191411172377
29,1.140488862991333,1.3566157817840576,0.9259065985679626,16175,0,0,0,0.0,0,0,0,0.08221037798256306,1.9730490715815134,0.9730143869396677,1.0307682257149742
30,1.1458288431167605,0.9548333883285522,0.4786820411682129,32421,0,0,0,0.0,0,0,0,0.05393223535544158,1.2943736485305979,0.961977343914426,1.0253075969966647
31,1.2286908626556396,1.1837670803070068,0.7860862612724304,35532,0,0,0,0.0,0,0,0,0.07039605513908426,1.6895053233380222,0.9691589046953135,1.0260362420565028
32,1.1793975830078125,1.2078396081924438,0.1852319538593292,33234,0,0,0,0.0,0,0,0,0.061016178977140456,1.464388295451371,0.9665062337471176,1.0257108998683586
33,0.8690906763076782,1.455291986465454,0.5538768172264099,22398,0,0,0,0.0,0,0,0,0.07419243791193843,1.7806185098865224,0.9709262541869957,1.032123248709363
34,0.7128766179084778,1.2723759412765503,0.5335721373558044,17808,0,0,0,0.0,0,0,0,0.06079226362491986,1.4590143269980766,0.9631423046399695,1.0349441925849001
35,1.3854740858078003,0.9864910244941713,0.4299546480178833,20819,0,0,0,0.0,0,0,0,0.06122653823718217,1.469436917692372,0.9620082048133262,1.0256376776775404
36,1.3329659700393677,0.99119234085083,0.2500589191913605,23210,0,0,0,0.0,0,0,0,0.05717860616894684,1.3722865480547242,0.9639707117252128,1.0233062710852316
37,0.9601963758468628,1.360870122909546,0.6713555455207825,11065,0,0,0,0.0,0,0,0,0.0727934516439644,1.7470428394551458,0.9713157228109336,1.030237261778525
38,1.0993938446044922,1.2273160219192505,0.6986435651779175,29897,0,0,0,0.0,0,0,0,0.06883053868466109,1.651932928431866,0.965058398836487,1.027413372902061
39,1.1689258813858032,0.9943897724151612,0.0994954407215118,20978,0,0,0,0.0,0,0,0,0.05163809175946941,1.2393142022272658,0.96003790471752,1.0220521220238281
40,1.306602120399475,0.7503799200057983,0.1542302817106247,38304,0,0,0,0.0,0,0,0,0.04803738498057578,1.1528972395338188,0.9587172248827694,1.0215652470274317
41,1.3476468324661257,1.2223814725875854,0.7683918476104736,8544,0,0,0,0.0,0,0,0,0.07517532315407634,1.8042077556978322,0.9711708206656312,1.0268720541987435
42,1.2662214040756226,0.9071076512336732,0.9094436168670654,13275,0,0,0,0.0,0,0,0,0.06123674529629362,1.4696818871110469,0.9632154016810229,1.0285518255031412
43,0.968790888786316,1.4757083654403689,0.1541630029678344,7770,0,0,0,0.0,0,0,0,0.07041104394955383,1.689865054789292,0.9698098262292948,1.031731984240226
44,0.7895867228507996,0.8641526699066162,0.9482090473175048,30453,0,0,0,0.0,0,0,0,0.05069221984272993,1.2166132762255184,0.9584560884777941,1.0262830178195776
