candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar,evaluated_days,event_days,pf_fail_days,projection_failure_steps,mean_daily_loss_mwh,max_daily_loss_mwh,mean_intervention_rate,max_intervention_rate,worst_vmin,worst_vmax,risk_hat,risk_upper_95,selection_eligible,pareto
100,0.45,0.375,0.0,6.037383539249433,0.75,17,0,0,0,1.491213909898596,2.69094632748527,0.0,0.0,0.9522938045562828,1.0148985591811557,0.0,0.16156611126074,True,True
101,0.45,0.375,0.25,6.037383539249433,0.75,17,0,0,0,1.4600611466073343,2.687030570092913,0.0,0.0,0.9532816897521404,1.01698772816155,0.0,0.16156611126074,True,True
102,0.45,0.375,0.5,6.037383539249433,0.75,17,0,0,0,1.4592421580797317,2.6951653576990786,0.0,0.0,0.9542519200138136,1.0190217451325223,0.0,0.16156611126074,True,False
103,0.45,0.375,0.75,6.037383539249433,0.75,17,0,0,0,1.4875376062138324,2.721917133993451,0.0,0.0,0.955193719453777,1.0207078577614628,0.0,0.16156611126074,True,False
104,0.45,0.375,1.0,6.037383539249433,0.75,17,3,0,48,2.130392609028295,7.018505189189869,0.071078431372549,0.5520833333333334,0.9490357481580156,1.0637111950820648,0.1764705882352941,0.3956414334448209,False,False
105,0.45,0.5625,0.0,6.037383539249433,1.125,17,0,0,0,1.484753111157771,2.698171272007821,0.0,0.0,0.9536555118339456,1.014931695045702,0.0,0.16156611126074,True,True
106,0.45,0.5625,0.25,6.037383539249433,1.125,17,0,0,0,1.4587620968027266,2.6940234405693366,0.0,0.0,0.9551820142597112,1.0170803885729929,0.0,0.16156611126074,True,True
107,0.45,0.5625,0.5,6.037383539249433,1.125,17,0,0,0,1.4579712509577558,2.694704854893617,0.0,0.0,0.9560511649610396,1.0189904707719202,0.0,0.16156611126074,True,False
108,0.45,0.5625,0.75,6.037383539249433,1.125,17,0,0,0,1.486598783088235,2.7162891446695885,0.0,0.0,0.9565666558603796,1.0206653052370105,0.0,0.16156611126074,True,False
109,0.45,0.5625,1.0,6.037383539249433,1.125,17,0,0,0,1.543820403330375,2.770536496815573,0.0,0.0,0.956329808269212,1.0222178694156636,0.0,0.16156611126074,True,False
110,0.45,0.75,0.0,6.037383539249433,1.5,17,0,0,0,1.4837139009072238,2.698103807004119,0.0,0.0,0.954062904979884,1.0149848693506978,0.0,0.16156611126074,True,True
