candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar,evaluated_days,event_days,pf_fail_days,projection_failure_steps,mean_daily_loss_mwh,max_daily_loss_mwh,mean_intervention_rate,max_intervention_rate,worst_vmin,worst_vmax,risk_hat,risk_upper_95,selection_eligible,pareto
100,0.45,0.375,0.0,6.037383539249433,0.75,17,0,0,0,1.491213909898596,2.69094632748527,0.0,0.0,0.9522938045562828,1.0148985591811557,0.0,0.16156611126074,True,True
101,0.45,0.375,0.25,6.037383539249433,0.75,17,0,0,0,1.4600611466073343,2.687030570092913,0.0,0.0,0.9532816897521404,1.01698772816155,0.0,0.16156611126074,True,True
105,0.45,0.5625,0.0,6.037383539249433,1.125,17,0,0,0,1.484753111157771,2.698171272007821,0.0,0.0,0.9536555118339456,1.014931695045702,0.0,0.16156611126074,True,True
106,0.45,0.5625,0.25,6.037383539249433,1.125,17,0,0,0,1.4587620968027266,2.6940234405693366,0.0,0.0,0.9551820142597112,1.0170803885729929,0.0,0.16156611126074,True,True
110,0.45,0.75,0.0,6.037383539249433,1.5,17,0,0,0,1.4837139009072238,2.698103807004119,0.0,0.0,0.954062904979884,1.0149848693506978,0.0,0.16156611126074,True,True
111,0.45,0.75,0.25,6.037383539249433,1.5,17,0,0,0,1.4580284136596062,2.690324883319408,0.0,0.0,0.9554243409777464,1.017171724684935,0.0,0.16156611126074,True,True
112,0.45,0.75,0.5,6.037383539249433,1.5,17,0,0,0,1.456429524521505,2.685456503794762,0.0,0.0,0.9562024240357796,1.018933703544436,0.0,0.16156611126074,True,True
116,0.45,0.9375,0.25,6.037383539249433,1.875,17,0,0,0,1.4573578579898503,2.684777118201426,0.0,0.0,0.9555423492154492,1.0172099066429796,0.0,0.16156611126074,True,True
117,0.45,0.9375,0.5,6.037383539249433,1.875,17,0,0,0,1.455091869525694,2.676250940644869,0.0,0.0,0.9562203271023766,1.018869448878174,0.0,0.16156611126074,True,True
121,0.45,1.125,0.25,6.037383539249433,2.25,17,0,0,0,1.456564035793536,2.675690807660056,0.0,0.0,0.9555664762596788,1.017168744408058,0.0,0.16156611126074,True,True
122,0.45,1.125,0.5,6.037383539249433,2.25,17,0,0,0,1.453808120896223,2.6661871310150507,0.0,0.0,0.9561773321308612,1.0187867696217188,0.0,0.16156611126074,True,True
