method,day,event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,mean_absolute_normalized_action,rms_normalized_action,normalized_action_saturation_fraction,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
pilot_droop,4,0,0,0,0,0.9595341774665548,1.0294684062281065,2.238785366825901,0.17363238982701054,0.1762424182769416,0.0,64.23223252602938,1.3378268982590034
pilot_droop,38,0,0,0,0,0.953985034742492,1.0212258200459499,3.809688275000275,0.23298007249832153,0.235214677064345,0.0,86.17459606534855,1.3416408398118889
pilot_droop,77,0,0,0,0,0.9525571275345698,1.023123085797336,3.638238159595915,0.23237261013127863,0.23417351304437128,0.0,85.8704692096291,1.3416408398118889
pilot_droop,85,0,0,0,0,0.9560468617889483,1.0274090595371046,3.564375645732828,0.22514481058654687,0.22792050128231778,0.0,83.27827825712987,1.3416408398118889
pilot_droop,105,0,0,0,0,0.9601409968675536,1.0377889814999834,2.3477455277913464,0.18471796492425105,0.18730600370090753,0.0,68.07983245634439,1.239566190617657
pilot_droop,133,0,0,0,0,0.9594515956124526,1.0329597604280918,2.5176714733893295,0.19457511122648916,0.19695467524738497,0.0,71.77695005075385,1.3105419422635762
pilot_droop,137,0,0,0,0,0.9617548906679787,1.0311990261837245,1.519112579378623,0.14517471993652484,0.14713841598379981,0.0,53.55182858023297,1.228138493642975
pilot_droop,147,0,0,0,0,0.9591563862385328,1.037805145668717,2.567770191989515,0.19707348217101148,0.1994021929422883,0.0,72.63059420989659,1.3323133696680136
pilot_droop,159,0,0,0,0,0.9650749520332003,1.0286261478385956,1.3821032674284142,0.1369966087707629,0.1394806518790338,0.0,50.560744030941734,1.077222041909241
pilot_droop,220,0,0,0,0,0.9596145347200475,1.0292050852517223,2.31589232060427,0.18511103536002338,0.18754724116181787,0.0,68.34480640631884,1.3274294559741384
pilot_droop,236,0,0,0,0,0.9664908267154393,1.0311938231305287,1.2612456536810073,0.12645748013164848,0.12891229918858976,0.0,46.65825207384115,1.0101897133726314
pilot_droop,241,0,0,0,0,0.9598597751527231,1.0275920686295412,2.450059655439791,0.18850546904529134,0.1912758239696902,0.0,69.67051140064143,1.264268845886667
pilot_droop,245,0,0,0,0,0.9593372811392711,1.0277488695075392,2.5899778174888493,0.19511373608838767,0.19779602353345538,0.0,72.05239859053748,1.2703690732026989
pilot_droop,257,0,0,0,0,0.9657916159681744,1.0330465780423186,1.3503513745928861,0.13061640427137414,0.13351838563705024,0.0,48.20512852142059,0.9952401580472288
pilot_droop,282,0,0,0,0,0.9561882947534927,1.029940565617888,2.8792967627528614,0.20430567398822555,0.2073029963382765,0.0,75.44497739125697,1.3293810755631412
pilot_droop,295,0,0,0,0,0.9546051977196148,1.0275161167508544,3.6329621050862295,0.2255843513800452,0.2289952463722799,0.0,83.447272033974,1.3416408398118889
pilot_droop,299,0,0,0,0,0.9618070000412129,1.02315014792015,2.0137933836518838,0.16327011216587076,0.16602140433668736,0.0,60.402708222530165,1.0948612550312613
