scenario_index,day_index,t0
0,4,384
1,38,3648
2,77,7392
3,85,8160
4,105,10080
5,133,12768
6,137,13152
7,147,14112
8,159,15264
9,220,21120
10,236,22656
11,241,23136
12,245,23520
13,257,24672
14,282,27072
15,295,28320
16,299,28704
