episode,total_step,group_id,theta_pv,theta_svc,theta_cap,line_loss_mwh,violation_steps,event_day,pf_fail_steps
0,96,4,1.1026259660720825,1.0176818370819092,0.4868961274623871,2.6212611202691307,23,1,0
1,192,5,1.333793044090271,0.7178369164466858,0.9194334149360657,2.842768353300353,32,1,0
2,288,0,0.974654495716095,0.9018738269805908,0.4285861849784851,1.9176536313021437,17,1,0
3,384,3,0.8571339249610901,1.435469627380371,0.7166582345962524,2.5073688653072264,8,1,0
4,480,6,1.1098872423171997,1.2059489488601685,0.1072092205286026,2.606751818441306,23,1,0
5,576,2,0.9820009469985962,1.279968023300171,0.44390082359313965,2.5255175721775234,21,1,0
6,672,7,1.3149422407150269,1.233778715133667,0.5923036336898804,3.1690904107839986,33,1,0
7,768,1,0.8429954648017883,1.0178393125534058,0.7892868518829346,1.9920870420968144,14,1,0
8,864,7,1.2419214248657227,1.471795916557312,0.7476926445960999,4.08918821659289,35,1,0
9,960,2,0.963524580001831,1.442952275276184,0.03418096899986267,2.3763672493931485,10,1,0
10,1056,0,1.0980168581008911,1.0120083093643188,0.3677677810192108,2.2663327195546135,17,1,0
11,1152,1,0.8013075590133667,0.9681749939918518,0.7205689549446106,2.0222574977442167,19,1,0
12,1248,6,1.2128249406814575,1.2251144647598267,0.11420919746160507,3.1019428944142455,35,1,0
13,1344,5,1.152099847793579,0.9922738671302795,0.7166303396224976,2.872466385542523,32,1,0
14,1440,4,1.3685479164123535,0.8059636950492859,0.16541339457035065,2.8234310748856424,30,1,0
15,1536,3,1.073185920715332,1.3298763036727905,0.8957392573356628,3.0468257501732485,23,1,0
16,1632,6,1.4231690168380737,1.4122684001922607,0.0774289220571518,3.6181666795856264,36,1,0
17,1728,4,1.234307050704956,0.9056338667869568,0.09696078300476074,2.6513797604756912,24,1,0
18,1824,5,1.2101937532424927,0.8599721193313599,0.8878419399261475,3.0939394914800653,28,1,0
19,1920,1,0.7365343570709229,0.8515640497207642,0.5634486675262451,1.4657015181206794,9,1,0
20,2016,7,1.460477590560913,1.4273014068603516,0.5517624020576477,4.2617141968848085,35,1,0
21,2112,3,1.0987648963928223,1.1104639768600464,0.7591000199317932,2.84169180234773,22,1,0
