update,total_step,policy_loss,value_loss,entropy,approx_kl
1,2048,8.461112156510353e-05,891.2853469848633,-2.3261657655239105,0.032284609973430634
2,4096,0.017180628686522443,448.9969317118327,-2.612860083580017,0.051178477704524994
3,6144,0.03674727724865079,167.43657064437866,-2.8943364173173904,0.04273032024502754
4,8192,0.011202322086319327,85.40988230705261,-3.179312586784363,0.04076668620109558
5,10240,0.026837739162147045,88.77961349487305,-3.462737798690796,0.03319549560546875
6,12288,0.04094817419536412,86.56114387512207,-3.7472785115242004,0.056539274752140045
7,14336,-0.005467680981382728,17.812658393383025,-4.033966803550721,0.04768488556146622
8,16384,0.02854591456707567,7.8921045660972595,-4.317142218351364,0.07806680351495743
9,18432,0.01108598685823381,7.71824637055397,-4.600327730178833,0.05177007615566254
10,20480,0.02579654147848487,3.6542352959513664,-4.884831428527832,0.04922712594270706
11,22528,-0.01433069771155715,2.7551904171705246,-5.169712245464325,0.05487535893917084
12,24576,0.016062675742432475,0.8936674669384956,-5.454133749008179,0.05260786414146423
13,26624,-0.009123102994635701,1.5141375958919525,-5.738044202327728,0.0271756574511528
14,28672,0.01453667995519936,0.2120599588379264,-6.022211849689484,0.08738206326961517
15,28800,-0.43447117507457733,0.03744988385587931,-6.306409311294556,-0.022578587755560875
