candidate_id,worst_seed_risk,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh,maximum_seed_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,robust_feasible
0,0.0,0.0,0.0,0.8606998024353754,0.8909248871819049,0.0069444444444444,0,0.9505000008587784,1.0329974577494183,0.9463523209260256,1.0329974577494183,0.7,0.7,0.0,grid,70.0,1
1,0.0,0.0,0.0,0.8780602899139325,0.9154895799272041,0.0034722222222222,0,0.950500002716998,1.033222049645209,0.947497775920995,1.033222049645209,0.7,0.7421052631578947,0.0,grid,72.10526315789474,1
2,0.0,0.0,0.0,0.8986480566768377,0.943845880869098,0.0023148148148148,0,0.9505000008467196,1.0334200461287364,0.948638219545991,1.0334200461287364,0.7,0.7842105263157895,0.0,grid,74.21052631578948,1
3,0.0,0.0,0.0,0.9224654552274546,0.9759392368942524,0.0023148148148148,0,0.9505005249344642,1.0336119520687426,0.9497794625470852,1.0336119520687426,0.7,0.8263157894736841,0.0,grid,76.3157894736842,1
4,0.0,0.0,0.0,0.9493899432789717,1.0116704765585032,0.0,0,0.9508078261584252,1.0337964413469491,0.9508078261584252,1.0337964413469491,0.7,0.8684210526315789,0.0,grid,78.42105263157895,1
5,0.0,0.0,0.0,0.9793822152206934,1.0509256140346097,0.0,0,0.9516982504047437,1.033972376263309,0.9516982504047437,1.033972376263309,0.7,0.9105263157894736,0.0,grid,80.52631578947368,1
6,0.0,0.0,0.0,1.012408313980733,1.0936035868410852,0.0,0,0.9525826737405846,1.034146379884508,0.9525826737405846,1.034146379884508,0.7,0.9526315789473684,0.0,grid,82.63157894736841,1
7,0.0,0.0,0.0,1.0484254221524414,1.1396460902735626,0.0,0,0.9534668344456084,1.0343225147629025,0.9534668344456084,1.0343225147629025,0.7,0.9947368421052631,0.0,grid,84.73684210526315,1
8,0.0,0.0,0.0,1.0873812411254176,1.188975556744598,0.0,0,0.9543401713806632,1.0344923507278594,0.9543401713806632,1.0344923507278594,0.7,1.0368421052631578,0.0,grid,86.84210526315789,1
9,0.0,0.0,0.0,1.1292492981480808,1.2415362362704547,0.0,0,0.9552115628539692,1.034701222227276,0.9552115628539692,1.034701222227276,0.7,1.0789473684210527,0.0,grid,88.94736842105263,1
