margin_pu,teacher_voltage_band,svc_absorption_ratio,fit_days,calibration_days,calibration_reference_label,calibration_reference_theta,all_seeds_zero_events,total_event_days,maximum_seed_event_days,mean_seed_loss_mwh,minimum_seed_voltage_pu,maximum_seed_voltage_pu,dataset_sha256,jobs_csv,calibration_days_csv,student_validation_days_csv,direct_fallback_allowed,teacher_dir,all_seeds_zero_pf_failures,total_pf_fail_days,passed_calibration_gate,calibration_reference_teacher_attempted_days,calibration_reference_teacher_converged_days,calibration_reference_teacher_coverage_fraction,adequate_calibration_teacher_support,selected
0.0,"[0.95, 1.05]",1.0,40,10,P04_pv045_svc0375,"0.45,0.375,0",True,0,0,1.4387778198229457,0.9500679333361608,1.0091923334349389,603b317ffaf660bed5c923b22c3c4c6ed0678731590dc3f40a5ca49b04e17287,.\runs\VMOD_PROTOCOL_MAIN_20260920\training_path_jobs.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\calibration_days.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\student_validation_days.csv,False,.\runs\VMOD_BIDIRECTIONAL_MARGIN_STUDY_20260920\margin_000\teacher,True,0,True,40,39,0.975,True,True
0.001,"[0.951, 1.0490000000000002]",1.0,40,10,P04_pv045_svc0375,"0.45,0.375,0",True,0,0,1.4395693605130788,0.9506153957876909,1.0092047883174604,5c5006410bf85b3dc61cc91dc03b05d4fa64d32e5730be7034eee586613e5b4a,.\runs\VMOD_PROTOCOL_MAIN_20260920\training_path_jobs.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\calibration_days.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\student_validation_days.csv,False,.\runs\VMOD_BIDIRECTIONAL_MARGIN_STUDY_20260920\margin_001\teacher,True,0,True,40,39,0.975,True,False
0.003,"[0.953, 1.0470000000000002]",1.0,40,10,P04_pv045_svc0375,"0.45,0.375,0",True,0,0,1.444762464211994,0.9518403267698924,1.009210196033493,daf5046c33f161774552845bf5fe95f8c32ae7ae21500c8ecfe03f9039d89c7d,.\runs\VMOD_PROTOCOL_MAIN_20260920\training_path_jobs.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\calibration_days.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\student_validation_days.csv,False,.\runs\VMOD_BIDIRECTIONAL_MARGIN_STUDY_20260920\margin_003\teacher,True,0,True,40,39,0.975,True,False
0.005,"[0.955, 1.0450000000000002]",1.0,40,10,P04_pv045_svc0375,"0.45,0.375,0",True,0,0,1.4592019218524632,0.9545355997173937,1.0091624039871085,9147ba7bd4c43ca05c9a24243c9a1feb349fc6ea256c75c9727cf15c74d24ab5,.\runs\VMOD_PROTOCOL_MAIN_20260920\training_path_jobs.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\calibration_days.csv,.\runs\VMOD_PROTOCOL_MAIN_20260920\student_validation_days.csv,False,.\runs\VMOD_BIDIRECTIONAL_MARGIN_STUDY_20260920\margin_005\teacher,True,0,True,40,39,0.975,True,False
