scenario_index,day_index,t0
0,0,0
1,9,864
2,41,3936
3,51,4896
4,71,6816
5,120,11520
6,149,14304
7,175,16800
8,201,19296
9,209,20064
10,216,20736
11,234,22464
12,268,25728
13,284,27264
14,291,27936
15,296,28416
16,350,33600
