update,total_step,policy_loss,value_loss,entropy,approx_kl
1,2048,0.11083196103572845,697.4616775512695,-2.32381609082222,0.1100868433713913
2,4096,-0.04636820871382952,465.29602813720703,-2.6092717051506042,0.0372576080262661
3,6144,0.008069355972111225,262.08286476135254,-2.8946649730205536,0.026597607880830765
4,8192,-0.027254443615674973,158.87749481201172,-3.1789773404598236,0.03154400363564491
5,10240,0.0035795094445347786,71.89555621147156,-3.4640211164951324,0.04037395864725113
6,12288,0.0282740939874202,48.44679415225983,-3.7479873448610306,0.06162786856293678
7,14336,-0.00586996553465724,22.408162593841553,-4.0319371819496155,0.03699776157736778
8,16384,0.05861627357080579,27.275956749916077,-4.316509366035461,0.0762186348438263
9,18432,0.05838411906734109,5.874613702297211,-4.6006869077682495,0.03544116020202637
10,20480,0.011041589081287384,1.8290345966815948,-4.8850743770599365,0.03516516089439392
11,22528,-0.02166186715476215,1.204209104180336,-5.169458746910095,0.0299688633531332
12,24576,9.606056846678257e-05,0.17600455461069942,-5.454083144664764,0.055058907717466354
13,26624,0.015480275265872478,0.3125740299001336,-5.73798131942749,0.02294819802045822
14,28672,0.04570857062935829,0.340737147256732,-6.022541522979736,0.26727294921875
15,28800,-0.14301560819149017,0.010775713250041008,-6.306586027145386,0.02825941890478134
