pair_id,metric,paired_days,mean_delta,median_delta,bootstrap_95_ci_low,bootstrap_95_ci_high,fraction_negative,fraction_positive,fraction_zero
0,daily_loss_mwh,299,-0.028743499171484364,-0.0322611482350894,-0.03011172867387042,-0.027303279974636187,1.0,0.0,0.0
0,mean_ext_grid_q_mvar,299,-0.2560675338486993,-0.2503060891050154,-0.2577811921656696,-0.2544266837326652,1.0,0.0,0.0
0,mean_branch_abs_q_flow_mvar,299,-0.9780105483893804,-1.0210608074348082,-1.0042410432499254,-0.9505768310289225,1.0,0.0,0.0
0,mean_line_current_squared_ka2,299,-0.0011292681037368137,-0.0012374545019678,-0.001177186788980239,-0.0010799471550869716,1.0,0.0,0.0
0,mean_pv_absorption_mvar,299,0.0017072333639882654,0.0006896204670757,0.0014860089090685444,0.0019267313362385174,0.15719063545150502,0.842809364548495,0.0
0,mean_svc_q_mvar,299,0.029140710252375527,0.0286861887822548,0.02818699709626186,0.030088686509267566,0.0,1.0,0.0
0,worst_vmin,299,0.0017958831959315488,0.0017069744053099,0.0017123871506056795,0.0018804022760996377,0.0,1.0,0.0
0,worst_vmax,299,0.0011786404714093175,0.0016004940661236,0.0010887183192606206,0.0012671902435181757,0.0,0.725752508361204,0.27424749163879597
1,daily_loss_mwh,299,-0.01979932388773892,-0.0267990946431118,-0.021350074513815397,-0.018157813931033513,0.8260869565217391,0.17391304347826086,0.0
1,mean_ext_grid_q_mvar,299,-0.23859026050500953,-0.2376402393062567,-0.23955139347660157,-0.23767216542276182,1.0,0.0,0.0
1,mean_branch_abs_q_flow_mvar,299,-0.6989712152468802,-0.8273708656417451,-0.7326350921313832,-0.6639618750963019,0.9565217391304348,0.043478260869565216,0.0
1,mean_line_current_squared_ka2,299,-0.0008363707391695296,-0.001048150947413,-0.0008879517119906227,-0.0007819028080687378,0.882943143812709,0.11705685618729098,0.0
1,mean_pv_absorption_mvar,299,-0.003121858730650942,-0.0027306066160652,-0.003293724498058461,-0.0029498097276081333,0.9866220735785953,0.013377926421404682,0.0
1,mean_svc_q_mvar,299,-0.0003420833296816229,-0.0011709068591396,-0.0007575997422940246,9.206744583704363e-05,0.6153846153846154,0.38461538461538464,0.0
1,worst_vmin,299,0.0010615876063214892,0.0010004690800436,0.0010342799583087075,0.0010894501620620537,0.0,1.0,0.0
1,worst_vmax,299,0.0011882511930689818,0.0015696156106799,0.0010971227214174799,0.001281184765158374,0.0,0.7290969899665551,0.2709030100334448
