pair_id,candidate_id,scenario_index,pv_s_scale,svc_q_scale,cap_total_mvar,pf_fail,completed_steps,daily_loss_mwh,mean_ext_grid_q_mvar,mean_branch_abs_q_flow_mvar,mean_line_current_squared_ka2,mean_pv_absorption_mvar,mean_svc_q_mvar,worst_vmin,worst_vmax
0,100,0,0.45,0.375,0.0,0,96,2.4058983015223414,0.42545274633810565,8.92091305725714,0.07703617922352156,0.06323522451769413,0.5726782061780492,0.9529701328846759,1.0
0,100,1,0.45,0.375,0.0,0,96,2.4685242279404447,0.41420461118795754,9.058216499203109,0.07893325314386183,0.06456029083474453,0.5946601551646987,0.9532605519063477,1.0
0,100,2,0.45,0.375,0.0,0,96,2.298870169582858,0.4335990425184555,8.676920659376966,0.07393023184869352,0.06099150559763844,0.5797760936742028,0.9535092807990897,1.0
0,100,3,0.45,0.375,0.0,0,96,1.9557221054907568,0.4687721444917677,7.816100029185518,0.06379728584299886,0.0520511937413445,0.549873884456853,0.9558100056244162,1.0
0,100,4,0.45,0.375,0.0,0,96,1.8003390707483997,0.4993929646145305,7.400300772939883,0.05937409942558405,0.05289862863602205,0.4865517917399605,0.9571691733918789,1.0
0,100,5,0.45,0.375,0.0,0,96,1.4637916401613655,0.5527397082833193,6.4753883370224585,0.04914260383148696,0.044216364825597494,0.41649061410377425,0.9598603899082491,1.0
0,100,6,0.45,0.375,0.0,0,96,2.5829342554442913,0.40807818378358746,9.329491134330853,0.08218064357944753,0.06512650757065931,0.59310266127189,0.9528953413237092,1.0
0,100,7,0.45,0.375,0.0,0,96,2.8682767895853054,0.35315838284842044,10.007364890036124,0.09055010293315209,0.06374192807197339,0.637242315026621,0.9510273759587304,1.0
0,100,8,0.45,0.375,0.0,0,96,2.617127968668041,0.3895121339282455,9.42536744022196,0.08324313156235767,0.06449024214860968,0.6263847329343358,0.952582900032076,1.0
0,100,9,0.45,0.375,0.0,0,96,2.646699967019647,0.3873543612000585,9.484536427992984,0.08412742011820196,0.06541557528501651,0.6256018308922648,0.9528726896056384,1.0
0,100,10,0.45,0.375,0.0,0,96,1.7272887108590758,0.5060491306923905,7.194555990500356,0.057197784282462534,0.04958227340630721,0.48987039799491566,0.9579296010029104,1.0
0,100,11,0.45,0.375,0.0,0,96,1.4634676495031997,0.5489665418487973,6.49178298180351,0.04907392384542106,0.041972015514064896,0.4318576905255516,0.9592697672773425,1.0
0,100,12,0.45,0.375,0.0,0,96,2.678825958554472,0.3774693652483914,9.60099139056418,0.08502574642631837,0.06445527421269186,0.6432166087130705,0.9517835166699531,1.0
0,100,13,0.45,0.375,0.0,0,96,2.6968655417060337,0.37660093157983504,9.653127078603061,0.08557333103474167,0.06525720148563356,0.6459131871039668,0.9520606760789406,1.0
0,100,14,0.45,0.375,0.0,0,96,2.583251588529419,0.3910672612811054,9.411561399668598,0.0821520758590444,0.06010833723555162,0.6473812041804194,0.9521060414460593,1.0
0,100,15,0.45,0.375,0.0,0,96,2.4228860461984993,0.4127869954452157,9.003036245165987,0.07747634944229782,0.05922741826861196,0.628290880471468,0.9529588206865023,1.0
0,100,16,0.45,0.375,0.0,0,96,1.6246631192014225,0.5160237675097731,6.9422007767317595,0.05377695854037833,0.041031496431966775,0.5033349379276236,0.9576611418706494,1.0005194997525446
0,100,17,0.45,0.375,0.0,0,96,1.401254655904339,0.5496442756516359,6.4440557275191965,0.04667489433770905,0.036235837491068866,0.44198376933733624,0.9589696326818787,1.0017572534453432
0,100,18,0.45,0.375,0.0,0,96,2.6123513733023835,0.40047440171988136,9.459734395946798,0.0830313244028091,0.06030402272609454,0.632777507416904,0.951938877572834,1.0
0,100,19,0.45,0.375,0.0,0,96,2.8559785452147706,0.3589511653615289,9.993722431419512,0.09026491271652824,0.06680210460980555,0.6472138545165459,0.9514763360093158,1.0
0,100,20,0.45,0.375,0.0,0,96,2.766085681137982,0.3721124849093031,9.807069941921988,0.08762664322232072,0.06636488792420649,0.646056005731225,0.9517356251815359,1.0
0,100,21,0.45,0.375,0.0,0,96,2.4685679762420882,0.41278712920769384,9.131218185144979,0.0785772784001798,0.053688592178340155,0.6460171053186059,0.9516851631188739,1.000799771654686
0,100,22,0.45,0.375,0.0,0,96,2.3184268790012688,0.4360037298467508,8.761094953224807,0.07400523364697752,0.05197956683711318,0.6366452552999059,0.9527917731206264,1.0025196506547753
0,100,23,0.45,0.375,0.0,0,96,1.5695013713066541,0.5189296321838318,6.830791241933571,0.05166675116438402,0.038665145740021965,0.506827613649269,0.957723464461819,1.0035885078723719
0,100,24,0.45,0.375,0.0,0,96,1.3504861929957748,0.5575950226921685,6.307196176040523,0.04504967584062016,0.03392540284868826,0.43953712067256373,0.9594044267056445,1.00186584483403
