pair_id,scenario_index,delta_daily_loss_mwh,delta_mean_ext_grid_q_mvar,delta_mean_branch_abs_q_flow_mvar,delta_mean_line_current_squared_ka2,delta_mean_pv_absorption_mvar,delta_mean_svc_q_mvar,delta_worst_vmin,delta_worst_vmax
0,0,-0.008141993670871095,-0.2595372325644189,-0.6298152805776986,-0.00046174905134721556,0.005006323171998894,0.046291499709089634,0.0014345881457982212,0.0
0,1,-0.004690180029405688,-0.25105710248632285,-0.5789055516380461,-0.00034141039504598236,0.00498681104724602,0.04227532943089807,0.0019416491364602217,0.0
0,2,-0.009536098447477492,-0.25154300125207474,-0.6906217916331139,-0.0004914339480880936,0.0051755957109789336,0.0410286601011951,0.0021141830610688084,0.0
0,3,-0.022504461262727204,-0.2350147348723756,-0.9467207468701062,-0.000802109054540534,0.0033635003936460517,0.03434744446227955,0.001988684447589595,0.00012146542154112261
0,4,-0.027735756348512552,-0.2565624495121973,-1.125842364836135,-0.0010178738239331117,0.0018195731660631265,0.046888644186158956,0.0019029231698498572,0.0
0,5,-0.03444373023936764,-0.2681865618166324,-1.238635071348897,-0.0013046085984834699,-2.8251458773081994e-05,0.046513847385843576,0.0017245205818091636,0.0
0,6,-0.002528360477427327,-0.2656664686410511,-0.4983923623242976,-0.00031915731989592966,0.003878170114395854,0.04362483167399955,0.0010880587537255293,0.0
0,7,-0.004900959102665858,-0.23859211623298737,-0.4079160354010263,-0.0002797335525702993,0.004866849374830104,0.02222530233363318,0.0009752579327255706,0.0
0,8,-0.004662326473146905,-0.24061718061198759,-0.5026399832834052,-0.0003027246892137736,0.004586711055610149,0.030042435973882675,0.0010325586993829017,0.0
0,9,-0.005320667393893697,-0.24024647596523044,-0.49731819030457913,-0.00031420661126846383,0.004563643775324838,0.02911163680255413,0.0011932823544411608,0.0
0,10,-0.027725457222913086,-0.2510623738807564,-1.1157058500945398,-0.0010226385152477951,0.0018026864211062935,0.042444183801611246,0.0018403595185317867,0.0
0,11,-0.03349588645456558,-0.2627567601858664,-1.1948820228281631,-0.0012696783485807092,0.00043665296439154844,0.041762885948022244,0.0017171010603137526,0.0
0,12,-0.004550936222907254,-0.23490946407306237,-0.4770821053907426,-0.0002778302712964642,0.004914900945540798,0.025921526675423023,0.0009866464237616723,0.0
0,13,-0.005221712857307992,-0.23341969887879474,-0.4828767108997365,-0.0002871735599312142,0.004833756331235409,0.025004149104158158,0.0009874048638981447,0.0
0,14,-0.007669036297431209,-0.23123311161159363,-0.5566247242177944,-0.0003623787873967693,0.005072543887200465,0.023688700670997265,0.000982105206740913,0.0
0,15,-0.00881337851728059,-0.23473365800056692,-0.634612311438401,-0.00040972598059881016,0.004602798799115175,0.029135082848370075,0.0015554101684904786,0.0
0,16,-0.02658551110089391,-0.24736625758139402,-1.0513793995024727,-0.001019379229755056,0.0013943321143383078,0.034688194282352924,0.0017569549119856864,0.0016246630558227615
0,17,-0.03355613658259138,-0.2675405560330724,-1.1700634486384454,-0.0012915933077180738,-9.619699835042295e-05,0.0406886010120312,0.0016805620288884437,0.0016665623226033155
0,18,-0.006988025722955538,-0.24040404384985484,-0.5178107897725432,-0.0003960276263867135,0.005582431971408931,0.02517226617783308,0.000984221997497703,0.0
0,19,-0.0035759859694701746,-0.23842773382968774,-0.41157896285341344,-0.0002398616387140895,0.004079166185828292,0.02227005362510681,0.0009709852822415987,0.0
0,20,-0.005616163875659996,-0.23365032042551212,-0.46676905888821096,-0.00028845098465170305,0.004554840396945689,0.024307387570540073,0.0009905078923719834,0.0
