candidate_id,scenario_index,mismatch_id,step,nominal_projected_vmin,nominal_projected_vmax,actual_vmin,actual_vmax,actual_margin_pu,intervened,projection_success,error
100,0,0,0,0.9645281449777182,1.0,0.9596494200325546,1.0,0.009649420032554645,0,1,
100,0,0,1,0.9660464258425081,1.0,0.9615941008104129,1.0,0.0115941008104129,0,1,
100,0,0,2,0.9655366561821382,1.0,0.9610907088258714,1.0,0.011090708825871487,0,1,
100,0,0,3,0.9652157097279511,1.0,0.9607830647898049,1.0,0.010783064789804953,0,1,
100,0,0,4,0.964977047317236,1.0,0.9605570809009871,1.0,0.01055708090098717,0,1,
100,0,0,5,0.9649140242625815,1.0,0.960520937192126,1.0,0.01052093719212599,0,1,
100,0,0,6,0.9650343639871316,1.0,0.9606943434371629,1.0,0.010694343437162912,0,1,
100,0,0,7,0.9650960864914645,1.0,0.9608041539339803,1.0,0.010804153933980376,0,1,
100,0,0,8,0.9651565836687769,1.0,0.9609063329794156,1.0,0.010906332979415678,0,1,
100,0,0,9,0.9652251296169236,1.0,0.9610121537989151,1.0,0.01101215379891518,0,1,
100,0,0,10,0.9652351066641633,1.0,0.9610436478412753,1.0,0.011043647841275317,0,1,
100,0,0,11,0.9652454055087284,1.0,0.9610666091806309,1.0,0.01106660918063096,0,1,
100,0,0,12,0.965263645121315,1.0,0.961093850703576,1.0,0.011093850703576047,0,1,
100,0,0,13,0.9654265324135526,1.0,0.9612924297394472,1.0,0.011292429739447218,0,1,
100,0,0,14,0.9655504118369429,1.0,0.9614545111414603,1.0,0.011454511141460344,0,1,
100,0,0,15,0.9655915779775304,1.0,0.9615199700561372,1.0,0.011519970056137252,0,1,
100,0,0,16,0.9656712012762336,1.0,0.9616292425792108,1.0,0.01162924257921083,0,1,
100,0,0,17,0.9657985270534262,1.0,0.9617996095584079,1.0,0.011799609558407975,0,1,
100,0,0,18,0.9659173570779804,1.0,0.9619685948954424,1.0,0.011968594895442441,0,1,
100,0,0,19,0.9659269539432467,1.0,0.9620062615352047,1.0,0.012006261535204787,0,1,
100,0,0,20,0.9662538170062134,1.0,0.9624239871999872,1.0,0.012423987199987274,0,1,
100,0,0,21,0.9661500255360087,1.0,0.9623414604749904,1.0,0.012341460474990407,0,1,
100,0,0,22,0.9661267266257562,1.0,0.9623239743624512,1.0,0.012323974362451251,0,1,
100,0,0,23,0.966122684820038,1.0,0.9623208427096258,1.0,0.012320842709625857,0,1,
100,0,0,24,0.9660346771509083,1.0,0.9622099662269894,1.0,0.012209966226989444,0,1,
100,0,0,25,0.9660972942048831,1.0,0.962276151523808,1.0,0.01227615152380801,0,1,
100,0,0,26,0.9659966598425391,1.0,0.9621528267533109,1.0,0.012152826753310975,0,1,
100,0,0,27,0.9659037057906592,1.0,0.962011083744629,1.0,0.012011083744629003,0,1,
100,0,0,28,0.965951507237366,1.0,0.9620625064063781,1.0,0.012062506406378182,0,1,
100,0,0,29,0.9660909041140561,1.0,0.9622570749953884,1.0,0.012257074995388417,0,1,
100,0,0,30,0.9663236183022733,1.0,0.9626199234738617,1.0,0.01261992347386176,0,1,
100,0,0,31,0.9668225998919555,1.0,0.9633751872701424,1.0,0.013375187270142419,0,1,
100,0,0,32,0.967321791927163,1.0,0.9641899413346774,1.0,0.014189941334677436,0,1,
100,0,0,33,0.9679410638232157,1.0,0.9651717131202877,1.0,0.015171713120287755,0,1,
100,0,0,34,0.9686921615910522,1.0,0.9663086461315992,1.0,0.016308646131599214,0,1,
100,0,0,35,0.9692772545554698,1.0,0.9677994501227847,1.0,0.01779945012278472,0,1,
100,0,0,36,0.9693438721583278,1.0,0.9684738905130772,1.0,0.01847389051307724,0,1,
100,0,0,37,0.9693614317371838,1.0,0.9688040582448609,1.0,0.018804058244860977,0,1,
100,0,0,38,0.9697086103038715,1.0,0.9694430439535445,1.0,0.01944304395354457,0,1,
100,0,0,39,0.970014699304408,1.0,0.9700919209469914,1.0,0.020091920946991415,0,1,
100,0,0,40,0.9700299761118902,1.0,0.9703503335792543,1.0,0.02035033357925431,0,1,
100,0,0,41,0.9701514829640195,1.0000613069639663,0.9706754948410985,1.0,0.02067549484109854,0,1,
100,0,0,42,0.9701886605295492,1.0003526636628242,0.9709146006805603,1.0,0.02091460068056039,0,1,
100,0,0,43,0.9704973011852542,1.0006562668186711,0.9714275980826479,1.0,0.021427598082647936,0,1,
100,0,0,44,0.9706322039741122,1.000908197955905,0.9717327994063978,1.0,0.02173279940639783,0,1,
100,0,0,45,0.9706794494314732,1.0009843280116908,0.9718315790103478,1.0,0.021831579010347824,0,1,
100,0,0,46,0.9753481889672518,1.0018618097637941,0.9769940226416534,1.0,0.026994022641653403,0,1,
100,0,0,47,0.9746591166204569,1.0018130462863168,0.9762749779248886,1.0,0.026274977924888643,0,1,
100,0,0,48,0.9741811205310081,1.0015956497821414,0.9756541589344933,1.0,0.0256541589344933,0,1,
100,0,0,49,0.9740813002915018,1.0014313688184862,0.9754448108677594,1.0,0.025444810867759404,0,1,
100,0,0,50,0.9735253241866183,1.0010210700635649,0.9746234298076486,1.0,0.024623429807648645,0,1,
100,0,0,51,0.9733010344189795,1.0006193297722086,0.9741323733796267,1.0,0.024132373379626704,0,1,
100,0,0,52,0.9725657332216475,1.0000516825763952,0.9730268534308333,1.0,0.023026853430833327,0,1,
100,0,0,53,0.9719002699397042,1.0,0.9719278404032179,1.0,0.021927840403217935,0,1,
100,0,0,54,0.9713692118399615,1.0,0.9709382284044582,1.0,0.020938228404458248,0,1,
100,0,0,55,0.9709129544752267,1.0,0.9700848391691678,1.0,0.020084839169167812,0,1,
100,0,0,56,0.9696706693996128,1.0,0.9676582895647537,1.0,0.017658289564753793,0,1,
100,0,0,57,0.9683086621275123,1.0,0.965644913018152,1.0,0.015644913018152073,0,1,
100,0,0,58,0.9670110271891812,1.0,0.963751222577502,1.0,0.013751222577502054,0,1,
100,0,0,59,0.9660805496635576,1.0,0.962344256088012,1.0,0.01234425608801204,0,1,
100,0,0,60,0.9651436252278582,1.0,0.9610134372270066,1.0,0.01101343722700665,0,1,
100,0,0,61,0.9647587440182397,1.0,0.9604049906489391,1.0,0.010404990648939183,0,1,
100,0,0,62,0.964261039978805,1.0,0.9597501714810798,1.0,0.009750171481079817,0,1,
100,0,0,63,0.9639268311602243,1.0,0.9592644586207043,1.0,0.009264458620704352,0,1,
100,0,0,64,0.9636895768365188,1.0,0.958868671139416,1.0,0.008868671139416029,0,1,
100,0,0,65,0.9637112959403886,1.0,0.9587914526924685,1.0,0.008791452692468504,0,1,
100,0,0,66,0.9638665761747383,1.0,0.9589060769092734,1.0,0.008906076909273475,0,1,
100,0,0,67,0.9639574674640882,1.0,0.95897897341537,1.0,0.008978973415370017,0,1,
