candidate_id,scenario_index,mismatch_id,mismatch_seed,pv_s_scale,svc_q_scale,cap_total_mvar,r_std,x_std,load_std,pv_std,topology_reconfiguration,mean_r_multiplier,mean_x_multiplier,load_multiplier,pv_multiplier,risk,under_steps,over_steps,pf_fail,projection_failures,intervention_rate,daily_loss_mwh,actual_vmin,actual_vmax
100,0,0,2026091801,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.9141512846137405,0.9628913065864715,1.0018717079297328
100,1,0,2026092810,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,2.69094632748527,0.9522938045562827,1.0
100,2,0,2026093819,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,1.5395485884976199,0.9578714018850213,1.001269181928309
100,3,0,2026094828,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,2.3556704080983626,0.9536753361713657,1.0
100,4,0,2026095837,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,1.6444146423789354,0.9551243473939184,1.0089744039999085
100,5,0,2026096846,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.8665812705027134,0.962892428986256,1.0065044831821368
100,6,0,2026097855,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,1.3913365568322298,0.9605143278752843,1.00701732489779
100,7,0,2026098864,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.8406838262788066,0.9627404553598641,1.0051412773375994
100,8,0,2026099873,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,1.263806078259599,0.96134652222889,1.01147777615171
100,9,0,2026100882,0.45,0.375,0.0,0.0,0.0,0.0,0.0,none,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.889000892464532,0.963271429791688,1.0098675072912362
