seed,day,event,under_event,over_event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,mean_absolute_normalized_action,rms_normalized_action,normalized_action_saturation_fraction,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
42,49,1,1,0,9,0,0,0.9469499565245852,1.0023871234896122,1.29567492741638,0.04147585319976012,0.059002865220868304,0.0,30.04397846390741,1.0695515091914727
42,92,1,1,0,26,0,0,0.9440839056188672,1.0050650557148282,1.5602991725899555,0.049863264259571834,0.07185433313094373,0.0,36.281742576204046,1.301007654821522
42,138,1,1,0,23,0,0,0.9467656686900046,1.003653329142143,1.521415076687118,0.047660524925837916,0.06844252651591452,0.0,34.60482277467502,1.1666945413150767
42,173,1,1,0,18,0,0,0.9462407315677,1.0120836078814373,1.491437897205016,0.04694788505633672,0.06732936673978171,0.0,34.065537992035686,1.0689193009816762
42,219,1,1,0,13,0,0,0.9470656143864399,1.006825919763757,1.4108847854635589,0.045691550336778165,0.06579047641783983,0.0,33.156735773604964,1.1423454004688458
42,251,0,0,0,0,0,0,0.9528957813462458,1.0018601548903199,1.137878718021259,0.037572522073363264,0.05325263925774104,0.0,27.138090420685952,0.8306901349216583
42,282,1,1,0,58,0,0,0.9405647954384304,1.0009366382711904,2.2340734248472254,0.06962946159765124,0.10090298892859059,0.0,51.32137978666891,1.8080450014142722
42,299,1,1,0,47,0,0,0.9387114690524146,1.0017899244728445,2.0433550372351768,0.06311378876368205,0.09138860506522632,0.0,46.33338937188933,1.6054111303721075
42,319,1,1,0,59,0,0,0.9386740742590434,1.0000589321994313,2.7809408456179034,0.08397183516062796,0.12362245622845806,0.0,62.10112445110055,2.012461126437796
42,365,0,0,0,0,0,0,0.951398034524428,1.0013296890121162,1.0775475132852788,0.0361947524206092,0.05113435608081783,0.0,26.114284241433168,0.8657179178918194
43,49,1,1,0,12,0,0,0.9460821643708758,1.0019703034889396,1.296615185615628,0.036527590034529565,0.05314375188000299,0.0,26.60484788395276,0.9318918563469586
43,92,1,1,0,32,0,0,0.9431069803326373,1.0052610694652324,1.5486145390073556,0.043044028741617994,0.06320100568690958,0.0,31.288052118334086,1.0665224204593713
