seed,day,event,under_event,over_event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,mean_absolute_normalized_action,rms_normalized_action,normalized_action_saturation_fraction,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
42,4,0,0,0,0,0,0,0.9534104461008804,1.0002453923731565,1.3504648727814579,0.08413754729554057,0.1038989627946769,0.0,25.31373891327847,0.4547339615994836
42,38,0,0,0,0,0,0,0.9500586917904243,1.0136746630624465,3.185918456303585,0.1564397318288684,0.1852914362934394,0.0,54.58116911867582,1.3416408398118889
42,77,1,1,0,6,0,0,0.9476154318695426,1.0129749805669224,2.8485053006716106,0.15025954336548844,0.17727059317821722,0.0,51.66926365513354,1.3416408398118889
42,85,0,0,0,0,0,0,0.9527339938633604,1.009025935097637,2.788665793851391,0.14262909085179368,0.16618275282491862,0.0,50.18280260725628,1.2976520293041605
42,105,0,0,0,0,0,0,0.9529872772793954,1.014991403902383,1.4482202647993656,0.09206106327474117,0.10961176599470435,0.0,28.586849672324227,0.5456365116109346
42,133,0,0,0,0,0,0,0.9529934078522022,1.0088843662265154,1.5185254573445086,0.09493900796708961,0.11229455710414112,0.0,29.7798585190713,0.672989994899287
42,137,0,0,0,0,0,0,0.9630698461103104,1.0156822977972033,0.9606101703995361,0.08020778054681917,0.09987251132922087,0.0,23.87196000451065,0.3803897078003408
42,147,0,0,0,0,0,0,0.9529630101506457,1.0112766111297589,1.5703668904602563,0.09748641673165064,0.11453724253283942,0.0,30.83526945452361,0.7323938801856607
42,159,0,0,0,0,0,0,0.961992560629607,1.0127021861061738,0.8764266488864563,0.07759352237917483,0.09799174951569614,0.0,22.84861453811396,0.3666386604309082
42,220,0,0,0,0,0,0,0.9529853117142084,1.006857233573857,1.3847076487525765,0.09017691249027848,0.10823648207169147,0.0,27.83281327006091,0.5928632055270625
42,236,0,0,0,0,0,0,0.9637293595817654,1.0179304826909612,0.8290219663673036,0.07499171552869181,0.09565316035057332,0.0,21.888160729599228,0.3644838035106659
42,241,0,0,0,0,0,0,0.9529895365500864,1.0036295925052046,1.4536713874451443,0.0901296444547673,0.1083590288470841,0.0,27.819011834669833,0.569812264240339
42,245,0,0,0,0,0,0,0.9529874599939672,1.0068409911525404,1.5607952156748086,0.09549356407175462,0.11309462065061061,0.0,30.03504231613664,0.6963826335536434
42,257,0,0,0,0,0,0,0.9605616707512679,1.020123318837982,0.8800941634837044,0.07579833455383778,0.09649201859274613,0.0,22.1735130795024,0.3661593794822693
42,282,0,0,0,0,0,0,0.9528371937731691,1.007886735171713,1.9200045797321945,0.1098889244409899,0.13056800179908232,0.0,36.17382137815162,1.2336408267108154
42,295,0,0,0,0,0,0,0.9509941444215992,1.0137081136236445,3.016635956438191,0.14921069191768765,0.1769740466886576,0.0,52.47646791735073,1.3416408398118889
42,299,0,0,0,0,0,0,0.9546579587435798,1.0,1.2299021157899217,0.08105350215919316,0.10105234738187908,0.0,24.200380762582334,0.41852797293451444
43,4,0,0,0,0,0,0,0.9534222542141803,1.000238149949792,1.3503395853229998,0.08429876986580591,0.10412754164432955,0.0,25.356202562027025,0.4542696472688691
