candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar,evaluated_days,event_days,pf_fail_days,projection_failure_steps,mean_daily_loss_mwh,max_daily_loss_mwh,mean_intervention_rate,max_intervention_rate,worst_vmin,worst_vmax,risk_hat,risk_upper_95,selection_eligible,pareto
0,0.225,0.0,0.0,3.0186917696247164,0.0,17,12,0,547,2.453845727012519,3.707918248439265,0.3535539215686274,0.7604166666666666,0.9312276950897322,1.021524674690885,0.7058823529411765,0.876229085230453,False,False
1,0.225,0.0,0.25,3.0186917696247164,0.0,17,10,0,461,2.5182071173969507,3.738106643420268,0.30943627450980393,0.7395833333333334,0.9323164107997426,1.0217331935960747,0.5882352941176471,0.7880918451804343,False,False
2,0.225,0.0,0.5,3.0186917696247164,0.0,17,10,0,414,2.6606275080503003,3.8096648296118567,0.2647058823529412,0.71875,0.9334020444273884,1.0248866044018652,0.5882352941176471,0.7880918451804343,False,False
3,0.225,0.0,0.75,3.0186917696247164,0.0,17,10,0,362,2.8210344744233993,3.903428481765927,0.22916666666666666,0.6979166666666666,0.93448483422716,1.0321310049164003,0.5882352941176471,0.7880918451804343,False,False
4,0.225,0.0,1.0,3.0186917696247164,0.0,17,8,0,318,3.001242793269953,4.03682543910774,0.20159313725490194,0.6875,0.9355658934949848,1.0383439506055248,0.47058823529411764,0.6891704305217596,False,False
5,0.225,0.1875,0.0,3.0186917696247164,0.375,17,8,0,183,2.186621511551121,3.4527292237153824,0.37806372549019607,0.75,0.9439768412750338,1.0199005563043109,0.47058823529411764,0.6891704305217596,False,False
6,0.225,0.1875,0.25,3.0186917696247164,0.375,17,6,0,127,2.2432586085733752,3.5171826931370824,0.33088235294117646,0.7291666666666666,0.9450449422639856,1.02122692386432,0.35294117647058826,0.5802946483738274,False,False
7,0.225,0.1875,0.5,3.0186917696247164,0.375,17,2,0,72,2.358254312788432,3.615802081441676,0.2824754901960784,0.71875,0.946109753024991,1.0220098395051127,0.11764705882352941,0.3261930630834782,False,False
8,0.225,0.1875,0.75,3.0186917696247164,0.375,17,1,0,38,2.585186906096094,3.7484295848332847,0.23529411764705882,0.6979166666666666,0.947171809861281,1.0227997219051186,0.058823529411764705,0.25012445186647625,False,False
9,0.225,0.1875,1.0,3.0186917696247164,0.375,17,1,0,14,2.8706581758579737,3.919596530285371,0.2028186274509804,0.6875,0.9482313638280148,1.030749773249551,0.058823529411764705,0.25012445186647625,False,False
10,0.225,0.375,0.0,3.0186917696247164,0.75,17,7,0,185,2.061604280496734,3.3090115533913305,0.42953431372549017,0.7916666666666666,0.9476099889073034,1.0195751698625062,0.4117647058823529,0.6359912267520502,False,False
11,0.225,0.375,0.25,3.0186917696247164,0.75,17,6,0,103,2.0681523567358746,3.347316727056853,0.38235294117647056,0.7604166666666666,0.9480867033228936,1.0206276824135665,0.35294117647058826,0.5802946483738274,False,False
12,0.225,0.375,0.5,3.0186917696247164,0.75,17,2,0,38,2.1050753873966546,3.4361386675467243,0.3382352941176471,0.71875,0.948857105909443,1.0220700274757402,0.11764705882352941,0.3261930630834782,False,False
13,0.225,0.375,0.75,3.0186917696247164,0.75,17,1,0,12,2.230438022395847,3.618318252967354,0.2751225490196078,0.6979166666666666,0.949592951609592,1.0200757115050965,0.058823529411764705,0.25012445186647625,False,False
14,0.225,0.375,1.0,3.0186917696247164,0.75,17,0,0,0,2.532277872359539,3.840560189372277,0.20772058823529413,0.6875,0.9504999999475476,1.0221691632107672,0.0,0.16156611126074005,True,True
15,0.225,0.5625,0.0,3.0186917696247164,1.125,17,0,0,0,1.4884788436033505,2.696415505505475,0.0,0.0,0.9538414640677662,1.0147234756505248,0.0,0.16156611126074005,True,True
16,0.225,0.5625,0.25,3.0186917696247164,1.125,17,0,0,0,1.4594066273084243,2.690337368060139,0.0,0.0,0.9550844381942056,1.0169398768562978,0.0,0.16156611126074005,True,True
17,0.225,0.5625,0.5,3.0186917696247164,1.125,17,0,0,0,1.4584332255233274,2.685423366091734,0.0,0.0,0.9559343217963872,1.0187766074901403,0.0,0.16156611126074005,True,True
18,0.225,0.5625,0.75,3.0186917696247164,1.125,17,0,0,0,1.4841377479283946,2.691654374582663,0.0,0.0,0.9560240357481116,1.0205285413733385,0.0,0.16156611126074005,True,False
19,0.225,0.5625,1.0,3.0186917696247164,1.125,17,0,0,1,1.5509860367797415,3.014928787056593,0.006127450980392153,0.1041666666666666,0.9502097472852076,1.0219209678535452,0.0,0.16156611126074005,False,False
20,0.225,0.75,0.0,3.0186917696247164,1.5,17,0,0,0,1.4840161705322759,2.6995535381428994,0.0,0.0,0.9544051907221636,1.0148037169912028,0.0,0.16156611126074005,True,True
21,0.225,0.75,0.25,3.0186917696247164,1.5,17,0,0,0,1.4586427391232883,2.6865291198661203,0.0,0.0,0.9553432481924008,1.0169691605945397,0.0,0.16156611126074005,True,True
22,0.225,0.75,0.5,3.0186917696247164,1.5,17,0,0,0,1.4575030410080956,2.6788238611793758,0.0,0.0,0.9560533644858094,1.0187843786873925,0.0,0.16156611126074005,True,True
23,0.225,0.75,0.75,3.0186917696247164,1.5,17,0,0,0,1.4845109697682108,2.688998583915753,0.0,0.0,0.9565365017234616,1.0205011196076936,0.0,0.16156611126074005,True,False
24,0.225,0.75,1.0,3.0186917696247164,1.5,17,0,0,0,1.5391592864879067,2.728731197413324,0.0,0.0,0.9565005326353476,1.02200528643965,0.0,0.16156611126074005,True,False
25,0.225,0.9375,0.0,3.0186917696247164,1.875,17,0,0,0,1.4829792824097223,2.692733616106447,0.0,0.0,0.9546709014989492,1.0148506802672592,0.0,0.16156611126074005,True,True
26,0.225,0.9375,0.25,3.0186917696247164,1.875,17,0,0,0,1.4582500169688444,2.6797925086061736,0.0,0.0,0.9555235928726468,1.0169480503663038,0.0,0.16156611126074005,True,True
27,0.225,0.9375,0.5,3.0186917696247164,1.875,17,0,0,0,1.4565754942177853,2.6710063582734995,0.0,0.0,0.9560474556656796,1.0187635926688805,0.0,0.16156611126074005,True,True
28,0.225,0.9375,0.75,3.0186917696247164,1.875,17,0,0,0,1.4826524480251877,2.677696795126,0.0,0.0,0.9564651251450202,1.020398236735755,0.0,0.16156611126074005,True,False
29,0.225,0.9375,1.0,3.0186917696247164,1.875,17,0,0,0,1.5399685706837187,2.7232408203267053,0.0,0.0,0.956831683679532,1.021881015383498,0.0,0.16156611126074005,True,False
30,0.225,1.125,0.0,3.0186917696247164,2.25,17,0,0,0,1.4818993702898835,2.6823734520369045,0.0,0.0,0.9548472809306254,1.0149438091896874,0.0,0.16156611126074005,True,True
31,0.225,1.125,0.25,3.0186917696247164,2.25,17,0,0,0,1.4576305523453186,2.6707069084970763,0.0,0.0,0.9556201850909174,1.0168853989759574,0.0,0.16156611126074005,True,True
32,0.225,1.125,0.5,3.0186917696247164,2.25,17,0,0,0,1.4556352130981667,2.661713544095612,0.0,0.0,0.9560471288273664,1.0186931863155155,0.0,0.16156611126074005,True,True
33,0.225,1.125,0.75,3.0186917696247164,2.25,17,0,0,0,1.4810813816561446,2.666368882447728,0.0,0.0,0.9563528518176724,1.0202794550004315,0.0,0.16156611126074005,True,False
34,0.225,1.125,1.0,3.0186917696247164,2.25,17,0,0,0,1.537677402469094,2.705304987416236,0.0,0.0,0.95658302227617,1.0217664644474282,0.0,0.16156611126074005,True,False
35,0.225,1.3125,0.0,3.0186917696247164,2.625,17,0,0,0,1.4804322734937452,2.670471050693817,0.0,0.0,0.9549251602229064,1.0150738861221016,0.0,0.16156611126074005,True,True
36,0.225,1.3125,0.25,3.0186917696247164,2.625,17,0,0,0,1.4566481916454648,2.6597697556655517,0.0,0.0,0.9556746213100358,1.01694902173559,0.0,0.16156611126074005,True,True
37,0.225,1.3125,0.5,3.0186917696247164,2.625,17,0,0,0,1.4546869784544165,2.652098968826384,0.0,0.0,0.9561085609659036,1.018549764288255,0.0,0.16156611126074005,True,True
