candidate_id,method_seed_rows,event_days,pf_fail_days,projection_failure_steps,mean_intervention_rate,maximum_intervention_rate,mean_daily_loss_mwh,minimum_method_seed_loss_mwh,maximum_method_seed_loss_mwh,passed
100,10,3,0,104,0.011151960784313724,0.11151960784313723,1.549528797373671,1.4315976454450143,2.2090233912188704,False
105,10,0,0,0,0.0,0.0,1.5166116949457566,1.430981054533969,1.8936851320183674,True
110,10,0,0,0,0.0,0.0,1.5127640591992002,1.4306644480131416,1.8627958020363458,True
160,10,0,0,0,0.0,0.0,1.508971580319739,1.4289601480864789,1.8362149029949428,True
210,10,0,0,0,0.0,0.0,1.5055655393820198,1.4267060094721853,1.8139916334864483,True
260,10,0,0,0,0.0,0.0,1.5024230025529002,1.424373348353333,1.7953989691899597,True
265,10,0,0,0,0.0,0.0,1.4999253735420999,1.422869734179512,1.7749408669312299,True
310,10,0,0,0,0.0,0.0,1.4993498311356408,1.4221229274065106,1.779185291942461,True
355,10,0,0,0,0.0,0.0,1.4988679297778196,1.4208316323377013,1.7831801058316348,True
400,10,0,0,0,0.0,0.0,1.4985513159239243,1.4192897976603787,1.7873334834319992,True
445,10,0,0,0,0.0,0.0,1.4983853812562768,1.417794561424133,1.7917150473057808,True
