candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar,evaluated_days,event_days_x,pf_fail_days_x,projection_failure_steps_x,mean_daily_loss_mwh_x,max_daily_loss_mwh,mean_intervention_rate_x,max_intervention_rate,worst_vmin,worst_vmax,risk_hat,risk_upper_95,selection_eligible,pareto,path_order,method_seed_rows,event_days_y,pf_fail_days_y,projection_failure_steps_y,mean_intervention_rate_y,maximum_intervention_rate,mean_daily_loss_mwh_y,minimum_method_seed_loss_mwh,maximum_method_seed_loss_mwh,passed
100,0.45,0.375,0.0,6.037383539249433,0.75,17,0,0,0,1.491213909898596,2.69094632748527,0.0,0.0,0.9522938045562828,1.0148985591811557,0.0,0.16156611126074,True,True,0,10,3,0,104,0.011151960784313724,0.11151960784313723,1.549528797373671,1.4315976454450143,2.2090233912188704,False
105,0.45,0.5625,0.0,6.037383539249433,1.125,17,0,0,0,1.484753111157771,2.698171272007821,0.0,0.0,0.9536555118339456,1.014931695045702,0.0,0.16156611126074,True,True,1,10,0,0,0,0.0,0.0,1.5166116949457566,1.430981054533969,1.8936851320183674,True
110,0.45,0.75,0.0,6.037383539249433,1.5,17,0,0,0,1.4837139009072238,2.698103807004119,0.0,0.0,0.954062904979884,1.0149848693506978,0.0,0.16156611126074,True,True,2,10,0,0,0,0.0,0.0,1.5127640591992002,1.4306644480131416,1.8627958020363458,True
160,0.6,0.9375,0.0,8.049844718999243,1.875,17,0,0,0,1.4829696755103123,2.695701938509155,0.0,0.0,0.9543209968607412,1.0152552205528855,0.0,0.16156611126074,True,True,3,10,0,0,0,0.0,0.0,1.508971580319739,1.4289601480864789,1.8362149029949428,True
210,0.75,1.125,0.0,10.062305898749054,2.25,17,0,0,0,1.481505702654223,2.690856236579589,0.0,0.0,0.9544639057766766,1.015447115290348,0.0,0.16156611126074,True,True,4,10,0,0,0,0.0,0.0,1.5055655393820198,1.4267060094721853,1.8139916334864483,True
260,0.9,1.3125,0.0,12.074767078498866,2.625,17,0,0,0,1.479461520167133,2.683010233852522,0.0,0.0,0.9545070752767214,1.0154730010918045,0.0,0.16156611126074,True,True,5,10,0,0,0,0.0,0.0,1.5024230025529002,1.424373348353333,1.7953989691899597,True
265,0.9,1.5,0.0,12.074767078498866,3.0,17,0,0,0,1.4778142405222483,2.6736300172383585,0.0,0.0,0.9544865762765548,1.0153802198807482,0.0,0.16156611126074,True,True,6,10,0,0,0,0.0,0.0,1.4999253735420999,1.422869734179512,1.7749408669312299,True
310,1.05,1.5,0.0,14.087228258248675,3.0,17,0,0,0,1.4770815754114992,2.674726542246868,0.0,0.0,0.954489152896854,1.0154809962896632,0.0,0.16156611126074,True,True,7,10,0,0,0,0.0,0.0,1.4993498311356408,1.4221229274065106,1.779185291942461,True
355,1.2,1.5,0.0,16.099689437998485,3.0,17,0,0,0,1.476586280773072,2.677591120756172,0.0,0.0,0.9544831239840906,1.0155612057205563,0.0,0.16156611126074,True,True,8,10,0,0,0,0.0,0.0,1.4988679297778196,1.4208316323377013,1.7831801058316348,True
400,1.35,1.5,0.0,18.1121506177483,3.0,17,0,0,0,1.4764681975843723,2.6821675822968523,0.0,0.0,0.9544000364390354,1.0155928325046917,0.0,0.16156611126074,True,True,9,10,0,0,0,0.0,0.0,1.4985513159239243,1.4192897976603787,1.7873334834319992,True
445,1.5,1.5,0.0,20.12461179749811,3.0,17,0,0,0,1.476792063342445,2.68858728565849,0.0,0.0,0.9542341118529524,1.0155618951560894,0.0,0.16156611126074,True,False,10,10,0,0,0,0.0,0.0,1.4983853812562768,1.417794561424133,1.7917150473057808,True
