action_scale,full_injection,deadband_low,deadband_high,full_absorption,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu
0.1,0.95,0.98,1.02,1.05,40,34,0,1.9905262295617874,0.9228727501875584,1.0204676724309198
0.1,0.94,0.98,1.02,1.06,40,34,0,2.0008158142101644,0.9226763730178412,1.0206287875199516
0.1,0.94,0.97,1.03,1.06,40,34,0,2.028082085883113,0.9224152768918464,1.021297380618913
0.25,0.94,0.97,1.03,1.06,40,38,0,2.2666870493860167,0.914836453626321,1.021297380618913
0.25,0.94,0.98,1.02,1.06,40,38,0,2.2804889852472408,0.9205060219672093,1.0201481173334173
0.25,0.95,0.98,1.02,1.05,40,38,0,2.345281820065284,0.9211213191494053,1.0201532245051534
0.5,0.94,0.97,1.03,1.06,40,38,0,2.36938067275522,0.914836453626321,1.021297380618913
0.5,0.94,0.98,1.02,1.06,40,38,0,2.376120250715444,0.9217282677894889,1.0207473568851453
0.75,0.94,0.97,1.03,1.06,40,38,0,2.3868444835676152,0.914836453626321,1.021297380618913
1.0,0.94,0.97,1.03,1.06,40,38,0,2.3920014547812563,0.914836453626321,1.021297380618913
0.5,0.95,0.98,1.02,1.05,40,39,0,2.4253584923220624,0.9197752140936181,1.0417727986071943
0.75,0.94,0.98,1.02,1.06,40,40,0,2.444728192673638,0.919400779920343,1.0417727986071943
1.0,0.94,0.98,1.02,1.06,40,40,0,2.455938800602538,0.9116058857190615,1.0417727986071943
0.75,0.95,0.98,1.02,1.05,40,40,0,2.455938800602538,0.9116058857190615,1.0417727986071943
1.0,0.95,0.98,1.02,1.05,40,40,0,2.4698374228841855,0.9111791930353699,1.0417727986071943
