update,total_step,policy_loss,value_loss,entropy,approx_kl
1,2048,0.014455915661528707,874.8303680419922,-2.324778378009796,0.043342236429452896
2,4096,0.0019218519640465577,416.4133160909017,-2.6111090779304504,0.031321022659540176
3,6144,-0.011955815250985324,171.8040738105774,-2.895335540175438,0.04588494822382927
4,8192,-0.012598116183653474,147.2373545964559,-3.1798514425754547,0.02569403126835823
5,10240,0.03869147028308362,48.296443939208984,-3.4634112119674683,0.03748948872089386
6,12288,0.0024502710439264774,89.57826042175293,-3.747547060251236,0.02321642078459263
7,14336,-0.029035144485533237,11.736149609088898,-4.031572222709656,0.040812842547893524
8,16384,0.04738129011821002,8.783238708972931,-4.317038714885712,0.07493617385625839
9,18432,0.026294067036360502,3.361857622861862,-4.600246846675873,0.03528885170817375
10,20480,-0.0055318346712738276,4.2607216984033585,-4.88479483127594,0.02609635703265667
11,22528,0.028529388131573796,3.681998483836651,-5.1692938804626465,0.05464936047792435
12,24576,0.03470260533504188,1.8457637950778008,-5.453752219676971,0.08783531934022903
13,26624,-0.016321182250976562,0.560252707451582,-5.7379854917526245,0.03417755663394928
14,28672,0.05276918364688754,0.09327976033091545,-6.0226709842681885,0.04220522567629814
15,28800,-0.3433914879957835,0.026712901890277863,-6.306725819905599,0.02551179751753807
