method,execution,candidate_id,training_seeds,zero_event_seeds,total_event_days,maximum_seed_risk_hat,maximum_seed_risk_upper_95,all_seeds_zero_events,all_seed_upper_bounds_below_one_percent,all_seeds_without_projection_failures,confirmed_empirical_one_percent,mean_daily_loss_across_seeds_mwh,loss_ci95_low_mwh,loss_ci95_high_mwh,mean_intervention_rate_across_seeds,projection_failure_steps,projection_activation_steps,steps_within_0_001_of_reporting_limit,worst_vmin,worst_vmax
concat,projected,100,5,3,7,0.020066889632107024,0.03922051340630801,False,False,False,False,1.5373452009184372,1.5283971387273096,1.5462932631095647,0.0030657748049052387,71,440,732,0.947227606425086,1.0345344584707827
concat,projected,101,5,4,5,0.016722408026755852,0.03483729698331087,False,False,False,False,1.5165301282665595,1.5076927134812186,1.5253675430519005,0.0018534002229654398,42,266,383,0.9474195673396236,1.0368458334370207
concat,raw,100,5,0,30,0.026755852842809364,0.0477575443005795,False,False,True,False,1.5332887572803133,1.523626528634919,1.5429509859257076,0.0,0,0,0,0.9481170966899194,1.0345344584707827
concat,raw,101,5,0,13,0.016722408026755852,0.03483729698331087,False,False,True,False,1.5138064567088614,1.5058492690590357,1.521763644358687,0.0,0,0,0,0.9345871022124992,1.0368458334370207
wg,projected,100,5,4,73,0.24414715719063546,0.28848457716986836,False,False,False,False,1.790365049049365,1.3369513891315115,2.2437787089672185,0.027926421404682267,2549,4008,4210,0.9486159814417896,1.049506913272558
wg,projected,101,5,4,71,0.23745819397993312,0.2814636093170743,False,False,False,False,1.7811557212896183,1.3170858281117037,2.245225614467533,0.025801282051282053,2093,3703,3891,0.9488610499453586,1.049500468750353
wg,raw,100,5,1,116,0.36789297658862874,0.4162728887823063,False,False,True,False,1.7502641682036912,1.4077644449649604,2.0927638914424223,0.0,0,0,0,0.934759124691637,1.040287839320862
wg,raw,101,5,4,116,0.3879598662207358,0.43666749393437027,False,False,True,False,1.7413812272871372,1.386903076168584,2.0958593784056903,0.0,0,0,0,0.9355214254634502,1.0419685156748513
