execution,candidate_id,training_seeds,concat_minus_wg_mean_mwh,standard_deviation_mwh,ci95_low_mwh,ci95_high_mwh,supports_wg_lower_loss,seed_contrasts_mwh
projected,100,5,-0.253019848130928,0.3676862224667524,-0.7095625932034353,0.20352289694157932,False,"[-0.04858676332194878, -0.9090638497428101, -0.08582998020065968, -0.12045028040515238, -0.10116836698406906]"
projected,101,5,-0.2646255930230585,0.3778466160636569,-0.7337841330324222,0.2045329469863052,False,"[-0.03726773807823891, -0.936375388335766, -0.07738886776122511, -0.13371498736070508, -0.13838098357935746]"
raw,100,5,-0.21697541092337777,0.27813929499037215,-0.5623309599987001,0.12838013815194457,False,"[-0.048845925414624514, -0.71182585045571, -0.0862649293868889, -0.120717404255132, -0.11722294510453346]"
raw,101,5,-0.22757477057827571,0.2886819863788601,-0.5860207999948565,0.130871258838305,False,"[-0.03734632816529704, -0.7375661426446696, -0.0775612191985513, -0.13376683332450434, -0.1516333295583563]"
