job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,risk,under_risk,over_risk,viol_rate,under_steps,over_steps,pf_fail,loss_mean_mw,energy_mwh,vmin,vmax
0,0.8922557234764099,1.0637273788452148,0.2655468583106994,15810,0,0,0,0.0,0,0,0,0.05383830767258513,1.292119384142043,0.9618285752961979,1.0241197781709988
1,1.11762273311615,0.715850830078125,0.564409077167511,14639,0,0,0,0.0,0,0,0,0.046864155277687,1.124739726664488,0.9571433667866213,1.0262256989244913
2,1.4199260473251345,1.2354456186294556,0.9599280953407288,25978,0,0,0,0.0,0,0,0,0.08995014284246272,2.1588034282191053,0.9685590261771079,1.0333995209674256
3,1.397938251495361,0.7383283972740173,0.0892592146992683,13517,0,0,0,0.0,0,0,0,0.04812357972342759,1.154965913362262,0.9555657949714291,1.0265172714464161
4,1.1385867595672607,1.2653429508209229,0.0705578178167343,35569,0,0,0,0.0,0,0,0,0.06580308148986437,1.579273955756745,0.96858235297861,1.0278280356927023
5,0.758236825466156,0.8443105220794678,0.6788710355758667,31780,0,0,0,0.0,0,0,0,0.04836448028699808,1.160747526887954,0.9614617928380753,1.0259427709920705
6,1.1141111850738523,1.202295184135437,0.8086973428726196,33854,0,0,0,0.0,0,0,0,0.0748243832232325,1.79578519735758,0.9693198060517655,1.031074831565002
7,0.8388385772705078,0.7685493230819702,0.0764496922492981,26570,0,0,0,0.0,0,0,0,0.04079303677903139,0.9790328826967534,0.9571217046654997,1.0210902946096627
8,0.7935377955436707,0.8132753372192383,0.8678043484687805,36143,0,0,0,0.0,0,0,0,0.04885410607579884,1.1724985458191721,0.9605178423692884,1.0263047326818073
9,0.8543351292610168,1.4582303762435913,0.3429531753063202,35352,0,0,0,0.0,0,0,0,0.0802233775975728,1.925361062341747,0.9711598870592225,1.034748142297397
10,1.437896490097046,1.3765506744384766,0.5912892818450928,33150,0,0,0,0.0,0,0,0,0.0889583036195405,2.1349992868689722,0.9683915224128059,1.033006651085836
11,0.7079476118087769,1.360935926437378,0.6865734457969666,5601,0,0,0,0.0,0,0,0,0.07588952263811653,1.8213485433147967,0.9713759777317372,1.0326536823881332
12,1.172824740409851,1.48961079120636,0.6333551406860352,33249,0,0,0,0.0,0,0,0,0.09372776957938705,2.2494664699052893,0.9746719323247355,1.0368131282810709
13,0.9680083394050598,1.4241880178451538,0.5417709350585938,8311,0,0,0,0.0,0,0,0,0.08231840303549408,1.9756416728518578,0.9723043540324801,1.0344875025609073
14,0.8214073181152344,1.3901398181915283,0.0344803854823112,37912,0,0,0,0.0,0,0,0,0.06970451846872482,1.6729084432493955,0.9700146215712286,1.03139866710831
15,1.1092581748962402,1.2629188299179075,0.8158876299858093,20146,0,0,0,0.0,0,0,0,0.07837092235483006,1.8809021365159215,0.9656656310799318,1.0306123288887878
16,1.0925081968307495,0.7300975322723389,0.3620470762252807,31489,0,0,0,0.0,0,0,0,0.044967043143945305,1.0792090354546873,0.959954379195584,1.0244620874832204
17,0.728144645690918,1.1051019430160522,0.5382826328277588,24154,0,0,0,0.0,0,0,0,0.05660473030173868,1.3585135272417284,0.9635710985219601,1.0248754141738121
18,1.4516876935958862,1.1898695230484009,0.8314368724822998,37557,0,0,0,0.0,0,0,0,0.08214128666933067,1.971390880063936,0.970679267415703,1.0308528773249117
19,0.9327476024627686,1.0882830619812012,0.34245166182518,35197,0,0,0,0.0,0,0,0,0.05621961613521642,1.3492707872451941,0.9632030349916266,1.025021189108718
20,1.2022912502288818,1.2867220640182495,0.2298065274953842,18802,0,0,0,0.0,0,0,0,0.07051240826875553,1.6922977984501326,0.9627034348193974,1.0290010110057504
21,1.0491986274719238,1.2544554471969604,0.2040055096149444,30252,0,0,0,0.0,0,0,0,0.06649071392481314,1.5957771341955151,0.9676666167743685,1.0275531024053515
22,1.3682831525802612,0.7437836527824402,0.3787975907325744,6834,0,0,0,0.0,0,0,0,0.051180729411318904,1.2283375058716537,0.9601231684748213,1.0279960858215675
23,1.0680971145629885,1.2324644327163696,0.8391338586807251,1055,0,0,0,0.0,0,0,0,0.07653172892030505,1.8367614940873211,0.970040890379165,1.0319139890047022
24,1.2938110828399658,0.759593665599823,0.4535128474235534,11615,0,0,0,0.0,0,0,0,0.05167415804713068,1.2401797931311362,0.9600494024603846,1.0294802896763882
25,1.1979182958602903,1.0832096338272097,0.0803204774856567,23813,0,0,0,0.0,0,0,0,0.057583002580919314,1.3819920619420636,0.96560934634655,1.0244291285675242
26,1.457740306854248,0.8538777828216553,0.1427513211965561,12549,0,0,0,0.0,0,0,0,0.05191456920263903,1.2459496608633367,0.959850444412408,1.0272700029196133
