seed,day,shift_id,random_seed,event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,load_multiplier,pv_multiplier,mean_r_multiplier,mean_x_multiplier,topology_reconfiguration,observation_delay_steps
42,4,0,2026096037,0,0,0,0,0.9555812325465955,1.000050330630103,1.3364296757718412,0.9898669865548283,0.9875918369069484,1.0042035100695548,0.9989768541344604,none,0
42,4,1,2026096038,0,0,0,0,0.9581257606511795,1.0003896649132917,1.2402089919665893,0.9683671935151509,1.0094364684150436,0.9990091538110775,0.9902458624209587,none,0
42,4,2,2026096039,0,0,0,0,0.9578846676796383,1.0001898042176038,1.3013340636450366,0.997119547653238,0.9909794760881937,1.0078478686449366,1.0067329634566426,none,0
42,4,3,2026096040,0,0,0,0,0.9573954729570893,1.000136672963943,1.3103135988331556,0.9995931160938136,1.0095534931428267,1.0090100026056092,1.0049267597607519,none,0
42,4,4,2026096041,0,0,0,0,0.957182158936752,1.0,1.292322080077315,0.981036837746121,0.9584708008202499,0.9986573535732419,1.003848456368915,none,0
42,4,5,2026096042,0,0,0,0,0.9561062447323073,1.0001640830616458,1.3720307841623993,1.0175162101443205,1.01223440067563,1.004696717880671,1.0156054099189398,none,0
42,4,6,2026096043,0,0,0,0,0.9572875697701686,1.0001267247226844,1.377862276990865,1.0460744471799843,1.028875261092995,0.9954345060094701,0.991655779002109,none,0
42,4,7,2026096044,0,0,0,0,0.9583544210006713,1.0001854550016884,1.2210415405255952,0.982000409522817,0.9796522373496022,0.9946354701755922,1.0005563065731817,none,0
42,4,8,2026096045,0,0,0,0,0.9575274855940186,1.0001233830906662,1.3052076208404573,1.0074911335212202,0.9920959320434132,0.9981156512422373,1.0001676032418343,none,0
42,4,9,2026096046,0,0,0,0,0.957376089825919,1.0002947955633401,1.2557320087944586,0.9780749442090876,1.007726234283816,1.005222408100206,0.9907324942151722,none,0
42,4,10,2026096047,0,0,0,0,0.9593716153266896,1.0001504481291106,1.2053952429826813,0.9713821015915474,0.9886903488431966,1.0006175002392914,0.9955989072871898,none,0
42,4,11,2026096048,0,0,0,0,0.9560375964556226,1.0001308547487624,1.393341834099574,1.0348274267321473,1.0171176744162536,1.0045396572964298,0.9923477183431223,none,0
42,4,12,2026096049,0,0,0,0,0.9584447355448171,1.000267390270211,1.2291785839813125,0.9785838139054734,1.0087659387043277,0.9926154020830227,0.993874791458277,none,0
42,4,13,2026096050,0,0,0,0,0.9566284569982154,1.0001202355272603,1.2818219396597228,0.9936489333375136,0.9840543751562421,1.0090429185502365,0.9990365298084032,none,0
42,4,14,2026096051,0,0,0,0,0.9573788725517015,1.0000194451423488,1.3125179199581236,1.003346329751605,0.9881062866849628,0.9997925816564488,1.011182334190776,none,0
42,4,15,2026096052,0,0,0,0,0.9591709660052646,1.000184495686164,1.1688963193036963,0.9544552739998177,0.9621053561205554,1.0063152990121758,0.9877113493711573,none,0
42,4,16,2026096053,0,0,0,0,0.9590727376384202,1.0002502508960343,1.1652245709503086,0.9621000453656744,0.9859408321797208,0.9911264542273965,1.0079659153232279,none,0
42,4,17,2026096054,0,0,0,0,0.9564335662832679,1.0,1.3815404265668032,1.031656809448951,0.9803588107731745,1.0095952077395802,0.9963551519539898,none,0
42,4,18,2026096055,0,0,0,0,0.955577471564274,1.0001421603118026,1.3632756289347552,1.013185159326025,0.978502506756503,1.0028600737952194,0.9948174381648796,none,0
42,4,19,2026096056,0,0,0,0,0.9570480499299533,1.0000635175685926,1.3124010204707757,1.0047355489299534,1.0100120882033123,0.9908524509509201,0.9910034182945958,none,0
42,38,0,2026130343,0,0,0,0,0.9530776214700423,1.0,2.155330688616909,1.0050385339529109,0.9783930554338465,0.9999477387563479,0.9918824947220568,none,0
42,38,1,2026130344,0,0,0,0,0.9524073142577656,1.0000936237919398,2.26223066048896,1.014500687261269,0.9892793677683454,0.9996434324072669,0.998961059631287,none,0
42,38,2,2026130345,0,0,0,0,0.9529156357846046,1.0001142566240335,2.232207666650946,1.0176144553530007,0.9982441745306675,0.9961663214109506,1.0044522099255297,none,0
42,38,3,2026130346,0,0,0,0,0.9533815263250143,1.0001399061507636,2.2139988468470992,1.0174030060926937,1.013559572151412,1.0028761003447328,1.0172396297810433,none,0
42,38,4,2026130347,0,0,0,0,0.9534228504861353,1.0003266628619267,2.017979097418247,0.9807135115868187,1.0138901530987736,0.9922997674821501,1.0062365595821123,none,0
42,38,5,2026130348,0,0,0,0,0.9534345958648659,1.0002572478834457,2.1017516397419698,0.9960221320860896,1.0220302929612457,1.0135551256107482,0.9896475093518827,none,0
42,38,6,2026130349,0,0,0,0,0.9528415852325455,1.000303285386419,2.110251849474615,0.996162051416605,1.0108159321761645,0.9926494831487203,1.001261154575995,none,0
42,38,7,2026130350,0,0,0,0,0.9508380955474687,1.000197858479411,2.290352842941932,1.010159407226097,1.0060911081785928,1.0149434003328053,1.0149109344286582,none,0
42,38,8,2026130351,0,0,0,0,0.9527625361335796,1.0000455262191594,2.1863660329718146,1.0080194403256446,0.9988376044269942,1.0149673604222436,1.0080644160078636,none,0
42,38,9,2026130352,0,0,0,0,0.9524734582213746,1.0000594908512397,2.229248361555488,1.0097337419233927,0.9860355578871642,1.0083259414825687,0.9967506667696203,none,0
42,38,10,2026130353,0,0,0,0,0.9523480801633794,1.0,2.1769960520950487,1.0032587342732002,0.970333235004386,0.9943424861151886,1.0011967221611708,none,0
42,38,11,2026130354,0,0,0,0,0.9521085173785945,1.0001191774452611,2.2166590480097335,1.0067842223687486,1.005944485166555,1.0048864910902675,1.0134636902274194,none,0
42,38,12,2026130355,0,0,0,0,0.953704815240332,1.000203502208647,1.9229132074959343,0.9659649427295802,0.9931882398407527,1.0007485138930483,0.9996395840862815,none,0
42,38,13,2026130356,0,0,0,0,0.9534173831773421,1.0001836826280928,2.2171222285047025,1.0173337568359058,1.0162631737058243,1.0013425949932966,0.9963209154906273,none,0
42,38,14,2026130357,0,0,0,0,0.9524468237495061,1.000361053641025,2.141733575221873,0.9955239193530062,1.0101124932118801,1.0110473675226606,1.001031419301042,none,0
42,38,15,2026130358,0,0,0,0,0.9534690591540755,1.0004368004568334,2.0076144774042697,0.9773816562724247,1.0209451078083114,1.0004918087104642,1.0017285709476778,none,0
42,38,16,2026130359,0,0,0,0,0.9518749774333302,1.0000926583851455,2.433992421141573,1.0385433005344056,1.0035162496093304,1.0068736285952504,1.0100228950014047,none,0
42,38,17,2026130360,0,0,0,0,0.951856611821034,1.0,2.233138072782159,1.0116774408805784,0.9741867825653234,1.0041037014854535,0.9980417828357139,none,0
42,38,18,2026130361,0,0,0,0,0.9543370967245701,1.0002594676473961,2.150806125982397,1.0142176236537557,1.0145564788830528,0.9948126870526484,1.0191128972364272,none,0
42,38,19,2026130362,0,0,0,0,0.9522161144617808,1.0001812319062577,1.933278887724716,0.9482053099646004,0.9991038457778719,0.9983076204370147,1.003061624136047,none,0
42,77,0,2026169694,0,0,0,0,0.9519053705497916,1.0044738442129704,1.976159248514101,0.9837026086184185,0.9950171811190928,1.0122648445917926,0.9999669771509597,none,0
42,77,1,2026169695,0,0,0,0,0.9542784456221306,1.0047976481237118,1.9941069846696342,1.0044849040113546,1.0201060603816394,0.9907263189014562,1.0075144144221273,none,0
42,77,2,2026169696,0,0,0,0,0.9519537110849294,1.0044024213223388,2.123028734108034,1.0098323818500377,0.9917167583909801,1.0082180548928328,0.9988812078386752,none,0
42,77,3,2026169697,0,0,0,0,0.9520569522346809,1.0047055205330475,2.089598533863167,1.0074473259770436,0.9935741878252615,0.9930021844603055,1.0040383704015121,none,0
42,77,4,2026169698,0,0,0,0,0.9528009792611047,1.00413439134687,2.2593846334271444,1.0363425506448785,0.9653628788400545,0.998910150005836,0.9928675001028645,none,0
42,77,5,2026169699,0,0,0,0,0.9533801390897055,1.0046788730407048,2.1574466713411526,1.0231081991846032,1.0088371038010082,1.0003220659379053,0.9964692733583344,none,0
