candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_risk,over_risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,raw_vmin,raw_vmax,intervention_steps,intervention_rate,projection_failures,mean_correction_norm,max_correction_norm,power_flow_previews
0,47,86,8256,0.7,0.7,0.0,0,0,0,0,0,0,0.8653985059023939,0.9556487268314092,1.0348432660696032,0.9556487268314092,1.0348432660696032,0,0.0,0,0.0,0.0,96
0,63,120,11520,0.7,0.7,0.0,0,0,0,0,0,0,0.8676716841463048,0.9525764160553257,1.0404903389220115,0.9525764160553257,1.0404903389220115,0,0.0,0,0.0,0.0,96
0,87,168,16128,0.7,0.7,0.0,0,0,0,0,0,0,0.8704465779114128,0.9536241437391645,1.0339210908738037,0.9536241437391645,1.0339210908738037,0,0.0,0,0.0,0.0,96
0,100,190,18240,0.7,0.7,0.0,0,0,0,0,0,0,0.8560904633361411,0.9554575517225993,1.0294066586145456,0.9554575517225993,1.0294066586145456,0,0.0,0,0.0,0.0,96
0,114,228,21888,0.7,0.7,0.0,0,0,0,0,0,0,0.8807157777486312,0.956829905661281,1.0396823964781066,0.956829905661281,1.0396823964781066,0,0.0,0,0.0,0.0,96
0,123,241,23136,0.7,0.7,0.0,0,0,0,0,0,0,0.8597484212088027,0.9528645966881311,1.031702140949299,0.9528645966881311,1.031702140949299,0,0.0,0,0.0,0.0,96
0,142,278,26688,0.7,0.7,0.0,0,0,0,0,0,0,0.8568797883079035,0.9543125143484353,1.0361760824163664,0.9543125143484353,1.0361760824163664,0,0.0,0,0.0,0.0,96
0,143,280,26880,0.7,0.7,0.0,0,0,0,0,0,0,0.8577678458280058,0.9523012877521713,1.0343111597300416,0.9523012877521713,1.0343111597300416,0,0.0,0,0.0,0.0,96
0,144,281,26976,0.7,0.7,0.0,0,0,0,0,0,0,0.8397264695344255,0.9562867209045394,1.0314227092861492,0.9562867209045394,1.0314227092861492,0,0.0,0,0.0,0.0,96
0,153,291,27936,0.7,0.7,0.0,0,0,0,0,0,0,0.8790465921367407,0.9522094538935852,1.0348283128636886,0.9522094538935852,1.0348283128636886,0,0.0,0,0.0,0.0,96
0,160,298,28608,0.7,0.7,0.0,0,0,0,0,0,0,0.8688546706247016,0.9586303433726415,1.0394346821365092,0.9586303433726415,1.0394346821365092,0,0.0,0,0.0,0.0,96
0,173,322,30912,0.7,0.7,0.0,0,0,0,0,0,0,0.8577554939592585,0.9523517952198572,1.0312959149635497,0.9523517952198572,1.0312959149635497,0,0.0,0,0.0,0.0,96
0,191,352,33792,0.7,0.7,0.0,0,0,0,0,0,0,0.8773122706329511,0.9564488461956201,1.0391366610916715,0.9564488461956201,1.0391366610916715,0,0.0,0,0.0,0.0,96
0,196,362,34752,0.7,0.7,0.0,0,0,0,0,0,0,0.8636924516076685,0.955160832818261,1.037819042825887,0.955160832818261,1.037819042825887,0,0.0,0,0.0,0.0,96
0,198,366,35136,0.7,0.7,0.0,0,0,0,0,0,0,0.8644923731556912,0.9507017057535285,1.0389989920053184,0.9507017057535285,1.0389989920053184,0,0.0,0,0.0,0.0,96
2016,47,86,8256,1.5,1.5,1.0,0,0,0,0,0,0,2.4515366072292974,0.9791665136868538,1.039112128317723,0.9791665136868538,1.039112128317723,0,0.0,0,0.0,0.0,96
2016,63,120,11520,1.5,1.5,1.0,0,0,0,0,0,0,2.4415368225476057,0.976743568501022,1.0395580326311804,0.976743568501022,1.0395580326311804,0,0.0,0,0.0,0.0,96
2016,87,168,16128,1.5,1.5,1.0,0,0,0,0,0,0,2.461276022229285,0.9784791082931336,1.0395689089392324,0.9784791082931336,1.0395689089392324,0,0.0,0,0.0,0.0,96
2016,100,190,18240,1.5,1.5,1.0,0,0,0,0,0,0,2.4376580437405075,0.9799711676386786,1.0386984330120956,0.9799711676386786,1.0386984330120956,0,0.0,0,0.0,0.0,96
2016,114,228,21888,1.5,1.5,1.0,0,0,0,0,0,0,2.4657200713498986,0.9816506307837601,1.0396245848915109,0.9816506307837601,1.0396245848915109,0,0.0,0,0.0,0.0,96
2016,123,241,23136,1.5,1.5,1.0,0,0,0,0,0,0,2.4364060697175054,0.97784173444834,1.0387960436769867,0.97784173444834,1.0387960436769867,0,0.0,0,0.0,0.0,96
2016,142,278,26688,1.5,1.5,1.0,0,0,0,0,0,0,2.4586461377784357,0.979635181489046,1.0396025671043467,0.979635181489046,1.0396025671043467,0,0.0,0,0.0,0.0,96
2016,143,280,26880,1.5,1.5,1.0,0,0,0,0,0,0,2.434892349671922,0.9762520931488479,1.0392353173242859,0.9762520931488479,1.0392353173242859,0,0.0,0,0.0,0.0,96
2016,144,281,26976,1.5,1.5,1.0,0,0,0,0,0,0,2.4127393171441174,0.9800449129786902,1.0398395425112383,0.9800449129786902,1.0398395425112383,0,0.0,0,0.0,0.0,96
2016,153,291,27936,1.5,1.5,1.0,0,0,0,0,0,0,2.456347067596016,0.9775791283535885,1.0387363418028885,0.9775791283535885,1.0387363418028885,0,0.0,0,0.0,0.0,96
2016,160,298,28608,1.5,1.5,1.0,0,0,0,0,0,0,2.4446393756120175,0.9821377641615971,1.0386046598910355,0.9821377641615971,1.0386046598910355,0,0.0,0,0.0,0.0,96
2016,173,322,30912,1.5,1.5,1.0,0,0,0,0,0,0,2.4399354732823912,0.9776569782053058,1.0396075173654105,0.9776569782053058,1.0396075173654105,0,0.0,0,0.0,0.0,96
2016,191,352,33792,1.5,1.5,1.0,0,0,0,0,0,0,2.4724492086709016,0.981012063391112,1.0402283681846918,0.981012063391112,1.0402283681846918,0,0.0,0,0.0,0.0,96
2016,196,362,34752,1.5,1.5,1.0,0,0,0,0,0,0,2.451313624561968,0.9801549372502084,1.0388674536170526,0.9801549372502084,1.0388674536170526,0,0.0,0,0.0,0.0,96
2016,198,366,35136,1.5,1.5,1.0,0,0,0,0,0,0,2.447039846654855,0.976013973340074,1.0391933100953632,0.976013973340074,1.0391933100953632,0,0.0,0,0.0,0.0,96
