controller,seed,day_index,step,time_hour,vmin_pu,vmax_pu,critical_bus,line_loss_mw,intervened,correction_norm,ibvr_17_policy_q_mvar,ibvr_17_executed_q_mvar,ibvr_17_correction_q_mvar,ibvr_21_policy_q_mvar,ibvr_21_executed_q_mvar,ibvr_21_correction_q_mvar,ibvr_24_policy_q_mvar,ibvr_24_executed_q_mvar,ibvr_24_correction_q_mvar,svc_32_policy_q_mvar,svc_32_executed_q_mvar,svc_32_correction_q_mvar
Raw WG-CVaR,42,273,0,0.0,0.9872856144522799,1.0,30,0.01784508097473489,0,0.0,0.18546404896549157,0.18605705414660967,0.0005930051811181003,-0.1953196446834503,-0.19554969375472797,-0.0002300490712776604,0.20135586985368842,0.2018339839836762,0.00047811412998777225,0.612280118469168,0.612280118469168,0.0
Raw WG-CVaR,42,273,1,0.25,0.9854010049934098,1.0040675947746873,30,0.019902152991130306,0,0.0,0.22463426720503962,0.22422253348487448,-0.0004117337201651472,-0.23985489390501796,-0.23974801949682303,0.0001068744081949291,0.2030182681770074,0.20268311769805974,-0.0003351504789476656,0.6344836782645551,0.6344836782645551,0.0
Raw WG-CVaR,42,273,2,0.5,0.993902469665041,1.0072971076166914,30,0.015494703324514324,0,0.0,0.1740158688264325,0.17329512693091934,-0.0007207418955131606,-0.2496683244262305,-0.24871634852015823,0.0009519759060722666,0.1992807915156197,0.19866881950891863,-0.0006119720067010725,0.6404154050066571,0.6404154050066571,0.0
Raw WG-CVaR,42,273,3,0.75,0.9898549891784505,1.0,12,0.0258849179528426,0,0.0,0.30480214568905406,0.30481476341344704,1.2617724392982588e-05,-0.24412341560240663,-0.2441251468724602,-1.7312700535676573e-06,0.20907017602041172,0.20906309984732263,-7.076173089093363e-06,0.6419504816285118,0.6419504816285118,0.0
Raw WG-CVaR,42,273,4,1.0,0.9944440037145766,1.0043346029189193,22,0.020097445333370604,0,0.0,0.24187679227470285,0.241940034957234,6.324268253116161e-05,-0.24081609144569263,-0.2408653237659366,-4.923232024398039e-05,0.2028704488545549,0.20292557296735694,5.512411280203522e-05,0.6512975432822099,0.6512975432822099,0.0
Raw WG-CVaR,42,273,5,1.25,0.9953310753914442,1.0072706117324204,22,0.016759209139706254,0,0.0,0.1880743900244845,0.188007803635893,-6.658638859149968e-05,-0.24555932015995874,-0.2454834138395867,7.590632037204892e-05,0.19677909732775972,0.19671331539558562,-6.578193217410266e-05,0.6501946100133722,0.6501946100133722,0.0
Raw WG-CVaR,42,273,6,1.5,0.9940399918344902,1.008730189619384,22,0.020813522060440924,0,0.0,0.22304946880435647,0.22314493187954715,9.54630751906771e-05,-0.2493657969183936,-0.24944680163173633,-8.100471334271386e-05,0.2001741505207516,0.20024282819052405,6.867766977244893e-05,0.650571271873861,0.650571271873861,0.0
Raw WG-CVaR,42,273,7,1.75,0.9952653342492078,1.0044525241651725,22,0.01774563870193735,0,0.0,0.20995499184054459,0.20989753799596964,-5.745384457495062e-05,-0.24655920512229829,-0.2465120992536249,4.710586867337496e-05,0.19824331795905903,0.1982148835435131,-2.843441554592485e-05,0.6482223623867993,0.6482223623867993,0.0
Raw WG-CVaR,42,273,8,2.0,0.9930055026590349,1.0,12,0.020780361763005323,0,0.0,0.26528392834538583,0.26524650863548493,-3.741970990089882e-05,-0.24361818336746394,-0.24358828776394692,2.9895603517016145e-05,0.20220617089969567,0.20216889681536537,-3.727408433029655e-05,0.64534838143675,0.64534838143675,0.0
Raw WG-CVaR,42,273,9,2.25,0.9920476749973074,1.0,12,0.024084475805286734,0,0.0,0.2947367642439632,0.29498513917549035,0.00024837493152712886,-0.23997960192541215,-0.24021954038958726,-0.0002399384641751101,0.20635553744834922,0.2065596227774124,0.0002040853290631861,0.6467978158712757,0.6467978158712757,0.0
Raw WG-CVaR,42,273,10,2.5,0.9967570553480821,1.0096282754387826,22,0.014891600426570444,0,0.0,0.1311509554389835,0.1310794866783241,-7.146876065941554e-05,-0.2467562371691431,-0.24655496549757266,0.000201271671570441,0.1935459944513555,0.193400367760542,-0.00014562669081349955,0.65150427155828,0.65150427155828,0.0
Raw WG-CVaR,42,273,11,2.75,0.9926697807380586,1.0000761620408232,12,0.021697812425721365,0,0.0,0.27105750854591704,0.2709980378320121,-5.9470713904941075e-05,-0.250153045865249,-0.25013641774884854,1.6628116400463355e-05,0.20359728732736374,0.20356597707842905,-3.1310248934685037e-05,0.642136019708667,0.642136019708667,0.0
Raw WG-CVaR,42,273,12,3.0,0.99478828587582,1.007139118363571,22,0.019719869707088732,0,0.0,0.21640521484042669,0.21643085403901355,2.5639198586863143e-05,-0.24750485210474152,-0.24756354968231337,-5.86975775718479e-05,0.20263174997986358,0.20268139621016218,4.964623029860005e-05,0.651211332615591,0.651211332615591,0.0
Raw WG-CVaR,42,273,13,3.25,0.9952798477890712,1.005616213621596,22,0.018419342033006436,0,0.0,0.21009104830326414,0.21054973770528793,0.0004586894020237875,-0.24747665619741785,-0.2478026608754838,-0.00032600467806595534,0.19966231905181175,0.19996465366659524,0.00030233461478348933,0.6483917744305852,0.6483917744305852,0.0
Raw WG-CVaR,42,273,14,3.5,0.9947007046917511,1.0051344199342647,8,0.016545366489963045,0,0.0,0.20618323178905223,0.20599205514647856,-0.00019117664257367606,-0.24988878650817495,-0.2498025068021973,8.627970597765988e-05,0.20121758465717057,0.20110488858842146,-0.00011269606874911298,0.642630299412688,0.642630299412688,0.0
Raw WG-CVaR,42,273,15,3.75,0.9958379235562307,1.0050501288875566,8,0.01584625573956907,0,0.0,0.19486455233241778,0.19500823165046816,0.00014367931805037149,-0.24943577175011428,-0.24983255754347294,-0.00039678579335866715,0.19878852847972014,0.19918699295368378,0.0003984644739636334,0.6442028435136105,0.6442028435136105,0.0
Raw WG-CVaR,42,273,16,4.0,0.9976557824268304,1.0064794048381105,22,0.014689482565657556,0,0.0,0.12138061724372222,0.12152332674744572,0.00014270950372349822,-0.25680756079098493,-0.25698376551412216,-0.0001762047231372299,0.19391212430752164,0.19386411711837884,-4.800718914280133e-05,0.6443400712849399,0.6443400712849399,0.0
