capacity_label,split,label,theta,days,event_days,pf_fail_days,solver_failures,mean_daily_loss_mwh,mean_daily_absolute_reactive_throughput_mvarh,worst_minimum_voltage_pu,worst_maximum_voltage_pu,mean_online_optimisation_ms
P02_pv030_svc01875,selection,P02_pv030_svc01875::selection,"[0.3, 0.1875, 0.0]",17,1,0,0,1.9325032361758996,14.167844770703404,0.9476616695148559,1.0195898776391579,0.6593832720762507
P02_pv030_svc01875,confirmation,P02_pv030_svc01875::confirmation,"[0.3, 0.1875, 0.0]",349,62,0,0,2.068534015086491,17.020549631128667,0.9442455401297782,1.0221136228907057,0.6612671561670931
P03_pv030_svc0375,selection,P03_pv030_svc0375::selection,"[0.3, 0.375, 0.0]",17,0,0,0,1.7124551524510507,9.816573617838534,0.9518351030820763,1.0091731784562306,0.7510699754822567
P03_pv030_svc0375,confirmation,P03_pv030_svc0375::confirmation,"[0.3, 0.375, 0.0]",349,0,0,0,1.8051925736914032,11.277225629580746,0.9516212268738384,1.0184149571678671,0.7609202811586185
P04_pv045_svc0375,selection,P04_pv045_svc0375::selection,"[0.45, 0.375, 0.0]",17,0,0,0,1.712455154892272,9.81657344531794,0.9518351030820762,1.0091731784562306,0.7556984681344806
P04_pv045_svc0375,confirmation,P04_pv045_svc0375::confirmation,"[0.45, 0.375, 0.0]",349,0,0,0,1.8051925699926665,11.277225936871998,0.9516212268738382,1.0184149571678671,0.76358633894171
