candidate_id,worst_seed_risk,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh,maximum_seed_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,robust_feasible
0,0.0,0.0,0.0,0.871469179913312,0.9030144302155885,0.0027777777777777644,0,0.9505000002030484,1.0329141922090488,0.9455350673642696,1.0329141922090488,0.7,0.7,0.0,refine_candidate,70.0,1
1,0.0,0.0,0.0,0.8888181395143198,0.9275310038157574,0.001273148148148141,0,0.9505000007552112,1.0331550380045496,0.9466814822975966,1.0331550380045496,0.7,0.7421052631578947,0.0,refine_candidate,72.10526315789474,1
2,0.0,0.0,0.0,0.9093833372579873,0.9558809775872603,0.00081018518518518,0,0.9505000004949308,1.0333828112214891,0.947702547360156,1.0333828112214891,0.7,0.7842105263157895,0.0,refine_candidate,74.21052631578948,1
3,0.0,0.0,0.0,0.9331387408985782,0.9879559772664095,0.0005787037037037,0,0.9505000004967584,1.0335823869680734,0.948606357004734,1.0335823869680734,0.7,0.8263157894736841,0.0,refine_candidate,76.3157894736842,1
4,0.0,0.0,0.0,0.9600319166047845,1.0236634845290946,0.00034722222222221996,0,0.9505000003606864,1.0337783961503255,0.9495077920530642,1.0337783961503255,0.7,0.8684210526315789,0.0,refine_candidate,78.42105263157895,1
5,0.0,0.0,0.0,0.9900064326633697,1.062892436438239,0.00011574074074074,0,0.950500538511422,1.033971775905055,0.9504118368681383,1.033971775905055,0.7,0.9105263157894736,0.0,refine_candidate,80.52631578947368,1
6,0.0,0.0,0.0,1.0230073398228636,1.1055318504510914,0.0,0,0.9513144184858284,1.0341420174334977,0.9513144184858284,1.0341420174334977,0.7,0.9526315789473684,0.0,refine_candidate,82.63157894736841,1
7,0.0,0.0,0.0,1.0589928397097124,1.1515355435792523,0.0,0,0.9522114428803538,1.0342874503054558,0.9522114428803538,1.0342874503054558,0.7,0.9947368421052631,0.0,refine_candidate,84.73684210526315,1
8,0.0,0.0,0.0,1.0979139667473838,1.2008337411271683,0.0,0,0.9531003626173415,1.0344212425182753,0.9531003626173415,1.0344212425182753,0.7,1.0368421052631578,0.0,refine_candidate,86.84210526315789,1
9,0.0,0.0,0.0,1.1397431556499733,1.2533641207523831,0.0,0,0.9539775778570668,1.0346204941706616,0.9539775778570668,1.0346204941706616,0.7,1.0789473684210527,0.0,refine_candidate,88.94736842105263,1
10,0.0,0.0,0.0,1.1844898479563621,1.3090949638561302,0.0,0,0.9548503518708462,1.0347649203643108,0.9548503518708462,1.0347649203643108,0.7,1.1210526315789473,0.0,refine_candidate,91.05263157894737,1
20,0.0,0.0,0.0,0.879053571359968,0.9069221990809957,0.002546296296296285,0,0.9505000003374738,1.032015225835103,0.9457809542874608,1.032015225835103,0.7421052631578947,0.7,0.0,refine_candidate,72.10526315789474,1
21,0.0,0.0,0.0,0.8968088739703436,0.9317590597619387,0.001157407407407401,0,0.9505000005519776,1.0322400830851766,0.9469300854318832,1.0322400830851766,0.7421052631578947,0.7421052631578947,0.0,refine_candidate,74.21052631578947,1
22,0.0,0.0,0.0,0.9177915408958129,0.9604217591199212,0.0006944444444444399,0,0.9505000006216936,1.0324502735517356,0.9479464958487032,1.0324502735517356,0.7421052631578947,0.7842105263157895,0.0,refine_candidate,76.3157894736842,1
