candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index
0,0.7,0.7,0.0,refine_candidate,70.0
1,0.7,0.7421052631578947,0.0,refine_candidate,72.10526315789474
2,0.7,0.7842105263157895,0.0,refine_candidate,74.21052631578948
3,0.7,0.8263157894736841,0.0,refine_candidate,76.3157894736842
4,0.7,0.8684210526315789,0.0,refine_candidate,78.42105263157895
5,0.7,0.9105263157894736,0.0,refine_candidate,80.52631578947368
6,0.7,0.9526315789473684,0.0,refine_candidate,82.63157894736841
7,0.7,0.9947368421052631,0.0,refine_candidate,84.73684210526315
8,0.7,1.0368421052631578,0.0,refine_candidate,86.84210526315789
9,0.7,1.0789473684210527,0.0,refine_candidate,88.94736842105263
10,0.7,1.1210526315789473,0.0,refine_candidate,91.05263157894737
20,0.7421052631578947,0.7,0.0,refine_candidate,72.10526315789474
21,0.7421052631578947,0.7421052631578947,0.0,refine_candidate,74.21052631578947
22,0.7421052631578947,0.7842105263157895,0.0,refine_candidate,76.3157894736842
23,0.7421052631578947,0.8263157894736841,0.0,refine_candidate,78.42105263157893
24,0.7421052631578947,0.8684210526315789,0.0,refine_candidate,80.52631578947367
25,0.7421052631578947,0.9105263157894736,0.0,refine_candidate,82.63157894736841
26,0.7421052631578947,0.9526315789473684,0.0,refine_candidate,84.73684210526315
27,0.7421052631578947,0.9947368421052631,0.0,refine_candidate,86.84210526315789
28,0.7421052631578947,1.0368421052631578,0.0,refine_candidate,88.94736842105263
29,0.7421052631578947,1.0789473684210527,0.0,refine_candidate,91.05263157894737
40,0.7842105263157895,0.7,0.0,refine_candidate,74.21052631578948
41,0.7842105263157895,0.7421052631578947,0.0,refine_candidate,76.3157894736842
42,0.7842105263157895,0.7842105263157895,0.0,refine_candidate,78.42105263157895
43,0.7842105263157895,0.8263157894736841,0.0,refine_candidate,80.52631578947367
44,0.7842105263157895,0.8684210526315789,0.0,refine_candidate,82.63157894736841
45,0.7842105263157895,0.9105263157894736,0.0,refine_candidate,84.73684210526315
46,0.7842105263157895,0.9526315789473684,0.0,refine_candidate,86.84210526315789
47,0.7842105263157895,0.9947368421052631,0.0,refine_candidate,88.94736842105263
48,0.7842105263157895,1.0368421052631578,0.0,refine_candidate,91.05263157894737
60,0.8263157894736841,0.7,0.0,refine_candidate,76.3157894736842
61,0.8263157894736841,0.7421052631578947,0.0,refine_candidate,78.42105263157893
62,0.8263157894736841,0.7842105263157895,0.0,refine_candidate,80.52631578947367
63,0.8263157894736841,0.8263157894736841,0.0,refine_candidate,82.63157894736841
64,0.8263157894736841,0.8684210526315789,0.0,refine_candidate,84.73684210526315
65,0.8263157894736841,0.9105263157894736,0.0,refine_candidate,86.84210526315789
66,0.8263157894736841,0.9526315789473684,0.0,refine_candidate,88.94736842105263
67,0.8263157894736841,0.9947368421052631,0.0,refine_candidate,91.05263157894737
80,0.8684210526315789,0.7,0.0,refine_candidate,78.42105263157895
81,0.8684210526315789,0.7421052631578947,0.0,refine_candidate,80.52631578947367
82,0.8684210526315789,0.7842105263157895,0.0,refine_candidate,82.63157894736841
83,0.8684210526315789,0.8263157894736841,0.0,refine_candidate,84.73684210526315
84,0.8684210526315789,0.8684210526315789,0.0,refine_candidate,86.84210526315789
