candidate_id,risk,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,seed,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index
0,0.0,0.0,0.8696384871184434,0.005555555555555531,0,0.95050000030931,1.0322747130205936,0.9455350673642696,1.0322747130205936,42,0.7,0.7,0.0,refine_candidate,70.0
1,0.0,0.0,0.8827540486650914,0.0020833333333333233,0,0.950500000935216,1.0323763532859058,0.9466814822975966,1.0323763532859058,42,0.7,0.7421052631578947,0.0,refine_candidate,72.10526315789474
2,0.0,0.0,0.8987872549173607,0.00138888888888888,0,0.9505000004949308,1.0324820466104043,0.947702547360156,1.0324820466104043,42,0.7,0.7842105263157895,0.0,refine_candidate,74.21052631578948
3,0.0,0.0,0.9178115808903499,0.00104166666666666,0,0.9505000005293196,1.0325722090324836,0.948606357004734,1.0325722090324836,42,0.7,0.8263157894736841,0.0,refine_candidate,76.3157894736842
4,0.0,0.0,0.9398028045701501,0.00069444444444444,0,0.9505000003606864,1.0326597851274049,0.9495077920530642,1.0326597851274049,42,0.7,0.8684210526315789,0.0,refine_candidate,78.42105263157895
5,0.0,0.0,0.9647390194780808,0.00034722222222222,0,0.950500538511422,1.0327580065381627,0.9504118368681383,1.0327580065381627,42,0.7,0.9105263157894736,0.0,refine_candidate,80.52631578947368
6,0.0,0.0,0.992574568895498,0.0,0,0.9513144184858284,1.0328537171840688,0.9513144184858284,1.0328537171840688,42,0.7,0.9526315789473684,0.0,refine_candidate,82.63157894736841
7,0.0,0.0,1.0233255343458314,0.0,0,0.9522114428803538,1.0329473694564024,0.9522114428803538,1.0329473694564024,42,0.7,0.9947368421052631,0.0,refine_candidate,84.73684210526315
8,0.0,0.0,1.0569945753612755,0.0,0,0.9531003626173415,1.0330444376631058,0.9531003626173415,1.0330444376631058,42,0.7,1.0368421052631578,0.0,refine_candidate,86.84210526315789
9,0.0,0.0,1.0935973920850544,0.0,0,0.9539775778570668,1.0331421240696088,0.9539775778570668,1.0331421240696088,42,0.7,1.0789473684210527,0.0,refine_candidate,88.94736842105263
10,0.0,0.0,1.1331551884926576,0.0,0,0.9548503518708462,1.0332487074918093,0.9548503518708462,1.0332487074918093,42,0.7,1.1210526315789473,0.0,refine_candidate,91.05263157894737
20,0.0,0.0,0.8790576861564947,0.00486111111111109,0,0.9505000006399446,1.0312813871519932,0.9457809542874608,1.0312813871519932,42,0.7421052631578947,0.7,0.0,refine_candidate,72.10526315789474
21,0.0,0.0,0.8925783111557023,0.0020833333333333233,0,0.950500000790974,1.0313640662667425,0.9469300854318832,1.0313640662667425,42,0.7421052631578947,0.7421052631578947,0.0,refine_candidate,74.21052631578947
22,0.0,0.0,0.9090552063675498,0.00138888888888888,0,0.9505000010541628,1.031455958984721,0.9479464958487032,1.031455958984721,42,0.7421052631578947,0.7842105263157895,0.0,refine_candidate,76.3157894736842
23,0.0,0.0,0.9285244133119667,0.00069444444444444,0,0.9505000005935956,1.0315477777082684,0.9488502097128466,1.0315477777082684,42,0.7421052631578947,0.8263157894736841,0.0,refine_candidate,78.42105263157893
24,0.0,0.0,0.9509699325666808,0.00069444444444444,0,0.9505005273281226,1.0316325059328686,0.9497507026979384,1.0316325059328686,42,0.7421052631578947,0.8684210526315789,0.0,refine_candidate,80.52631578947367
25,0.0,0.0,0.9763495102226817,0.0,0,0.9506527790787708,1.0317128036744905,0.9506527790787708,1.0317128036744905,42,0.7421052631578947,0.9105263157894736,0.0,refine_candidate,82.63157894736841
26,0.0,0.0,1.004625184444136,0.0,0,0.9515548264873578,1.031792553950522,0.9515548264873578,1.031792553950522,42,0.7421052631578947,0.9526315789473684,0.0,refine_candidate,84.73684210526315
27,0.0,0.0,1.0358083039864092,0.0,0,0.9524562477340256,1.0318666803450638,0.9524562477340256,1.0318666803450638,42,0.7421052631578947,0.9947368421052631,0.0,refine_candidate,86.84210526315789
28,0.0,0.0,1.0699073772670302,0.0,0,0.953345899052492,1.0319637462872502,0.953345899052492,1.0319637462872502,42,0.7421052631578947,1.0368421052631578,0.0,refine_candidate,88.94736842105263
29,0.0,0.0,1.1069342593855709,0.0,0,0.954223115444366,1.0320705950939215,0.954223115444366,1.0320705950939215,42,0.7421052631578947,1.0789473684210527,0.0,refine_candidate,91.05263157894737
40,0.0,0.0,0.8897015018431399,0.0038194444444444235,0,0.9505000007091008,1.03033141073651,0.9460326910817924,1.03033141073651,42,0.7842105263157895,0.7,0.0,refine_candidate,74.21052631578948
41,0.0,0.0,0.9036500080915587,0.0017361111111111002,0,0.9505000006492969,1.0304029782529942,0.9471848817697068,1.0304029782529942,42,0.7842105263157895,0.7421052631578947,0.0,refine_candidate,76.3157894736842
42,0.0,0.0,0.9205834127699866,0.00104166666666666,0,0.950500000831324,1.0304818750841234,0.9481976280907716,1.0304818750841234,42,0.7842105263157895,0.7842105263157895,0.0,refine_candidate,78.42105263157895
43,0.0,0.0,0.940514204324746,0.00069444444444444,0,0.9505000007571888,1.0305610753493035,0.9491002462525258,1.0305610753493035,42,0.7842105263157895,0.8263157894736841,0.0,refine_candidate,80.52631578947367
44,0.0,0.0,0.9634194334516831,0.00034722222222222,0,0.950501755721704,1.03064367769916,0.950001514130684,1.03064367769916,42,0.7842105263157895,0.8684210526315789,0.0,refine_candidate,82.63157894736841
45,0.0,0.0,0.9892495794542395,0.0,0,0.9509070415777188,1.0307143706768729,0.9509070415777188,1.0307143706768729,42,0.7842105263157895,0.9105263157894736,0.0,refine_candidate,84.73684210526315
46,0.0,0.0,1.0179709229262048,0.0,0,0.9518067621220336,1.0307792948851595,0.9518067621220336,1.0307792948851595,42,0.7842105263157895,0.9526315789473684,0.0,refine_candidate,86.84210526315789
47,0.0,0.0,1.0495921760679041,0.0,0,0.9527072444326976,1.0308434863160658,0.9527072444326976,1.0308434863160658,42,0.7842105263157895,0.9947368421052631,0.0,refine_candidate,88.94736842105263
48,0.0,0.0,1.084120880385381,0.0,0,0.9535950677026648,1.0309268627259605,0.9535950677026648,1.0309268627259605,42,0.7842105263157895,1.0368421052631578,0.0,refine_candidate,91.05263157894737
60,0.0,0.0,0.9015839560452032,0.0031249999999999833,0,0.9505000011174431,1.0293813693797726,0.9462875520171892,1.0293813693797726,42,0.8263157894736841,0.7,0.0,refine_candidate,76.3157894736842
61,0.0,0.0,0.9159804517817809,0.0017361111111111002,0,0.950500001289722,1.0294317858271052,0.9474440223813018,1.0294317858271052,42,0.8263157894736841,0.7421052631578947,0.0,refine_candidate,78.42105263157893
62,0.0,0.0,0.933394208039932,0.00104166666666666,0,0.95050000070442,1.029502563284982,0.9484504998371246,1.029502563284982,42,0.8263157894736841,0.7842105263157895,0.0,refine_candidate,80.52631578947367
63,0.0,0.0,0.9537999223429294,0.00069444444444444,0,0.9505000007675592,1.0295672697979048,0.9493576342259364,1.0295672697979048,42,0.8263157894736841,0.8263157894736841,0.0,refine_candidate,82.63157894736841
64,0.0,0.0,0.977165550759342,0.00034722222222222,0,0.9505015228853644,1.0296360795945674,0.9502656024701216,1.0296360795945674,42,0.8263157894736841,0.8684210526315789,0.0,refine_candidate,84.73684210526315
65,0.0,0.0,1.0034454094186864,0.0,0,0.9511723661565256,1.0297079210636948,0.9511723661565256,1.0297079210636948,42,0.8263157894736841,0.9105263157894736,0.0,refine_candidate,86.84210526315789
66,0.0,0.0,1.0326203248193617,0.0,0,0.952071140362358,1.0297599040959895,0.952071140362358,1.0297599040959895,42,0.8263157894736841,0.9526315789473684,0.0,refine_candidate,88.94736842105263
67,0.0,0.0,1.0646788920299624,0.0,0,0.952968969610324,1.0298197760530874,0.952968969610324,1.0298197760530874,42,0.8263157894736841,0.9947368421052631,0.0,refine_candidate,91.05263157894737
80,0.0,0.0,0.9147073701511366,0.002430555555555543,0,0.9505000008152906,1.0284340401846337,0.9465461390150952,1.0284340401846337,42,0.8684210526315789,0.7,0.0,refine_candidate,78.42105263157895
81,0.0,0.0,0.9295796201990804,0.00138888888888888,0,0.9505000009346662,1.028463182896031,0.9477081332766234,1.028463182896031,42,0.8684210526315789,0.7421052631578947,0.0,refine_candidate,80.52631578947367
82,0.0,0.0,0.9474839689799102,0.00104166666666666,0,0.9505000008602864,1.0285088992150673,0.9487083496177364,1.0285088992150673,42,0.8684210526315789,0.7842105263157895,0.0,refine_candidate,82.63157894736841
83,0.0,0.0,0.9683769720946358,0.00069444444444444,0,0.95050026832607,1.0285660313591771,0.9496228837888444,1.0285660313591771,42,0.8684210526315789,0.8263157894736841,0.0,refine_candidate,84.73684210526315
84,0.0,0.0,0.9922071670607261,0.0,0,0.95053552012467,1.028621336306866,0.95053552012467,1.028621336306866,42,0.8684210526315789,0.8684210526315789,0.0,refine_candidate,86.84210526315789
85,0.0,0.0,1.0189331729885474,0.0,0,0.9514425001462032,1.0286755465450046,0.9514425001462032,1.0286755465450046,42,0.8684210526315789,0.9105263157894736,0.0,refine_candidate,88.94736842105263
86,0.0,0.0,1.0485509470663017,0.0,0,0.952343549283858,1.0287367142417971,0.952343549283858,1.0287367142417971,42,0.8684210526315789,0.9526315789473684,0.0,refine_candidate,91.05263157894737
100,0.0,0.0,0.9290664568742754,0.0020833333333333233,0,0.9505000010227932,1.0274933243426696,0.9468072121221852,1.0274933243426696,42,0.9105263157894736,0.7,0.0,refine_candidate,80.52631578947368
101,0.0,0.0,0.9444445339788629,0.00138888888888888,0,0.9505000261529164,1.027516409798593,0.9479708506003752,1.027516409798593,42,0.9105263157894736,0.7421052631578947,0.0,refine_candidate,82.63157894736841
102,0.0,0.0,0.9628490038859606,0.00069444444444444,0,0.9505000007393328,1.0275437620220602,0.9489659659523432,1.0275437620220602,42,0.9105263157894736,0.7842105263157895,0.0,refine_candidate,84.73684210526315
103,0.0,0.0,0.9842326637306693,0.00034722222222222,0,0.9505021191593876,1.027569059624915,0.949887668460917,1.027569059624915,42,0.9105263157894736,0.8263157894736841,0.0,refine_candidate,86.84210526315789
104,0.0,0.0,1.0085289443644376,0.0,0,0.9508068428478916,1.0275962345250362,0.9508068428478916,1.0275962345250362,42,0.9105263157894736,0.8684210526315789,0.0,refine_candidate,88.94736842105263
105,0.0,0.0,1.0357015195491237,0.0,0,0.9517166718246334,1.027634222419391,0.9517166718246334,1.027634222419391,42,0.9105263157894736,0.9105263157894736,0.0,refine_candidate,91.05263157894737
120,0.0,0.0,0.9446494871620984,0.0017361111111111002,0,0.950500001187672,1.026615305860586,0.9470700412382786,1.026615305860586,42,0.9526315789473684,0.7,0.0,refine_candidate,82.63157894736841
121,0.0,0.0,0.9605527893250181,0.00138888888888888,0,0.9505000004910809,1.0266181370034977,0.948237461375538,1.0266181370034977,42,0.9526315789473684,0.7421052631578947,0.0,refine_candidate,84.73684210526315
122,0.0,0.0,0.9794624385594087,0.00069444444444444,0,0.9505000007704428,1.0266386642770988,0.9492280616759434,1.0266386642770988,42,0.9526315789473684,0.7842105263157895,0.0,refine_candidate,86.84210526315789
123,0.0,0.0,1.0013403618154464,0.00034722222222222,0,0.9505023720247906,1.026650830657906,0.950155751303446,1.026650830657906,42,0.9526315789473684,0.8263157894736841,0.0,refine_candidate,88.94736842105263
124,0.0,0.0,1.026110792899742,0.0,0,0.9510806521010492,1.026663879905775,0.9510806521010492,1.026663879905775,42,0.9526315789473684,0.8684210526315789,0.0,refine_candidate,91.05263157894737
140,0.0,0.0,0.9614260905583235,0.0017361111111111002,0,0.9505000013037206,1.0257258172826562,0.9473336091797836,1.0257258172826562,42,0.9947368421052631,0.7,0.0,refine_candidate,84.73684210526315
141,0.0,0.0,0.9778690537809954,0.00138888888888888,0,0.9505000008935592,1.0257168181292622,0.9485078936296634,1.0257168181292622,42,0.9947368421052631,0.7421052631578947,0.0,refine_candidate,86.84210526315789
142,0.0,0.0,0.9972868312932504,0.00069444444444444,0,0.9505000009438052,1.0257255457734824,0.949493651124558,1.0257255457734824,42,0.9947368421052631,0.7842105263157895,0.0,refine_candidate,88.94736842105263
143,0.0,0.0,1.0196535290354736,0.00034722222222222,0,0.9505007695133622,1.0257255804171417,0.9504272978413768,1.0257255804171417,42,0.9947368421052631,0.8263157894736841,0.0,refine_candidate,91.05263157894737
160,0.0,0.0,0.9793019480622589,0.00138888888888888,0,0.9505000015035912,1.0248260124442492,0.9476042949909046,1.0248260124442492,42,1.0368421052631578,0.7,0.0,refine_candidate,86.84210526315789
161,0.0,0.0,0.9963098626723145,0.00104166666666666,0,0.9505000011147766,1.0248100315341688,0.9487833963498232,1.0248100315341688,42,1.0368421052631578,0.7421052631578947,0.0,refine_candidate,88.94736842105263
162,0.0,0.0,1.016264900785977,0.00069444444444444,0,0.9505008968692252,1.0248046718633343,0.9497627296167768,1.0248046718633343,42,1.0368421052631578,0.7842105263157895,0.0,refine_candidate,91.05263157894737
180,0.0,0.0,0.9982365383603453,0.00138888888888888,0,0.9505000009944696,1.023886430278889,0.9478809874245278,1.023886430278889,42,1.0789473684210527,0.7,0.0,refine_candidate,88.94736842105263
181,0.0,0.0,1.0158172632066014,0.00069444444444444,0,0.9505000006363538,1.023882178091653,0.9490642423086167,1.023882178091653,42,1.0789473684210527,0.7421052631578947,0.0,refine_candidate,91.05263157894737
200,0.0,0.0,1.0181873905937064,0.00138888888888888,0,0.9505000015810796,1.0229461352791058,0.9481601345760088,1.0229461352791058,42,1.1210526315789473,0.7,0.0,refine_candidate,91.05263157894737
400,0.0,0.0,0.8408581092555912,0.0020833333333333233,0,0.9505000006855644,1.0334852446025435,0.94676534278777,1.0334852446025435,42,0.7,0.7,0.25,refine_candidate,70.5
401,0.0,0.0,0.8567118326518467,0.00138888888888888,0,0.950500000420456,1.0335666570454851,0.947909596616382,1.0335666570454851,42,0.7,0.7421052631578947,0.25,refine_candidate,72.60526315789474
402,0.0,0.0,0.8755423199530145,0.00069444444444444,0,0.9505000004146908,1.0336492671888993,0.9489001068880816,1.0336492671888993,42,0.7,0.7842105263157895,0.25,refine_candidate,74.71052631578948
403,0.0,0.0,0.8973298200398129,0.00069444444444444,0,0.9505002753462984,1.033735905064132,0.949802721949628,1.033735905064132,42,0.7,0.8263157894736841,0.25,refine_candidate,76.8157894736842
