job_index,pv_s_scale,svc_q_scale,cap_total_mvar,t0,risk,under_risk,over_risk,under_steps,over_steps,pf_fail,loss_mean_mw,energy_mwh,vmin,vmax,raw_vmin,raw_vmax,intervention_steps,intervention_rate,projection_failures,mean_correction_norm,max_correction_norm,power_flow_previews
0,0.699999988079071,1.5,0.8188822269439697,36550,0,0,0,0,0,0,0.08632664773654886,2.0718395456771725,0.9741283792467935,1.037878746381542,0.9741283792467935,1.037878746381542,0,0.0,0,0.0,0.0,96
1,1.3038537502288818,1.4834061861038208,0.3384901285171509,7129,0,0,0,0,0,0,0.08605214003877482,2.0652513609305956,0.9761799257217624,1.0360822142653745,0.9761799257217624,1.0360822142653745,0,0.0,0,0.0,0.0,96
2,0.699999988079071,0.699999988079071,0.2238573879003524,27879,0,0,0,0,0,0,0.039663215961858574,0.9519171830846058,0.9519567180058504,1.0239704131515184,0.9519567180058504,1.0239704131515184,0,0.0,0,0.0,0.0,96
3,1.5,0.699999988079071,0.3765666782855987,24875,0,0,0,0,0,0,0.04650552458678059,1.1161325900827341,0.9613662827738811,1.0228436197722441,0.9613662827738811,1.0228436197722441,0,0.0,0,0.0,0.0,96
4,0.8523237705230713,0.8653703331947327,0.6764320135116577,33694,0,0,0,0,0,0,0.04709614207675047,1.1303074098420112,0.9619867337578691,1.0210703051950818,0.9619867337578691,1.0210703051950818,0,0.0,0,0.0,0.0,96
5,1.313156247138977,0.8196026086807251,0.7187964916229248,20077,0,0,0,0,0,0,0.0508784521106311,1.2210828506551463,0.9599993787841409,1.026113850264723,0.9599993787841409,1.026113850264723,0,0.0,0,0.0,0.0,96
6,0.699999988079071,0.699999988079071,0.0052198362536728,10187,0,0,0,0,0,0,0.03991414348423619,0.9579394436216686,0.95094901567862,1.0187408391381905,0.95094901567862,1.0187408391381905,0,0.0,0,0.0,0.0,96
7,1.5,1.5,0.8140498399734497,7612,0,0,0,0,0,0,0.09380667443416178,2.2513601864198827,0.9772099361413485,1.0391950618914056,0.9772099361413485,1.0391950618914056,0,0.0,0,0.0,0.0,96
8,1.5,1.5,0.3382023572921753,8439,0,0,0,0,0,0,0.08990419152411451,2.1577005965787484,0.9732810321618688,1.0374623735248967,0.9732810321618688,1.0374623735248967,0,0.0,0,0.0,0.0,96
9,0.699999988079071,0.699999988079071,0.8169530630111694,27223,0,0,0,0,0,0,0.04206503197956147,1.0095607675094753,0.9564049870300755,1.0322970371426003,0.9564049870300755,1.0322970371426003,0,0.0,0,0.0,0.0,96
10,1.5,0.699999988079071,0.3017617762088775,12264,0,0,0,0,0,0,0.04672355434786749,1.1213653043488199,0.9582672716721644,1.0225321844385284,0.9582672716721644,1.0225321844385284,0,0.0,0,0.0,0.0,96
11,0.8253153562545776,1.3020572662353516,0.5114589929580688,9528,0,0,0,0,0,0,0.06885549392518832,1.6525318542045198,0.9638578081676658,1.031544641130546,0.9638578081676658,1.031544641130546,0,0.0,0,0.0,0.0,96
12,1.1568241119384766,0.8444221019744873,0.5373644828796387,23097,0,0,0,0,0,0,0.04758462458592402,1.1420309900621763,0.9596329251459986,1.0212679188368712,0.9596329251459986,1.0212679188368712,0,0.0,0,0.0,0.0,96
13,0.9395801424980164,1.2494738101959229,0.4434444904327392,12830,0,0,0,0,0,0,0.06500701571309293,1.5601683771142305,0.9660616643536902,1.0306877630336297,0.9660616643536902,1.0306877630336297,0,0.0,0,0.0,0.0,96
14,1.284906983375549,1.4435408115386963,0.6288928389549255,38350,0,0,0,0,0,0,0.08433722957049612,2.024093509691907,0.9740848053851133,1.0361364336750754,0.9740848053851133,1.0361364336750754,0,0.0,0,0.0,0.0,96
15,1.3586996793746948,1.288910150527954,0.0041685127653181,13588,0,0,0,0,0,0,0.07035551455801738,1.6885323493924171,0.9688864313559669,1.0298924007219246,0.9688864313559669,1.0298924007219246,0,0.0,0,0.0,0.0,96
16,1.5,1.5,0.5311562418937683,1450,0,0,0,0,0,0,0.09235902213278319,2.2166165311867965,0.9716911094150156,1.041851691459295,0.9716911094150156,1.041851691459295,0,0.0,0,0.0,0.0,96
17,1.5,1.5,0.6335293650627136,7606,0,0,0,0,0,0,0.09116866599538782,2.188047983889308,0.976644173657426,1.0387258524973573,0.976644173657426,1.0387258524973573,0,0.0,0,0.0,0.0,96
18,1.5,0.699999988079071,0.682287335395813,29151,0,0,0,0,0,0,0.048234566534849733,1.1576295968363937,0.960259286197755,1.0248349363633695,0.960259286197755,1.0248349363633695,0,0.0,0,0.0,0.0,96
19,1.1379486322402954,0.7433916926383972,0.8768922686576843,2258,0,0,0,0,0,0,0.04764381885719985,1.1434516525727965,0.9565048412751346,1.024495432533504,0.9565048412751346,1.024495432533504,0,0.0,0,0.0,0.0,96
20,0.699999988079071,1.5,0.8887628316879272,32557,0,0,0,0,0,0,0.08879775391818788,2.131146094036509,0.9745626703184856,1.0378580162930389,0.9745626703184856,1.0378580162930389,0,0.0,0,0.0,0.0,96
21,1.2355653047561646,0.8926628828048706,0.3783801198005676,13872,0,0,0,0,0,0,0.05009016047219661,1.2021638513327186,0.9637088944054539,1.0217841637208693,0.9637088944054539,1.0217841637208693,0,0.0,0,0.0,0.0,96
22,1.3208273649215698,1.05950129032135,0.9446436762809752,2300,0,0,0,0,0,0,0.06422446426246746,1.541387142299219,0.9644101993846419,1.0259401778166006,0.9644101993846419,1.0259401778166006,0,0.0,0,0.0,0.0,96
23,0.9361901879310608,1.3579343557357788,0.4733466506004333,6769,0,0,0,0,0,0,0.07393647832052787,1.774475479692669,0.9718405066011963,1.0322218072449152,0.9718405066011963,1.0322218072449152,0,0.0,0,0.0,0.0,96
24,1.25623881816864,0.8283461928367615,0.7698331475257874,24687,0,0,0,0,0,0,0.049553629680530786,1.1892871123327389,0.9636259718346776,1.022624246181758,0.9636259718346776,1.022624246181758,0,0.0,0,0.0,0.0,96
25,0.699999988079071,1.5,0.5061813592910767,22383,0,0,0,0,0,0,0.08232894825464962,1.9758947581115909,0.9719140692538636,1.0367657300046549,0.9719140692538636,1.0367657300046549,0,0.0,0,0.0,0.0,96
26,0.699999988079071,0.699999988079071,0.0882851853966713,28126,0,0,0,0,0,0,0.04061856377746974,0.9748455306592737,0.9545855316719429,1.0194027096911782,0.9545855316719429,1.0194027096911782,0,0.0,0,0.0,0.0,96
