actor_losses,critic1_losses,critic2_losses
0.03408711601514369,6426.303527832031,-2.3260301649570465
-0.010103305627126247,5089.799102783203,-2.611469119787216
-0.004585386952385306,1458.4249954223633,-2.8953950703144073
-0.0004954361356794834,934.8424224853516,-3.1797052770853043
-0.0006262505194172263,690.7184829711914,-3.4624643325805664
0.01546182669699192,417.7444190979004,-3.74676451086998
0.001671114470809698,203.25174760818481,-4.033167868852615
0.0057393283932469785,93.52947974205017,-4.318436682224274
0.004974457435309887,26.093061447143555,-4.601146817207336
0.001467371650505811,17.507116556167603,-4.886774152517319
0.023296611878322437,4.613406106829643,-5.171036630868912
0.005556761287152767,2.0354433059692383,-5.453871130943298
0.01191805605776608,1.8641863502562046,-5.738533854484558
0.004871084354817867,0.3503733817487955,-6.023069351911545
-0.014823208873470625,0.062234183152516685,-6.306516170501709
