scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-11.673409939389371,4.0,-8.032866039497685,0.0
-101.86743185015122,23.0,-6.957173334073725,0.0
-7.006544503195699,0.0,-7.006544503195699,0.0
-35.91969210426612,8.0,-6.383890315663379,0.0
-260.02220451514216,37.0,-8.54978003612985,0.0
-5.315496999335471,0.0,-5.315496999335471,0.0
-21.54705846984894,6.0,-5.987690014849998,0.0
-5.39722214535921,2.0,-5.269649037020902,0.0
-42.98511328363809,12.0,-7.8235238991515565,0.0
-104.09758977031639,15.0,-7.710129265691443,0.0
-127.9155103492878,26.0,-7.305381598601795,0.0
-94.8033205785648,21.0,-10.197041651152796,0.0
-8.643706029108339,4.0,-5.315227144201034,0.0
-38.040032296910766,9.0,-5.966389099821962,0.0
-7.084781309813085,0.0,-7.084781309813085,0.0
-61.13478910321087,16.0,-6.9248120727498375,0.0
-21.156088055231084,6.0,-6.076382484579755,0.0
-53.56070682686573,11.0,-9.252080746465554,0.0
-79.22318557302775,14.0,-8.832130660845781,0.0
-12.048737244666327,5.0,-5.240278991041908,0.0
-14.790156083851448,8.0,-5.8454504807842325,0.0
-7.659317928079909,2.0,-5.7209165077796245,0.0
-45.59837918090512,13.0,-7.034639245329415,0.0
-5.00173622644736,0.0,-5.00173622644736,0.0
-8.075934022310031,1.0,-7.0018426078113984,0.0
-28.21062304184374,6.0,-6.149885245228587,0.0
-7.595242752660237,2.0,-5.110430857629635,0.0
-31.50743952956653,7.0,-7.445023957400229,0.0
-10.053301237048561,2.0,-7.6737777128567215,0.0
-25.265476250619095,5.0,-5.981385307583225,0.0
-6.0372212891923445,0.0,-6.0372212891923445,0.0
-15.266810191649148,2.0,-6.992654782312256,0.0
-35.416995736325944,7.0,-8.241946406335023,0.0
-5.500618376522259,1.0,-5.0442120354025395,0.0
-32.01566765426758,10.0,-8.506827671350402,0.0
-64.72060541034898,7.0,-7.29153007379373,0.0
-8.171072785717719,2.0,-5.529343655077071,0.0
-6.192923375599958,2.0,-5.593022153271911,0.0
-60.01409905067805,13.0,-7.896983958478793,0.0
-19.83438596986925,5.0,-7.6111109291885235,0.0
-27.12414922335367,7.0,-5.88161599225873,0.0
-26.18948982156481,6.0,-6.562989789394815,0.0
-22.71466441926202,7.0,-6.365629635587479,0.0
-25.309634437668098,6.0,-7.302965873493595,0.0
-7.103678085910254,0.0,-7.103678085910254,0.0
-7.4159449565431785,0.0,-7.4159449565431785,0.0
-7.893816241417763,0.0,-7.893816241417763,0.0
-10.45059630081266,1.0,-5.809653190175256,0.0
-22.929872572369664,4.0,-5.930808612305091,0.0
-8.248586881166077,1.0,-7.294761713091626,0.0
-6.408471246281871,1.0,-6.266297845380502,0.0
-5.905865942639751,1.0,-5.4444204354009615,0.0
-5.412025642968399,0.0,-5.412025642968399,0.0
-6.028843840058914,0.0,-6.028843840058914,0.0
-7.228125590447314,0.0,-7.228125590447314,0.0
-23.61058487246207,7.0,-5.688969360055144,0.0
-6.6018071010391735,0.0,-6.6018071010391735,0.0
-8.741849230005233,1.0,-8.0855317936015,0.0
-4.609964342203243,0.0,-4.609964342203243,0.0
-8.818057465134094,2.0,-6.9536121892890295,0.0
-27.510950474674964,10.0,-8.690238957673955,0.0
-4.721600639648978,0.0,-4.721600639648978,0.0
-5.53186796995863,0.0,-5.53186796995863,0.0
-7.957815039715038,0.0,-7.957815039715038,0.0
