seed,day,event,under_event,over_event,under_steps,over_steps,pf_fail,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,mean_absolute_normalized_action,rms_normalized_action,normalized_action_saturation_fraction,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
42,4,0,0,0,0,0,0,0.9568204836301891,1.00016181277091,1.3130403624208367,0.10466575839867194,0.14775514079373642,0.0,28.31412148068133,0.6746558547019958
42,38,0,0,0,0,0,0,0.9529549306227675,1.0001832934095185,2.144651617169703,0.13550561713054776,0.18477641247052012,0.0,37.69977414087655,0.7432252764701843
42,77,0,0,0,0,0,0,0.9531164597993604,1.0045299709589512,2.0377062606315,0.1371012080150346,0.18691643198656274,0.0,38.16200134493755,0.8723395700345311
42,85,0,0,0,0,0,0,0.9533726897124629,1.0,1.988421464029069,0.1300670295022428,0.18020051714876126,0.0,35.747420966328185,0.7373060584068298
42,105,0,0,0,0,0,0,0.95575321486236,1.0147064424593017,1.371374273696412,0.11769092952211697,0.16539582566285643,0.0,31.925750552426976,0.7067667841911316
42,133,0,0,0,0,0,0,0.9566093314297729,1.008768514896238,1.4243993713714642,0.12049589329399168,0.16929844050751905,0.0,32.72024371642478,0.7151857614517212
42,137,0,0,0,0,0,0,0.9637825217276351,1.0162202708451913,0.9319274720119103,0.09856520135266085,0.1388756142121578,0.0,26.621791175347106,0.6114494204521179
42,147,0,0,0,0,0,0,0.9566281642081417,1.0104334970440862,1.4597449362466122,0.12227717080774407,0.17118364354769428,0.0,33.27211805461607,0.7176080942153931
42,159,0,0,0,0,0,0,0.9626704298510067,1.0131076241237225,0.854521681688145,0.09404818022934099,0.13277695440342105,0.0,25.388355938382624,0.5651509165763855
42,220,0,0,0,0,0,0,0.9595524275724671,1.0067947429535482,1.3161918259067165,0.11506431425611179,0.16235847304239986,0.0,31.152094006367967,0.7098568081855774
42,236,0,0,0,0,0,0,0.9637001498090402,1.018721110681855,0.812929546166332,0.0892087211056302,0.1257153597461354,0.0,24.08906408520252,0.5425514578819275
42,241,0,0,0,0,0,0,0.9582177189742156,1.003514406324246,1.3869127322636698,0.11523258577411373,0.1628976784518966,0.0,31.211339356060687,0.7088442444801331
42,245,0,0,0,0,0,0,0.9552288008556106,1.0067172007377696,1.463942819892581,0.11951365950517356,0.168256532980662,0.0,32.443195223097106,0.7160484790802002
42,257,0,0,0,0,0,0,0.9617234321805881,1.0206756856584094,0.8624789521728458,0.09040541535553832,0.12755910738165657,0.0,24.422104758115125,0.5719490647315979
42,282,0,0,0,0,0,0,0.9532712310344349,1.0077709739506062,1.6264226873791465,0.12343273878407975,0.1727959033983584,0.0,33.63901228246549,0.7344630360603333
42,295,0,0,0,0,0,0,0.9531051405756112,1.0,2.040499880874162,0.1304782604953895,0.17997467704089867,0.0,36.04790035487639,0.7423690557479858
