seed,evaluated_days,event_days,pf_fail_days,mean_daily_line_loss_mwh,worst_minimum_voltage_pu,worst_maximum_voltage_pu,daily_minimum_voltage_p01_pu,daily_maximum_voltage_p99_pu,days_with_minimum_voltage_within_0p001_pu_of_lower_limit,days_with_maximum_voltage_within_0p001_pu_of_upper_limit,mean_absolute_normalized_action,mean_rms_normalized_action,normalized_action_saturation_fraction,mean_daily_absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar
42,17,1,0,1.7207788613704422,0.9476291366309243,1.020575991024626,0.9480189601675587,1.0202422776060622,2,0,0.10294014423190817,0.12339825167924051,0.0,33.344489885173594,1.3416408398118889
43,17,1,0,1.6992551666840088,0.9476232959352049,1.0205802631550025,0.9480141793409592,1.02025103530138,1,0,0.1030427991576931,0.1239932408348945,0.0,33.14145085202429,1.3416408398118889
44,17,3,0,1.7545736417366724,0.9446869031793768,1.020225348562016,0.9450313757214067,1.020113393076283,0,0,0.10530968495717674,0.1279401977874961,0.0,33.84711416701002,1.3416408398118889
45,17,4,0,1.8220440219729293,0.9416588690240297,1.0282982965065193,0.9417418905544995,1.0271834015324632,0,0,0.10747247193848679,0.13082315770720704,0.0,34.70302741763432,1.3416408398118889
46,17,1,0,1.729853982963724,0.947635891176292,1.020691247297533,0.9480266301113464,1.0203730601403886,2,0,0.10312456826624626,0.1235809336968848,0.0,33.52319476921168,1.3416408398118889
