epoch,training_mse,validation_mse
1,0.0018572481560774825,0.004208049271255732
2,0.0011012908882659042,0.004227885045111179
3,0.0010901525379405498,0.004211370833218098
4,0.0010844313386989984,0.004248699173331261
5,0.001068425043547794,0.0042010582983493805
6,0.0010393993694433998,0.004163653589785099
7,0.001036636733536425,0.004018343985080719
8,0.0010233022613013445,0.0040245940908789635
9,0.0010178943714091668,0.003862354438751936
10,0.0010017226988125142,0.00404827855527401
11,0.0009936646235997393,0.0039636981673538685
12,0.0009899034892882671,0.0039129736833274364
13,0.0009950698070249266,0.0038853634614497423
14,0.0009712835713854116,0.003948238678276539
15,0.0009584532969959334,0.0037787719629704952
16,0.0009475904080318287,0.00382699491456151
17,0.0009645331510083369,0.0038777568843215704
18,0.0009543786835627433,0.003746591042727232
19,0.000962916235121983,0.0037535331211984158
20,0.0009440006849190192,0.0037919634487479925
21,0.0009414083139166574,0.0036694479640573263
22,0.0009340958839113063,0.003611525986343622
23,0.0009415943345767587,0.0035512770991772413
24,0.0009418794577482693,0.0035131238400936127
25,0.0009438696469067398,0.003511145245283842
26,0.0009121523619273141,0.0036231272388249636
27,0.0009107387443443506,0.0035548252053558826
28,0.0009109606641383531,0.0036945503670722246
29,0.000918625584745314,0.0037374882958829403
30,0.0008990095229819417,0.0033306865952908993
31,0.0009072078521994902,0.0037157279439270496
32,0.0009021265145609946,0.003356823930516839
33,0.0009203794241219646,0.0034515592269599438
34,0.0009227088276847181,0.0037717323284596205
35,0.0009247861242770203,0.0034961255732923746
36,0.0008934026306881358,0.003348219906911254
37,0.0008980614440974243,0.0036229779943823814
38,0.0008673837271062164,0.0034678238444030285
39,0.0009166841855128014,0.003433093661442399
40,0.0008909393707819453,0.00336955557577312
41,0.0008810785005731635,0.0034745903685688972
42,0.0008607820482487141,0.0034142641816288233
43,0.0008845976897811687,0.003450581571087241
44,0.0008712729951102202,0.0034199680667370558
45,0.000858202277220588,0.003312170971184969
46,0.0008598623769075582,0.003632268402725458
47,0.0008592197414007828,0.003537592710927129
48,0.0008802771097345447,0.003535717958584428
49,0.0008469242964179791,0.003367203753441572
50,0.0008718193403734458,0.0033630034886300564
51,0.000858960752146121,0.0035299730952829123
52,0.0008694288580128076,0.0033696398604661226
53,0.0008577956058698791,0.0034125116653740406
54,0.0008659742783162404,0.003473899094387889
55,0.0008305241671306165,0.0035382285714149475
56,0.0008483509205468705,0.0032684984616935253
57,0.0008579740996620702,0.0033848602324724197
58,0.0008346194065807415,0.003192530944943428
59,0.000882424125544882,0.0033100279979407787
60,0.0008350014385624407,0.0034195310436189175
61,0.0008757560693387253,0.0033895184751600027
62,0.0008498719971888049,0.0036133923567831516
63,0.0008360998035641387,0.003251484828069806
64,0.0008698295000199737,0.0035540182143449783
65,0.0008370292222631784,0.0033649534452706575
66,0.0008518270829385569,0.003254913492128253
67,0.0008224890499894337,0.003250023117288947
68,0.0008197488921613319,0.003254721174016595
69,0.0008271080224596627,0.003211384639143944
70,0.0008223199146221194,0.0033486715983599424
71,0.0008573242823441626,0.0032167192548513412
72,0.0008386980841874681,0.003238257020711899
73,0.0008009211343243916,0.003268904285505414
74,0.0008335748696646823,0.0032644837629050016
75,0.0008340863880055787,0.0033121169544756413
76,0.0008263951513623451,0.003314924193546176
77,0.000806982000622983,0.003486914560198784
78,0.0008114715612574594,0.003326837904751301
79,0.0008148328799341635,0.0032502179965376854
80,0.0008340251555306498,0.003213167190551758
81,0.0008231938836891486,0.0032374083530157804
82,0.0008177411622124386,0.0034427118953317404
83,0.0008062192985865598,0.003225309308618307
84,0.0008185676935792083,0.0032088495790958405
85,0.0008112630700149263,0.0033809631131589413
86,0.0008090466875397727,0.00333638908341527
87,0.0007951166330850824,0.0034098203759640455
88,0.0007890441664847348,0.0032410365529358387
89,0.0008192318932604835,0.0033105050679296255
90,0.0008015098719624802,0.0032154549844563007
91,0.0008098739571957567,0.0032269801013171673
92,0.0007798774684929275,0.003247313667088747
93,0.0007906628024736137,0.0033256812021136284
94,0.0007894671456817763,0.003255046671256423
95,0.0007882060308475047,0.003289771033450961
96,0.0007880268057113316,0.0032567305024713278
97,0.0008019763045012951,0.0033273128792643547
98,0.0007852867415887445,0.003458581166341901
99,0.0008065892825746259,0.003402210306376219
100,0.000802655077705188,0.003166759852319956
101,0.000797133550804574,0.003331306390464306
102,0.000837327615458476,0.003346794517710805
103,0.000798022936964337,0.003265367355197668
104,0.0007776653969124185,0.0031225113198161125
105,0.0007870157279478118,0.003569630905985832
106,0.0007814630879500218,0.0032716179266572
107,0.0007781830261757767,0.003234079573303461
108,0.0007791174818218375,0.0032823740039020777
109,0.0007666132695510786,0.003316472750157118
110,0.0008016483616577743,0.003272471483796835
111,0.0007773328371430663,0.003244975348934531
112,0.0007787745355127493,0.0032802976202219725
113,0.0007880153948049569,0.003297979710623622
114,0.0007778306878180681,0.00322735751979053
115,0.0007730265183040915,0.003195313038304448
116,0.0008220430646553833,0.003551007015630603
117,0.0007815078647443884,0.003085387870669365
118,0.0007577419336567717,0.003344825701788068
119,0.0008018347697074977,0.0034296081867069006
120,0.0007887805230425191,0.003246038220822811
121,0.0007724832010518929,0.0032475637272000313
122,0.0007872985067175856,0.0032833809964358807
123,0.0007524015459101506,0.0032279358711093664
124,0.0007512783900672345,0.003255858551710844
125,0.0007588444930275507,0.0032149467151612043
126,0.0007932029398172303,0.0033393274061381817
127,0.0007530183268527528,0.0034698324743658304
128,0.0007700450258915115,0.003358252113685012
129,0.0007562628527397685,0.0032706873025745153
130,0.0007944565280040754,0.0032902879174798727
131,0.0007630496020834526,0.0033433502539992332
132,0.0007567160280428432,0.0032456533517688513
133,0.0007718781161009136,0.0035683591850101948
134,0.0007626801264202434,0.003459612140432
135,0.000759819066319544,0.003395509673282504
136,0.0007655297088080481,0.003352443454787135
137,0.0007651728308039972,0.0032217600382864475
138,0.00075984950076831,0.0033417248632758856
139,0.0007657186942003935,0.0033459244295954704
140,0.0007716360745358874,0.0032463083043694496
141,0.0007782820105079957,0.003348895348608494
142,0.0007587997293519562,0.0033272996079176664
143,0.0007492987578822949,0.0033989655785262585
144,0.0007594317933332852,0.0033118186984211206
145,0.0007623353557199042,0.0035401154309511185
146,0.0007537415557167013,0.0033215212170034647
147,0.0007551139843240944,0.0033630800899118185
148,0.0007682651102544642,0.0033450534101575613
149,0.0007523717056645899,0.003304430516436696
150,0.0007357577580313028,0.003398271044716239
