candidate_id,risk,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,seed,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,path_fraction,resource_index
2000,0.275,0.0,0.8675050357251611,0.0,0,0.9433702870249968,1.0359482571499024,0.9433702870249968,1.0359482571499024,42,0.7,0.7,0.0,risk_path,0.0,70.0
2001,0.105,0.0,0.8860855943116319,0.0,0,0.9453380931828914,1.0351940408329017,0.9453380931828914,1.0351940408329017,42,0.75,0.75,0.0625,risk_path,0.0625,75.125
2002,0.03,0.0,0.9149812623200007,0.0,0,0.9473062373408766,1.0343230955198046,0.9473062373408766,1.0343230955198046,42,0.7999999999999999,0.7999999999999999,0.125,risk_path,0.125,80.25
2003,0.01,0.0,0.9536690274746207,0.0,0,0.9491704540989714,1.0333407298667288,0.9491704540989714,1.0333407298667288,42,0.85,0.85,0.1875,risk_path,0.1875,85.375
2004,0.0,0.0,1.0015573572199423,0.0,0,0.950830264495522,1.032262191692099,0.950830264495522,1.032262191692099,42,0.8999999999999999,0.8999999999999999,0.25,risk_path,0.25,90.49999999999999
2005,0.0,0.0,1.0580890646884304,0.0,0,0.9525086769820212,1.0310951339940408,0.9525086769820212,1.0310951339940408,42,0.95,0.95,0.3125,risk_path,0.3125,95.625
2006,0.0,0.0,1.1228017814105271,0.0,0,0.954177061253898,1.029843802231454,0.954177061253898,1.029843802231454,42,1.0,1.0,0.375,risk_path,0.375,100.75
2007,0.0,0.0,1.1954415768421733,0.0,0,0.9557937161241068,1.0285695458151838,0.9557937161241068,1.0285695458151838,42,1.05,1.05,0.4375,risk_path,0.4375,105.875
2008,0.0,0.0,1.275965247338787,0.0,0,0.9574029612257772,1.0272084389557878,0.9574029612257772,1.0272084389557878,42,1.1,1.1,0.5,risk_path,0.5,111.00000000000001
2009,0.0,0.0,1.3641529007666002,0.0,0,0.9589784445836004,1.0274053486950077,0.9589784445836004,1.0274053486950077,42,1.15,1.15,0.5625,risk_path,0.5625,116.12499999999999
2010,0.0,0.0,1.4595703276955339,0.0,0,0.9605127689731516,1.029136527051324,0.9605127689731516,1.029136527051324,42,1.2,1.2,0.625,risk_path,0.625,121.25
2011,0.0,0.0,1.5617241243809865,0.0,0,0.9620015064480134,1.030842424246333,0.9620015064480134,1.030842424246333,42,1.25,1.25,0.6875,risk_path,0.6875,126.375
2012,0.0,0.0,1.6703213072240592,0.0,0,0.9634416742508548,1.032516592928402,0.9634416742508548,1.032516592928402,42,1.3,1.3,0.75,risk_path,0.75,131.5
2013,0.0,0.0,1.7845953557193721,0.0,0,0.9648362962657384,1.0341193723468851,0.9648362962657384,1.0341193723468851,42,1.35,1.35,0.8125,risk_path,0.8125,136.625
2014,0.0,0.0,1.904011889981751,0.0,0,0.9662140644000956,1.035671060444497,0.9662140644000956,1.035671060444497,42,1.4,1.4,0.875,risk_path,0.875,141.75
2015,0.0,0.0,2.028588316486385,0.0,0,0.9675481940790152,1.0371826626522174,0.9675481940790152,1.0371826626522174,42,1.45,1.45,0.9375,risk_path,0.9375,146.875
2016,0.0,0.0,2.158174984626041,0.0,0,0.9688406747392644,1.0386637210967904,0.9688406747392644,1.0386637210967904,42,1.5,1.5,1.0,risk_path,1.0,152.0
2000,0.035,0.0,0.9006577403832872,0.0,0,0.9472902591305108,1.0282869479998693,0.9472902591305108,1.0282869479998693,43,0.7,0.7,0.0,risk_path,0.0,70.0
2001,0.015,0.0,0.9339424207701547,0.0,0,0.9490574879854666,1.0272579929332752,0.9490574879854666,1.0272579929332752,43,0.75,0.75,0.0625,risk_path,0.0625,75.125
2002,0.0,0.0,0.9780487876656581,0.0,0,0.9507907468675196,1.0261727620695735,0.9507907468675196,1.0261727620695735,43,0.7999999999999999,0.7999999999999999,0.125,risk_path,0.125,80.25
